#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 12:52
0, 1, L, L, 12:52
0, 2, M, M, 12:52
0, 3, L, L, 12:52
0, 4, L, L, 12:52
0, 5, L, L, 12:52
0, 6, H, L, 12:52
0, 7, H, L, 12:52
0, 8, H, L, 12:52
0, 9, H, L, 12:52
0, 10, H, M, 12:52
0, 11, H, H, 12:52
0, 12, H, H, 12:52
0, 13, H, H, 12:52
0, 14, H, H, 12:52
0, 15, H, H, 12:52
0, 16, H, H, 12:52
0, 17, H, L, 12:52
0, 18, H, L, 12:52
0, 19, H, L, 12:52
0, 20, H, L, 12:52
0, 21, H, L, 12:52
0, 22, H, M, 12:52
0, 23, H, L, 12:52
0, 24, H, L, 12:52
0, 25, H, L, 12:52
0, 26, H, M, 12:52
0, 27, H, L, 12:52
0, 28, H, M, 12:52
0, 29, H, L, 12:52
0, 30, L, L, 12:52
0, 31, L, L, 12:52
0, 32, L, M, 12:52
0, 33, L, L, 12:52
0, 34, L, L, 12:52
0, 35, L, L, 12:52
0, 36, L, L, 12:52
1, 0, L, L, 12:49
1, 1, L, L, 12:49
1, 2, L, L, 12:49
1, 3, L, L, 12:49
1, 4, L, L, 12:49
1, 5, L, L, 12:49
1, 6, M, M, 12:49
1, 7, M, M, 12:49
1, 8, L, L, 12:49
1, 9, L, L, 12:49
1, 10, L, L, 12:49
1, 11, M, M, 12:49
2, 0, M, M, 12:49
2, 1, L, L, 12:49
2, 2, L, L, 12:49
2, 3, M, L, 12:49
2, 4, L, L, 12:49
2, 5, L, L, 12:49
2, 6, M, L, 12:49
2, 7, M, L, 12:49
2, 8, M, L, 12:49
2, 9, L, L, 12:49
2, 10, L, L, 12:49
2, 11, M, L, 12:49
2, 12, M, L, 12:49
2, 13, M, L, 12:49
2, 14, M, L, 12:49
2, 15, M, M, 12:49
2, 16, L, M, 12:49
2, 17, M, L, 12:49
2, 18, M, M, 12:49
2, 19, L, L, 12:49
2, 20, L, M, 12:49
2, 21, L, L, 12:49
2, 22, M, L, 12:49
2, 23, M, L, 12:49
2, 24, M, M, 12:49
3, 0, H, L, 12:49
3, 1, H, M, 12:49
3, 2, H, M, 12:49
3, 3, H, L, 12:49
3, 4, H, L, 12:49
3, 5, H, M, 12:49
3, 6, L, M, 12:49
3, 7, M, M, 12:49
4, 0, L, L, 12:49
4, 1, M, L, 12:49
4, 2, H, L, 12:49
4, 3, H, M, 12:49
4, 4, H, L, 12:49
4, 5, H, H, 12:49
4, 6, L, H, 12:49
4, 7, L, H, 12:49
4, 8, L, L, 12:49
4, 9, L, L, 12:49
4, 10, M, H, 12:49
4, 11, M, H, 12:49
4, 12, L, H, 12:49
4, 13, L, L, 12:49
4, 14, H, L, 12:49
4, 15, H, L, 12:49
4, 16, H, M, 12:49
4, 17, L, L, 12:49
4, 18, L, L, 12:49
5, 0, M, M, 12:49
5, 1, M, M, 12:49
5, 2, L, L, 12:49
5, 3, L, L, 12:49
5, 4, L, L, 12:49
5, 5, L, L, 12:49
5, 6, L, L, 12:49
5, 7, L, L, 12:49
5, 8, H, H, 12:49
5, 9, H, H, 12:49
5, 10, H, H, 12:49
5, 11, H, L, 12:49
5, 12, L, L, 12:49
5, 13, L, L, 12:49
5, 14, M, M, 12:49
6, 0, L, L, 12:49
6, 1, L, L, 12:49
6, 2, L, L, 12:49
6, 3, L, L, 12:49
6, 4, L, L, 12:49
6, 5, M, L, 12:49
6, 6, L, L, 12:49
7, 0, L, L, 12:49
7, 1, M, M, 12:49
7, 2, L, L, 12:49
7, 3, L, L, 12:49
7, 4, L, L, 12:49
7, 5, L, L, 12:49
7, 6, L, L, 12:49
7, 7, L, M, 12:49
7, 8, L, L, 12:49
7, 9, L, H, 12:49
7, 10, L, H, 12:49
7, 11, M, H, 12:49
8, 0, L, H, 10:40
8, 1, L, H, 10:40
8, 2, L, L, 10:40
8, 3, L, L, 10:40
8, 4, L, L, 10:40
8, 5, L, L, 10:40
8, 6, L, L, 10:40
