#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 4:14
0, 1, L, L, 4:14
0, 2, L, L, 4:14
0, 3, L, L, 4:14
0, 4, L, L, 4:14
0, 5, L, L, 4:14
0, 6, L, L, 4:14
0, 7, L, L, 4:14
0, 8, L, L, 4:14
0, 9, L, L, 4:14
0, 10, L, L, 4:14
0, 11, L, L, 4:14
0, 12, L, L, 4:14
0, 13, L, L, 4:14
0, 14, L, L, 4:14
0, 15, L, L, 4:14
0, 16, L, L, 4:14
0, 17, L, L, 4:14
0, 18, L, L, 4:14
0, 19, L, L, 4:14
0, 20, L, L, 4:14
0, 21, L, L, 4:14
0, 22, L, L, 4:14
0, 23, L, L, 4:14
0, 24, L, L, 4:14
0, 25, L, L, 4:14
0, 26, L, L, 4:14
0, 27, L, L, 4:14
0, 28, L, L, 4:14
0, 29, L, L, 4:14
0, 30, L, L, 4:14
0, 31, L, L, 4:14
0, 32, L, L, 4:14
0, 33, L, L, 4:14
0, 34, L, L, 4:14
0, 35, L, L, 4:14
0, 36, L, L, 4:14
1, 0, L, L, 4:14
1, 1, L, L, 4:14
1, 2, L, L, 4:14
1, 3, L, L, 4:14
1, 4, L, L, 4:14
1, 5, L, L, 4:14
1, 6, L, L, 4:14
1, 7, L, L, 4:14
1, 8, L, L, 4:14
1, 9, L, L, 4:14
1, 10, L, L, 4:14
1, 11, L, L, 4:14
2, 0, L, L, 4:14
2, 1, L, L, 4:14
2, 2, L, L, 4:14
2, 3, L, L, 4:14
2, 4, L, L, 4:14
2, 5, L, L, 4:14
2, 6, L, L, 4:14
2, 7, L, L, 4:14
2, 8, L, L, 4:14
2, 9, L, L, 4:14
2, 10, L, L, 4:14
2, 11, L, L, 4:14
2, 12, L, L, 4:14
2, 13, L, L, 4:14
2, 14, L, L, 4:14
2, 15, M, M, 4:14
2, 16, L, L, 4:14
2, 17, L, L, 4:14
2, 18, L, L, 4:14
2, 19, L, L, 4:14
2, 20, L, L, 4:14
2, 21, L, L, 4:14
2, 22, L, L, 4:14
2, 23, L, L, 4:14
2, 24, L, L, 4:14
3, 0, L, L, 4:14
3, 1, L, L, 4:14
3, 2, L, L, 4:14
3, 3, L, L, 4:14
3, 4, L, L, 4:14
3, 5, L, L, 4:14
3, 6, L, L, 4:14
3, 7, L, L, 4:14
4, 0, L, L, 4:14
4, 1, L, L, 4:14
4, 2, L, L, 4:14
4, 3, L, L, 4:14
4, 4, L, L, 4:14
4, 5, L, L, 4:14
4, 6, L, L, 4:14
4, 7, L, L, 4:14
4, 8, L, L, 4:14
4, 9, L, L, 4:14
4, 10, L, L, 4:14
4, 11, L, L, 4:14
4, 12, L, L, 4:14
4, 13, L, L, 4:14
4, 14, L, L, 4:14
4, 15, L, L, 4:14
4, 16, L, L, 4:14
4, 17, L, L, 4:14
4, 18, L, L, 4:14
5, 0, L, L, 4:14
5, 1, L, L, 4:14
5, 2, L, L, 4:14
5, 3, L, L, 4:14
5, 4, L, L, 4:14
5, 5, L, L, 4:14
5, 6, L, L, 4:14
5, 7, L, L, 4:14
5, 8, L, L, 4:14
5, 9, L, L, 4:14
5, 10, L, L, 4:14
5, 11, L, L, 4:14
5, 12, L, L, 4:14
5, 13, L, L, 4:14
5, 14, L, L, 4:14
6, 0, L, L, 4:14
6, 1, L, L, 4:14
6, 2, L, L, 4:14
6, 3, L, L, 4:14
6, 4, L, L, 4:14
6, 5, L, L, 4:14
6, 6, L, L, 4:14
7, 0, L, L, 4:14
7, 1, L, L, 4:14
7, 2, L, L, 4:14
7, 3, L, L, 4:14
7, 4, L, L, 4:14
7, 5, L, L, 4:14
7, 6, L, L, 4:14
7, 7, L, L, 4:14
7, 8, L, L, 4:14
7, 9, L, L, 4:14
7, 10, L, L, 4:14
7, 11, L, L, 4:14
8, 0, L, L, 4:14
8, 1, L, L, 4:14
8, 2, L, L, 4:14
8, 3, L, L, 4:14
8, 4, L, L, 4:14
8, 5, L, L, 4:14
8, 6, L, L, 4:14
