#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 6:58
0, 1, L, L, 6:58
0, 2, M, M, 6:58
0, 3, L, L, 6:58
0, 4, M, M, 6:58
0, 5, M, M, 6:58
0, 6, L, L, 6:58
0, 7, L, L, 6:58
0, 8, L, L, 6:58
0, 9, L, L, 6:58
0, 10, M, L, 6:58
0, 11, M, M, 6:58
0, 12, L, M, 6:58
0, 13, L, L, 6:58
0, 14, L, L, 6:58
0, 15, L, L, 6:58
0, 16, L, M, 6:58
0, 17, L, L, 6:58
0, 18, L, L, 6:58
0, 19, L, H, 6:58
0, 20, L, H, 6:58
0, 21, L, H, 6:58
0, 22, L, H, 6:58
0, 23, L, M, 6:58
0, 24, L, L, 6:58
0, 25, L, L, 6:58
0, 26, L, L, 6:58
0, 27, L, L, 6:58
0, 28, H, L, 6:58
0, 29, H, M, 6:58
0, 30, H, L, 6:58
0, 31, H, L, 6:58
0, 32, L, H, 6:58
0, 33, L, H, 6:58
0, 34, L, L, 6:58
0, 35, L, L, 6:58
0, 36, L, L, 6:58
1, 0, L, M, 6:50
1, 1, L, M, 6:50
1, 2, L, L, 6:50
1, 3, L, L, 6:50
1, 4, L, L, 6:50
1, 5, L, L, 6:50
1, 6, M, M, 6:50
1, 7, M, M, 6:50
1, 8, L, L, 6:50
1, 9, L, L, 6:50
1, 10, L, L, 6:50
1, 11, L, M, 6:50
2, 0, M, M, 6:50
2, 1, L, L, 6:50
2, 2, L, L, 6:50
2, 3, L, M, 6:50
2, 4, M, M, 6:50
2, 5, L, L, 6:50
2, 6, L, L, 6:50
2, 7, M, M, 6:50
2, 8, M, M, 6:50
2, 9, L, L, 6:50
2, 10, L, L, 6:50
2, 11, M, M, 6:50
2, 12, L, L, 6:50
2, 13, L, L, 6:50
2, 14, M, L, 6:50
2, 15, M, M, 6:50
2, 16, L, M, 6:50
2, 17, L, L, 6:50
2, 18, M, M, 6:50
2, 19, L, L, 6:50
2, 20, M, M, 6:50
2, 21, L, L, 6:50
2, 22, L, L, 6:50
2, 23, M, L, 6:50
2, 24, M, M, 6:50
3, 0, L, L, 6:50
3, 1, L, M, 6:50
3, 2, L, M, 6:50
3, 3, M, M, 6:50
3, 4, M, L, 6:50
3, 5, M, M, 6:50
3, 6, L, M, 6:50
3, 7, M, M, 6:50
4, 0, L, L, 6:51
4, 1, L, L, 6:51
4, 2, M, M, 6:51
4, 3, L, L, 6:51
4, 4, L, L, 6:51
4, 5, M, M, 6:51
4, 6, L, M, 6:51
4, 7, L, L, 6:51
4, 8, L, L, 6:51
4, 9, H, L, 6:51
4, 10, H, M, 6:51
4, 11, H, L, 6:51
4, 12, L, M, 6:51
4, 13, H, L, 6:51
4, 14, H, L, 6:51
4, 15, H, M, 6:51
4, 16, H, H, 6:51
4, 17, L, H, 6:51
4, 18, M, H, 6:51
5, 0, M, M, 6:50
5, 1, M, M, 6:50
5, 2, L, L, 6:50
5, 3, L, L, 6:50
5, 4, M, M, 6:50
5, 5, L, L, 6:50
5, 6, L, L, 6:50
5, 7, L, L, 6:50
5, 8, M, L, 6:50
5, 9, M, M, 6:50
5, 10, M, M, 6:50
5, 11, L, L, 6:50
5, 12, L, L, 6:50
5, 13, L, L, 6:50
5, 14, M, L, 6:50
6, 0, L, L, 6:50
6, 1, M, L, 6:50
6, 2, L, L, 6:50
6, 3, L, L, 6:50
6, 4, L, L, 6:50
6, 5, M, M, 6:50
6, 6, L, L, 6:50
7, 0, M, M, 6:50
7, 1, M, M, 6:50
7, 2, L, L, 6:50
7, 3, L, L, 6:50
7, 4, L, L, 6:50
7, 5, M, L, 6:50
7, 6, M, M, 6:50
7, 7, L, L, 6:50
7, 8, L, L, 6:50
7, 9, M, M, 6:50
7, 10, L, M, 6:50
7, 11, L, L, 6:50
8, 0, L, L, 6:50
8, 1, L, L, 6:50
8, 2, L, L, 6:50
8, 3, L, L, 6:50
8, 4, L, L, 6:50
8, 5, L, L, 6:50
8, 6, L, L, 6:50
