#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 9:06
0, 1, L, L, 9:06
0, 2, M, M, 9:06
0, 3, L, L, 9:06
0, 4, L, L, 9:06
0, 5, L, L, 9:06
0, 6, L, L, 9:06
0, 7, L, L, 9:06
0, 8, L, L, 9:06
0, 9, L, L, 9:06
0, 10, L, L, 9:06
0, 11, M, M, 9:06
0, 12, L, M, 9:06
0, 13, L, M, 9:06
0, 14, L, L, 9:06
0, 15, L, L, 9:06
0, 16, L, L, 9:06
0, 17, L, L, 9:06
0, 18, L, L, 9:06
0, 19, L, L, 9:06
0, 20, L, L, 9:06
0, 21, L, L, 9:06
0, 22, L, L, 9:06
0, 23, M, M, 9:06
0, 24, L, L, 9:06
0, 25, L, L, 9:06
0, 26, L, L, 9:06
0, 27, L, L, 9:06
0, 28, M, L, 9:06
0, 29, H, L, 9:06
0, 30, L, L, 9:06
0, 31, L, L, 9:06
0, 32, M, M, 9:06
0, 33, M, M, 9:06
0, 34, L, L, 9:06
0, 35, L, L, 9:06
0, 36, L, L, 9:06
1, 0, L, M, 9:06
1, 1, L, M, 9:06
1, 2, L, L, 9:06
1, 3, L, L, 9:06
1, 4, L, L, 9:06
1, 5, L, L, 9:06
1, 6, M, M, 9:06
1, 7, M, M, 9:06
1, 8, M, L, 9:06
1, 9, L, L, 9:06
1, 10, L, L, 9:06
1, 11, M, M, 9:06
2, 0, L, L, 9:06
2, 1, L, L, 9:06
2, 2, L, L, 9:06
2, 3, L, L, 9:06
2, 4, L, L, 9:06
2, 5, L, L, 9:06
2, 6, L, L, 9:06
2, 7, M, M, 9:06
2, 8, M, M, 9:06
2, 9, L, L, 9:06
2, 10, L, L, 9:06
2, 11, M, M, 9:06
2, 12, M, M, 9:06
2, 13, L, L, 9:06
2, 14, M, L, 9:06
2, 15, M, M, 9:06
2, 16, M, M, 9:06
2, 17, L, L, 9:06
2, 18, M, M, 9:06
2, 19, L, L, 9:06
2, 20, M, M, 9:06
2, 21, L, L, 9:06
2, 22, L, L, 9:06
2, 23, M, L, 9:06
2, 24, M, M, 9:06
3, 0, M, M, 9:06
3, 1, M, M, 9:06
3, 2, L, L, 9:06
3, 3, M, M, 9:06
3, 4, L, L, 9:06
3, 5, M, M, 9:06
3, 6, L, L, 9:06
3, 7, M, M, 9:06
4, 0, L, L, 9:06
4, 1, L, L, 9:06
4, 2, M, M, 9:06
4, 3, L, L, 9:06
4, 4, L, L, 9:06
4, 5, M, M, 9:06
4, 6, L, M, 9:06
4, 7, L, L, 9:06
4, 8, L, L, 9:06
4, 9, L, L, 9:06
4, 10, M, M, 9:06
4, 11, M, M, 9:06
4, 12, L, L, 9:06
4, 13, L, L, 9:06
4, 14, L, L, 9:06
4, 15, L, M, 9:06
4, 16, M, M, 9:06
4, 17, L, L, 9:06
4, 18, M, L, 9:06
5, 0, M, M, 9:06
5, 1, M, M, 9:06
5, 2, L, L, 9:06
5, 3, L, L, 9:06
5, 4, M, M, 9:06
5, 5, L, L, 9:06
5, 6, L, L, 9:06
5, 7, L, L, 9:06
5, 8, M, L, 9:06
5, 9, M, M, 9:06
5, 10, M, M, 9:06
5, 11, L, L, 9:06
5, 12, L, L, 9:06
5, 13, L, L, 9:06
5, 14, M, L, 9:06
6, 0, M, L, 9:06
6, 1, M, L, 9:06
6, 2, L, L, 9:06
6, 3, L, L, 9:06
6, 4, L, L, 9:06
6, 5, M, M, 9:06
6, 6, L, L, 9:06
7, 0, L, L, 9:06
7, 1, M, M, 9:06
7, 2, L, L, 9:06
7, 3, L, L, 9:06
7, 4, L, L, 9:06
7, 5, M, L, 9:06
7, 6, M, M, 9:06
7, 7, L, L, 9:06
7, 8, L, L, 9:06
7, 9, M, M, 9:06
7, 10, L, L, 9:06
7, 11, L, L, 9:06
8, 0, L, L, 9:09
8, 1, L, L, 9:09
8, 2, L, L, 9:09
8, 3, L, L, 9:09
8, 4, L, L, 9:09
8, 5, L, L, 9:09
8, 6, L, L, 9:09
