#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 2:59
0, 1, L, L, 2:59
0, 2, M, M, 2:59
0, 3, L, L, 2:59
0, 4, M, L, 2:59
0, 5, L, L, 2:59
0, 6, M, L, 2:59
0, 7, L, L, 2:59
0, 8, L, L, 2:59
0, 9, H, L, 2:59
0, 10, H, L, 2:59
0, 11, H, M, 2:59
0, 12, H, M, 2:59
0, 13, H, L, 2:59
0, 14, H, L, 2:59
0, 15, H, L, 2:59
0, 16, H, M, 2:59
0, 17, M, L, 2:59
0, 18, L, L, 2:59
0, 19, L, M, 2:59
0, 20, L, L, 2:59
0, 21, H, L, 2:59
0, 22, H, L, 2:59
0, 23, H, H, 2:59
0, 24, H, H, 2:59
0, 25, H, H, 2:59
0, 26, H, H, 2:59
0, 27, H, H, 2:59
0, 28, H, L, 2:59
0, 29, H, L, 2:59
0, 30, L, L, 2:59
0, 31, L, L, 2:59
0, 32, L, H, 2:59
0, 33, L, H, 2:59
0, 34, L, L, 2:59
0, 35, L, L, 2:59
0, 36, L, L, 2:59
1, 0, L, M, 2:54
1, 1, L, L, 2:54
1, 2, L, L, 2:54
1, 3, L, L, 2:54
1, 4, L, L, 2:54
1, 5, L, L, 2:54
1, 6, M, M, 2:54
1, 7, M, M, 2:54
1, 8, L, L, 2:54
1, 9, L, L, 2:54
1, 10, L, L, 2:54
1, 11, M, M, 2:54
2, 0, M, M, 2:54
2, 1, M, M, 2:54
2, 2, L, L, 2:54
2, 3, M, M, 2:54
2, 4, L, M, 2:54
2, 5, L, M, 2:54
2, 6, M, M, 2:54
2, 7, L, M, 2:54
2, 8, M, M, 2:54
2, 9, M, M, 2:54
2, 10, L, L, 2:54
2, 11, M, M, 2:54
2, 12, M, M, 2:54
2, 13, L, L, 2:54
2, 14, M, M, 2:54
2, 15, M, M, 2:54
2, 16, M, L, 2:54
2, 17, M, L, 2:54
2, 18, M, M, 2:54
2, 19, L, L, 2:54
2, 20, L, L, 2:54
2, 21, L, L, 2:54
2, 22, L, L, 2:54
2, 23, M, L, 2:54
2, 24, M, M, 2:54
3, 0, L, M, 2:54
3, 1, M, M, 2:54
3, 2, M, M, 2:54
3, 3, L, L, 2:54
3, 4, M, L, 2:54
3, 5, M, M, 2:54
3, 6, M, M, 2:54
3, 7, L, M, 2:54
4, 0, L, L, 2:54
4, 1, L, L, 2:54
4, 2, H, L, 2:54
4, 3, H, M, 2:54
4, 4, H, H, 2:54
4, 5, H, H, 2:54
4, 6, L, H, 2:54
4, 7, L, H, 2:54
4, 8, L, L, 2:54
4, 9, M, L, 2:54
4, 10, M, M, 2:54
4, 11, M, M, 2:54
4, 12, L, L, 2:54
4, 13, M, L, 2:54
4, 14, H, H, 2:54
4, 15, H, H, 2:54
4, 16, H, H, 2:54
4, 17, M, L, 2:54
4, 18, L, L, 2:54
5, 0, M, M, 2:54
5, 1, M, M, 2:54
5, 2, L, L, 2:54
5, 3, L, L, 2:54
5, 4, L, L, 2:54
5, 5, L, L, 2:54
5, 6, M, H, 2:54
5, 7, M, H, 2:54
5, 8, H, H, 2:54
5, 9, H, H, 2:54
5, 10, H, H, 2:54
5, 11, H, H, 2:54
5, 12, L, L, 2:54
5, 13, L, L, 2:54
5, 14, L, L, 2:54
6, 0, L, H, 2:54
6, 1, M, H, 2:54
6, 2, L, M, 2:54
6, 3, L, L, 2:54
6, 4, M, L, 2:54
6, 5, M, M, 2:54
6, 6, M, M, 2:54
7, 0, H, H, 2:54
7, 1, M, H, 2:54
7, 2, M, H, 2:54
7, 3, M, H, 2:54
7, 4, L, H, 2:54
7, 5, L, H, 2:54
7, 6, M, H, 2:54
7, 7, L, H, 2:54
7, 8, L, L, 2:54
7, 9, M, M, 2:54
7, 10, M, M, 2:54
7, 11, M, M, 2:54
8, 0, L, H, 2:54
8, 1, L, L, 2:54
8, 2, L, L, 2:54
8, 3, L, L, 2:54
8, 4, L, L, 2:54
8, 5, L, L, 2:54
8, 6, L, L, 2:54
