#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 11:42
0, 1, L, L, 11:42
0, 2, M, M, 11:42
0, 3, L, L, 11:42
0, 4, M, M, 11:42
0, 5, M, L, 11:42
0, 6, L, L, 11:42
0, 7, L, L, 11:42
0, 8, L, L, 11:42
0, 9, L, L, 11:42
0, 10, L, L, 11:42
0, 11, M, L, 11:42
0, 12, L, M, 11:42
0, 13, L, L, 11:42
0, 14, L, L, 11:42
0, 15, L, L, 11:42
0, 16, L, L, 11:42
0, 17, L, L, 11:42
0, 18, L, L, 11:42
0, 19, L, H, 11:42
0, 20, L, H, 11:42
0, 21, L, H, 11:42
0, 22, L, H, 11:42
0, 23, L, H, 11:42
0, 24, L, H, 11:42
0, 25, L, H, 11:42
0, 26, L, H, 11:42
0, 27, L, L, 11:42
0, 28, M, L, 11:42
0, 29, M, L, 11:42
0, 30, L, L, 11:42
0, 31, L, L, 11:42
0, 32, L, M, 11:42
0, 33, L, L, 11:42
0, 34, L, L, 11:42
0, 35, L, L, 11:42
0, 36, L, L, 11:42
1, 0, L, L, 11:42
1, 1, L, L, 11:42
1, 2, L, L, 11:42
1, 3, L, L, 11:42
1, 4, L, L, 11:42
1, 5, L, L, 11:42
1, 6, M, M, 11:42
1, 7, M, M, 11:42
1, 8, L, L, 11:42
1, 9, L, L, 11:42
1, 10, L, L, 11:42
1, 11, L, M, 11:42
2, 0, M, M, 11:42
2, 1, L, M, 11:42
2, 2, L, L, 11:42
2, 3, L, L, 11:42
2, 4, M, M, 11:42
2, 5, M, M, 11:42
2, 6, L, M, 11:42
2, 7, L, M, 11:42
2, 8, L, M, 11:42
2, 9, L, L, 11:42
2, 10, L, L, 11:42
2, 11, L, L, 11:42
2, 12, L, L, 11:42
2, 13, L, L, 11:42
2, 14, M, L, 11:42
2, 15, M, M, 11:42
2, 16, L, M, 11:42
2, 17, L, L, 11:42
2, 18, L, L, 11:42
2, 19, L, L, 11:42
2, 20, L, L, 11:42
2, 21, L, L, 11:42
2, 22, L, L, 11:42
2, 23, L, L, 11:42
2, 24, M, M, 11:42
3, 0, M, M, 11:42
3, 1, M, M, 11:42
3, 2, L, L, 11:42
3, 3, L, L, 11:42
3, 4, L, L, 11:42
3, 5, M, M, 11:42
3, 6, M, M, 11:42
3, 7, M, M, 11:42
4, 0, L, L, 11:42
4, 1, L, L, 11:42
4, 2, L, L, 11:42
4, 3, L, L, 11:42
4, 4, H, H, 11:42
4, 5, H, H, 11:42
4, 6, H, H, 11:42
4, 7, H, H, 11:42
4, 8, H, H, 11:42
4, 9, L, L, 11:42
4, 10, M, M, 11:42
4, 11, L, M, 11:42
4, 12, L, L, 11:42
4, 13, L, L, 11:42
4, 14, L, L, 11:42
4, 15, M, M, 11:42
4, 16, M, H, 11:42
4, 17, L, H, 11:42
4, 18, L, H, 11:42
5, 0, L, M, 11:42
5, 1, L, M, 11:42
5, 2, L, L, 11:42
5, 3, L, L, 11:42
5, 4, L, L, 11:42
5, 5, L, L, 11:42
5, 6, L, L, 11:42
5, 7, M, L, 11:42
5, 8, L, L, 11:42
5, 9, L, L, 11:42
5, 10, L, L, 11:42
5, 11, M, M, 11:42
5, 12, L, L, 11:42
5, 13, M, L, 11:42
5, 14, L, L, 11:42
6, 0, L, L, 11:42
6, 1, L, M, 11:42
6, 2, L, L, 11:42
6, 3, L, L, 11:42
6, 4, L, L, 11:42
6, 5, L, L, 11:42
6, 6, L, L, 11:42
7, 0, M, M, 11:42
7, 1, M, M, 11:42
7, 2, M, L, 11:42
7, 3, L, L, 11:42
7, 4, L, L, 11:42
7, 5, M, M, 11:42
7, 6, M, M, 11:42
7, 7, L, L, 11:42
7, 8, L, L, 11:42
7, 9, H, M, 11:42
7, 10, H, M, 11:42
7, 11, H, M, 11:42
8, 0, L, L, 11:42
8, 1, L, L, 11:42
8, 2, L, M, 11:42
8, 3, L, L, 11:42
8, 4, L, L, 11:42
8, 5, L, L, 11:42
8, 6, L, L, 11:42
