#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 9:56
0, 1, L, L, 9:56
0, 2, M, L, 9:56
0, 3, M, L, 9:56
0, 4, L, L, 9:56
0, 5, L, L, 9:56
0, 6, L, L, 9:56
0, 7, L, L, 9:56
0, 8, L, L, 9:56
0, 9, L, L, 9:56
0, 10, L, L, 9:56
0, 11, L, M, 9:56
0, 12, L, L, 9:56
0, 13, L, L, 9:56
0, 14, L, L, 9:56
0, 15, L, L, 9:56
0, 16, M, M, 9:56
0, 17, M, M, 9:56
0, 18, L, L, 9:56
0, 19, M, H, 9:56
0, 20, L, H, 9:56
0, 21, L, H, 9:56
0, 22, M, L, 9:56
0, 23, L, H, 9:56
0, 24, L, H, 9:56
0, 25, M, H, 9:56
0, 26, M, H, 9:56
0, 27, L, H, 9:56
0, 28, L, H, 9:56
0, 29, L, L, 9:56
0, 30, L, L, 9:56
0, 31, L, L, 9:56
0, 32, L, M, 9:56
0, 33, L, M, 9:56
0, 34, L, L, 9:56
0, 35, L, L, 9:56
0, 36, L, L, 9:56
1, 0, M, L, 9:56
1, 1, L, L, 9:56
1, 2, L, L, 9:56
1, 3, L, L, 9:56
1, 4, L, L, 9:56
1, 5, L, L, 9:56
1, 6, M, M, 9:56
1, 7, M, M, 9:56
1, 8, L, L, 9:56
1, 9, L, L, 9:56
1, 10, L, L, 9:56
1, 11, M, M, 9:56
2, 0, M, M, 9:56
2, 1, M, L, 9:56
2, 2, L, L, 9:56
2, 3, L, L, 9:56
2, 4, M, M, 9:56
2, 5, L, L, 9:56
2, 6, M, M, 9:56
2, 7, M, M, 9:56
2, 8, L, L, 9:56
2, 9, M, M, 9:56
2, 10, M, M, 9:56
2, 11, L, L, 9:56
2, 12, L, L, 9:56
2, 13, L, L, 9:56
2, 14, M, L, 9:56
2, 15, M, M, 9:56
2, 16, L, M, 9:56
2, 17, L, L, 9:56
2, 18, L, L, 9:56
2, 19, L, L, 9:56
2, 20, L, L, 9:56
2, 21, L, L, 9:56
2, 22, L, L, 9:56
2, 23, M, L, 9:56
2, 24, M, L, 9:56
3, 0, H, L, 9:57
3, 1, H, L, 9:57
3, 2, H, L, 9:57
3, 3, H, L, 9:57
3, 4, H, L, 9:57
3, 5, H, M, 9:57
3, 6, L, M, 9:57
3, 7, L, L, 9:57
4, 0, L, L, 9:57
4, 1, L, L, 9:57
4, 2, L, L, 9:57
4, 3, L, L, 9:57
4, 4, M, M, 9:57
4, 5, M, M, 9:57
4, 6, L, L, 9:57
4, 7, L, L, 9:57
4, 8, L, L, 9:57
4, 9, L, L, 9:57
4, 10, H, L, 9:57
4, 11, H, L, 9:57
4, 12, H, L, 9:57
4, 13, L, L, 9:57
4, 14, L, L, 9:57
4, 15, L, L, 9:57
4, 16, M, M, 9:57
4, 17, L, L, 9:57
4, 18, L, L, 9:57
5, 0, M, M, 9:57
5, 1, M, M, 9:57
5, 2, L, L, 9:57
5, 3, L, L, 9:57
5, 4, L, L, 9:57
5, 5, L, L, 9:57
5, 6, L, L, 9:57
5, 7, L, L, 9:57
5, 8, H, L, 9:57
5, 9, H, M, 9:57
5, 10, H, M, 9:57
5, 11, L, M, 9:57
5, 12, L, L, 9:57
5, 13, L, L, 9:57
5, 14, L, L, 9:57
6, 0, L, L, 9:57
6, 1, L, L, 9:57
6, 2, L, L, 9:57
6, 3, L, L, 9:57
6, 4, M, M, 9:57
6, 5, L, L, 9:57
6, 6, M, M, 9:57
7, 0, M, M, 9:57
7, 1, L, M, 9:57
7, 2, L, L, 9:57
7, 3, M, M, 9:57
7, 4, L, L, 9:57
7, 5, L, L, 9:57
7, 6, L, L, 9:57
7, 7, L, L, 9:57
7, 8, L, L, 9:57
7, 9, L, M, 9:57
7, 10, L, M, 9:57
7, 11, L, L, 9:57
8, 0, L, L, 9:57
8, 1, L, L, 9:57
8, 2, L, L, 9:57
8, 3, L, L, 9:57
8, 4, L, L, 9:57
8, 5, L, L, 9:57
8, 6, L, L, 9:57
