#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 10:10
0, 1, L, L, 10:10
0, 2, M, M, 10:10
0, 3, L, L, 10:10
0, 4, L, L, 10:10
0, 5, M, M, 10:10
0, 6, L, L, 10:10
0, 7, L, L, 10:10
0, 8, L, L, 10:10
0, 9, M, L, 10:10
0, 10, H, H, 10:10
0, 11, H, H, 10:10
0, 12, L, H, 10:10
0, 13, L, H, 10:10
0, 14, L, H, 10:10
0, 15, L, H, 10:10
0, 16, L, H, 10:10
0, 17, L, L, 10:10
0, 18, L, L, 10:10
0, 19, L, H, 10:10
0, 20, L, H, 10:10
0, 21, L, H, 10:10
0, 22, L, H, 10:10
0, 23, L, H, 10:10
0, 24, L, H, 10:10
0, 25, L, H, 10:10
0, 26, M, H, 10:10
0, 27, H, H, 10:10
0, 28, H, L, 10:10
0, 29, H, M, 10:10
0, 30, L, L, 10:10
0, 31, M, M, 10:10
0, 32, L, M, 10:10
0, 33, L, M, 10:10
0, 34, L, L, 10:10
0, 35, L, L, 10:10
0, 36, L, L, 10:10
1, 0, L, L, 10:05
1, 1, L, L, 10:05
1, 2, L, L, 10:05
1, 3, L, L, 10:05
1, 4, L, L, 10:05
1, 5, L, L, 10:05
1, 6, M, M, 10:05
1, 7, M, M, 10:05
1, 8, L, L, 10:05
1, 9, L, L, 10:05
1, 10, L, L, 10:05
1, 11, L, L, 10:05
2, 0, M, M, 9:58
2, 1, M, M, 9:58
2, 2, L, L, 9:58
2, 3, L, L, 9:58
2, 4, L, M, 9:58
2, 5, L, M, 9:58
2, 6, L, M, 9:58
2, 7, L, M, 9:58
2, 8, L, L, 9:58
2, 9, L, L, 9:58
2, 10, L, L, 9:58
2, 11, L, L, 9:58
2, 12, L, L, 9:58
2, 13, L, L, 9:58
2, 14, M, L, 9:58
2, 15, M, M, 9:58
2, 16, L, M, 9:58
2, 17, L, L, 9:58
2, 18, L, L, 9:58
2, 19, L, L, 9:58
2, 20, L, L, 9:58
2, 21, L, L, 9:58
2, 22, L, L, 9:58
2, 23, L, L, 9:58
2, 24, L, L, 9:58
3, 0, L, L, 10:06
3, 1, L, M, 10:06
3, 2, M, M, 10:06
3, 3, M, L, 10:06
3, 4, M, L, 10:06
3, 5, M, M, 10:06
3, 6, L, M, 10:06
3, 7, L, M, 10:06
4, 0, L, L, 10:06
4, 1, L, L, 10:06
4, 2, L, L, 10:06
4, 3, L, L, 10:06
4, 4, M, M, 10:06
4, 5, M, M, 10:06
4, 6, L, M, 10:06
4, 7, L, L, 10:06
4, 8, M, L, 10:06
4, 9, L, L, 10:06
4, 10, M, M, 10:06
4, 11, L, L, 10:06
4, 12, L, L, 10:06
4, 13, L, L, 10:06
4, 14, L, L, 10:06
4, 15, L, L, 10:06
4, 16, M, H, 10:06
4, 17, L, H, 10:06
4, 18, L, H, 10:06
5, 0, M, M, 10:06
5, 1, M, M, 10:06
5, 2, L, M, 10:06
5, 3, L, L, 10:06
5, 4, L, L, 10:06
5, 5, H, L, 10:06
5, 6, H, H, 10:06
5, 7, H, H, 10:06
5, 8, H, H, 10:06
5, 9, H, H, 10:06
5, 10, H, L, 10:06
5, 11, H, L, 10:06
5, 12, L, L, 10:06
5, 13, L, L, 10:06
5, 14, L, L, 10:06
6, 0, M, L, 10:07
6, 1, M, L, 10:07
6, 2, L, L, 10:07
6, 3, L, L, 10:07
6, 4, L, L, 10:07
6, 5, L, M, 10:07
6, 6, L, M, 10:07
7, 0, M, M, 10:07
7, 1, M, M, 10:07
7, 2, L, L, 10:07
7, 3, L, M, 10:07
7, 4, L, M, 10:07
7, 5, M, M, 10:07
7, 6, M, M, 10:07
7, 7, L, L, 10:07
7, 8, L, L, 10:07
7, 9, M, M, 10:07
7, 10, M, M, 10:07
7, 11, M, M, 10:07
8, 0, L, H, 10:07
8, 1, L, L, 10:07
8, 2, L, L, 10:07
8, 3, L, L, 10:07
8, 4, H, L, 10:07
8, 5, H, M, 10:07
8, 6, L, L, 10:07
