#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 8:29
0, 1, L, L, 8:29
0, 2, M, M, 8:29
0, 3, L, L, 8:29
0, 4, M, M, 8:29
0, 5, M, M, 8:29
0, 6, L, L, 8:29
0, 7, L, L, 8:29
0, 8, L, L, 8:29
0, 9, L, L, 8:29
0, 10, L, M, 8:29
0, 11, M, H, 8:29
0, 12, L, H, 8:29
0, 13, L, M, 8:29
0, 14, L, M, 8:29
0, 15, L, H, 8:29
0, 16, L, H, 8:29
0, 17, L, M, 8:29
0, 18, L, L, 8:29
0, 19, L, H, 8:29
0, 20, L, H, 8:29
0, 21, L, H, 8:29
0, 22, L, H, 8:29
0, 23, L, H, 8:29
0, 24, L, H, 8:29
0, 25, M, H, 8:29
0, 26, H, H, 8:29
0, 27, H, H, 8:29
0, 28, H, M, 8:29
0, 29, H, L, 8:29
0, 30, H, L, 8:29
0, 31, H, M, 8:29
0, 32, L, H, 8:29
0, 33, L, H, 8:29
0, 34, L, L, 8:29
0, 35, L, L, 8:29
0, 36, L, L, 8:29
1, 0, L, L, 8:29
1, 1, L, L, 8:29
1, 2, L, L, 8:29
1, 3, L, L, 8:29
1, 4, L, L, 8:29
1, 5, L, L, 8:29
1, 6, M, M, 8:29
1, 7, M, M, 8:29
1, 8, L, L, 8:29
1, 9, L, L, 8:29
1, 10, L, L, 8:29
1, 11, M, M, 8:29
2, 0, M, M, 8:29
2, 1, M, M, 8:29
2, 2, L, L, 8:29
2, 3, M, M, 8:29
2, 4, M, M, 8:29
2, 5, L, M, 8:29
2, 6, L, M, 8:29
2, 7, L, L, 8:29
2, 8, L, M, 8:29
2, 9, L, L, 8:29
2, 10, L, L, 8:29
2, 11, L, L, 8:29
2, 12, L, L, 8:29
2, 13, L, L, 8:29
2, 14, M, L, 8:29
2, 15, M, M, 8:29
2, 16, L, M, 8:29
2, 17, L, L, 8:29
2, 18, L, L, 8:29
2, 19, L, L, 8:29
2, 20, L, L, 8:29
2, 21, L, L, 8:29
2, 22, L, L, 8:29
2, 23, L, L, 8:29
2, 24, L, M, 8:29
3, 0, L, L, 8:29
3, 1, M, M, 8:29
3, 2, M, M, 8:29
3, 3, M, L, 8:29
3, 4, M, L, 8:29
3, 5, M, M, 8:29
3, 6, L, M, 8:29
3, 7, L, M, 8:29
4, 0, L, L, 8:29
4, 1, L, L, 8:29
4, 2, L, L, 8:29
4, 3, H, L, 8:29
4, 4, H, L, 8:29
4, 5, H, H, 8:29
4, 6, M, H, 8:29
4, 7, L, H, 8:29
4, 8, L, L, 8:29
4, 9, L, L, 8:29
4, 10, M, H, 8:29
4, 11, M, H, 8:29
4, 12, L, H, 8:29
4, 13, L, L, 8:29
4, 14, H, L, 8:29
4, 15, H, M, 8:29
4, 16, H, H, 8:29
4, 17, H, H, 8:29
4, 18, L, H, 8:29
5, 0, L, M, 8:29
5, 1, M, M, 8:29
5, 2, L, L, 8:29
5, 3, L, L, 8:29
5, 4, L, L, 8:29
5, 5, L, L, 8:29
5, 6, L, L, 8:29
5, 7, M, M, 8:29
5, 8, M, M, 8:29
5, 9, M, L, 8:29
5, 10, M, L, 8:29
5, 11, M, L, 8:29
5, 12, L, L, 8:29
5, 13, L, L, 8:29
5, 14, M, L, 8:29
6, 0, H, L, 8:28
6, 1, H, M, 8:28
6, 2, H, L, 8:28
6, 3, L, L, 8:28
6, 4, L, L, 8:28
6, 5, M, M, 8:28
6, 6, L, L, 8:28
7, 0, M, L, 8:28
7, 1, M, M, 8:28
7, 2, L, M, 8:28
7, 3, L, L, 8:28
7, 4, L, L, 8:28
7, 5, M, M, 8:28
7, 6, M, M, 8:28
7, 7, L, L, 8:28
7, 8, L, L, 8:28
7, 9, M, M, 8:28
7, 10, M, M, 8:28
7, 11, L, L, 8:28
8, 0, L, L, 8:32
8, 1, L, L, 8:32
8, 2, L, L, 8:32
8, 3, L, L, 8:32
8, 4, L, L, 8:32
8, 5, L, L, 8:32
8, 6, L, L, 8:32
