#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 6:59
0, 1, L, L, 6:59
0, 2, L, L, 6:59
0, 3, H, H, 6:59
0, 4, L, H, 6:59
0, 5, L, L, 6:59
0, 6, L, L, 6:59
0, 7, H, L, 6:59
0, 8, H, L, 6:59
0, 9, H, L, 6:59
0, 10, H, L, 6:59
0, 11, H, L, 6:59
0, 12, H, L, 6:59
0, 13, H, L, 6:59
0, 14, H, L, 6:59
0, 15, H, L, 6:59
0, 16, H, H, 6:59
0, 17, H, H, 6:59
0, 18, H, L, 6:59
0, 19, H, L, 6:59
0, 20, H, L, 6:59
0, 21, H, L, 6:59
0, 22, H, L, 6:59
0, 23, L, M, 6:59
0, 24, H, L, 6:59
0, 25, H, L, 6:59
0, 26, H, L, 6:59
0, 27, L, L, 6:59
0, 28, L, M, 6:59
0, 29, L, L, 6:59
0, 30, M, L, 6:59
0, 31, M, L, 6:59
0, 32, L, M, 6:59
0, 33, L, M, 6:59
0, 34, L, L, 6:59
0, 35, L, L, 6:59
0, 36, L, L, 6:59
1, 0, M, L, 6:59
1, 1, L, L, 6:59
1, 2, L, L, 6:59
1, 3, L, L, 6:59
1, 4, L, L, 6:59
1, 5, H, L, 6:59
1, 6, H, M, 6:59
1, 7, H, M, 6:59
1, 8, L, L, 6:59
1, 9, L, L, 6:59
1, 10, M, L, 6:59
1, 11, M, L, 6:59
2, 0, M, M, 6:59
2, 1, L, L, 6:59
2, 2, L, L, 6:59
2, 3, L, L, 6:59
2, 4, M, L, 6:59
2, 5, L, L, 6:59
2, 6, L, L, 6:59
2, 7, L, L, 6:59
2, 8, L, L, 6:59
2, 9, L, L, 6:59
2, 10, L, L, 6:59
2, 11, L, L, 6:59
2, 12, L, L, 6:59
2, 13, L, L, 6:59
2, 14, L, L, 6:59
2, 15, L, L, 6:59
2, 16, L, L, 6:59
2, 17, L, L, 6:59
2, 18, L, L, 6:59
2, 19, L, L, 6:59
2, 20, L, L, 6:59
2, 21, L, L, 6:59
2, 22, L, L, 6:59
2, 23, L, L, 6:59
2, 24, M, M, 6:59
3, 0, H, L, 6:59
3, 1, H, L, 6:59
3, 2, H, L, 6:59
3, 3, H, L, 6:59
3, 4, H, L, 6:59
3, 5, H, M, 6:59
3, 6, L, L, 6:59
3, 7, M, M, 6:59
4, 0, M, L, 6:59
4, 1, M, L, 6:59
4, 2, M, M, 6:59
4, 3, H, L, 6:59
4, 4, H, H, 6:59
4, 5, H, H, 6:59
4, 6, H, H, 6:59
4, 7, L, L, 6:59
4, 8, M, L, 6:59
4, 9, L, L, 6:59
4, 10, M, M, 6:59
4, 11, M, L, 6:59
4, 12, L, L, 6:59
4, 13, L, L, 6:59
4, 14, H, L, 6:59
4, 15, H, L, 6:59
4, 16, H, M, 6:59
4, 17, H, L, 6:59
4, 18, L, L, 6:59
5, 0, M, M, 7:00
5, 1, M, M, 7:00
5, 2, M, M, 7:00
5, 3, L, L, 7:00
5, 4, L, L, 7:00
5, 5, L, L, 7:00
5, 6, L, H, 7:00
5, 7, L, H, 7:00
5, 8, L, H, 7:00
5, 9, H, M, 7:00
5, 10, H, M, 7:00
5, 11, H, L, 7:00
5, 12, L, L, 7:00
5, 13, L, L, 7:00
5, 14, M, L, 7:00
6, 0, L, H, 7:00
6, 1, M, H, 7:00
6, 2, L, L, 7:00
6, 3, L, L, 7:00
6, 4, L, L, 7:00
6, 5, M, M, 7:00
6, 6, M, M, 7:00
7, 0, L, M, 6:59
7, 1, L, L, 6:59
7, 2, L, L, 6:59
7, 3, L, L, 6:59
7, 4, L, L, 6:59
7, 5, L, L, 6:59
7, 6, L, L, 6:59
7, 7, L, L, 6:59
7, 8, L, M, 6:59
7, 9, M, M, 6:59
7, 10, M, M, 6:59
7, 11, L, M, 6:59
8, 0, L, H, 6:49
8, 1, L, H, 6:49
8, 2, L, L, 6:49
8, 3, L, L, 6:49
8, 4, L, L, 6:49
8, 5, L, L, 6:49
8, 6, L, L, 6:49
