#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 3:52
0, 1, L, L, 3:52
0, 2, M, M, 3:52
0, 3, L, L, 3:52
0, 4, L, L, 3:52
0, 5, L, L, 3:52
0, 6, L, L, 3:52
0, 7, L, L, 3:52
0, 8, H, L, 3:52
0, 9, H, L, 3:52
0, 10, H, L, 3:52
0, 11, H, M, 3:52
0, 12, L, L, 3:52
0, 13, L, L, 3:52
0, 14, L, L, 3:52
0, 15, L, L, 3:52
0, 16, L, L, 3:52
0, 17, L, L, 3:52
0, 18, L, L, 3:52
0, 19, L, H, 3:52
0, 20, L, H, 3:52
0, 21, L, H, 3:52
0, 22, M, H, 3:52
0, 23, H, M, 3:52
0, 24, H, L, 3:52
0, 25, H, L, 3:52
0, 26, H, L, 3:52
0, 27, H, L, 3:52
0, 28, H, L, 3:52
0, 29, H, M, 3:52
0, 30, L, L, 3:52
0, 31, L, L, 3:52
0, 32, L, M, 3:52
0, 33, L, M, 3:52
0, 34, L, L, 3:52
0, 35, L, L, 3:52
0, 36, L, L, 3:52
1, 0, L, L, 3:51
1, 1, L, L, 3:51
1, 2, L, L, 3:51
1, 3, L, L, 3:51
1, 4, L, L, 3:51
1, 5, L, L, 3:51
1, 6, M, M, 3:51
1, 7, M, M, 3:51
1, 8, L, L, 3:51
1, 9, L, L, 3:51
1, 10, L, L, 3:51
1, 11, L, L, 3:51
2, 0, M, M, 3:51
2, 1, M, M, 3:51
2, 2, L, L, 3:51
2, 3, L, L, 3:51
2, 4, L, M, 3:51
2, 5, L, L, 3:51
2, 6, L, L, 3:51
2, 7, L, L, 3:51
2, 8, L, L, 3:51
2, 9, L, L, 3:51
2, 10, L, L, 3:51
2, 11, M, M, 3:51
2, 12, M, M, 3:51
2, 13, L, L, 3:51
2, 14, M, M, 3:51
2, 15, M, M, 3:51
2, 16, L, L, 3:51
2, 17, L, L, 3:51
2, 18, M, M, 3:51
2, 19, L, L, 3:51
2, 20, L, L, 3:51
2, 21, L, L, 3:51
2, 22, L, L, 3:51
2, 23, M, L, 3:51
2, 24, M, M, 3:51
3, 0, L, L, 3:51
3, 1, M, M, 3:51
3, 2, L, L, 3:51
3, 3, L, L, 3:51
3, 4, L, L, 3:51
3, 5, M, M, 3:51
3, 6, L, L, 3:51
3, 7, M, M, 3:51
4, 0, L, L, 3:51
4, 1, H, L, 3:51
4, 2, H, L, 3:51
4, 3, H, L, 3:51
4, 4, H, L, 3:51
4, 5, H, H, 3:51
4, 6, L, H, 3:51
4, 7, M, H, 3:51
4, 8, L, L, 3:51
4, 9, L, L, 3:51
4, 10, M, M, 3:51
4, 11, L, L, 3:51
4, 12, M, M, 3:51
4, 13, L, L, 3:51
4, 14, L, L, 3:51
4, 15, L, M, 3:51
4, 16, M, L, 3:51
4, 17, L, L, 3:51
4, 18, L, L, 3:51
5, 0, L, L, 3:51
5, 1, L, L, 3:51
5, 2, L, L, 3:51
5, 3, L, L, 3:51
5, 4, L, L, 3:51
5, 5, L, L, 3:51
5, 6, L, M, 3:51
5, 7, L, M, 3:51
5, 8, M, L, 3:51
5, 9, L, L, 3:51
5, 10, M, M, 3:51
5, 11, M, L, 3:51
5, 12, L, L, 3:51
5, 13, L, L, 3:51
5, 14, L, L, 3:51
6, 0, L, L, 3:51
6, 1, L, L, 3:51
6, 2, L, M, 3:51
6, 3, L, L, 3:51
6, 4, L, L, 3:51
6, 5, L, L, 3:51
6, 6, L, L, 3:51
7, 0, L, L, 3:51
7, 1, M, M, 3:51
7, 2, L, L, 3:51
7, 3, M, L, 3:51
7, 4, L, M, 3:51
7, 5, L, L, 3:51
7, 6, M, L, 3:51
7, 7, L, L, 3:51
7, 8, L, L, 3:51
7, 9, M, L, 3:51
7, 10, M, L, 3:51
7, 11, L, L, 3:51
8, 0, L, L, 3:51
8, 1, L, L, 3:51
8, 2, L, L, 3:51
8, 3, L, L, 3:51
8, 4, L, L, 3:51
8, 5, L, L, 3:51
8, 6, L, L, 3:51
