#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 8:52
0, 1, L, L, 8:52
0, 2, M, M, 8:52
0, 3, L, L, 8:52
0, 4, L, M, 8:52
0, 5, M, M, 8:52
0, 6, L, L, 8:52
0, 7, L, L, 8:52
0, 8, L, L, 8:52
0, 9, L, L, 8:52
0, 10, L, L, 8:52
0, 11, M, L, 8:52
0, 12, L, L, 8:52
0, 13, L, L, 8:52
0, 14, L, L, 8:52
0, 15, H, M, 8:52
0, 16, H, M, 8:52
0, 17, H, L, 8:52
0, 18, H, L, 8:52
0, 19, H, L, 8:52
0, 20, H, L, 8:52
0, 21, H, L, 8:52
0, 22, H, L, 8:52
0, 23, H, M, 8:52
0, 24, H, L, 8:52
0, 25, H, L, 8:52
0, 26, H, M, 8:52
0, 27, L, L, 8:52
0, 28, L, L, 8:52
0, 29, M, L, 8:52
0, 30, L, L, 8:52
0, 31, L, L, 8:52
0, 32, L, M, 8:52
0, 33, L, L, 8:52
0, 34, L, L, 8:52
0, 35, L, L, 8:52
0, 36, L, L, 8:52
1, 0, L, L, 8:52
1, 1, L, L, 8:52
1, 2, L, L, 8:52
1, 3, L, L, 8:52
1, 4, L, L, 8:52
1, 5, L, L, 8:52
1, 6, M, M, 8:52
1, 7, M, M, 8:52
1, 8, L, L, 8:52
1, 9, L, L, 8:52
1, 10, M, L, 8:52
1, 11, M, M, 8:52
2, 0, M, M, 8:52
2, 1, M, M, 8:52
2, 2, L, L, 8:52
2, 3, L, L, 8:52
2, 4, L, M, 8:52
2, 5, L, L, 8:52
2, 6, L, L, 8:52
2, 7, L, L, 8:52
2, 8, M, L, 8:52
2, 9, L, L, 8:52
2, 10, L, L, 8:52
2, 11, M, M, 8:52
2, 12, M, M, 8:52
2, 13, L, L, 8:52
2, 14, L, L, 8:52
2, 15, M, M, 8:52
2, 16, M, L, 8:52
2, 17, M, L, 8:52
2, 18, M, M, 8:52
2, 19, L, L, 8:52
2, 20, L, L, 8:52
2, 21, L, L, 8:52
2, 22, M, L, 8:52
2, 23, M, L, 8:52
2, 24, M, L, 8:52
3, 0, L, L, 8:52
3, 1, M, M, 8:52
3, 2, M, L, 8:52
3, 3, L, L, 8:52
3, 4, M, L, 8:52
3, 5, M, M, 8:52
3, 6, L, L, 8:52
3, 7, M, M, 8:52
4, 0, L, L, 8:52
4, 1, L, L, 8:52
4, 2, L, L, 8:52
4, 3, L, L, 8:52
4, 4, M, L, 8:52
4, 5, M, M, 8:52
4, 6, L, M, 8:52
4, 7, M, M, 8:52
4, 8, L, L, 8:52
4, 9, L, L, 8:52
4, 10, M, M, 8:52
4, 11, M, M, 8:52
4, 12, M, M, 8:52
4, 13, H, L, 8:52
4, 14, H, L, 8:52
4, 15, H, M, 8:52
4, 16, H, M, 8:52
4, 17, L, M, 8:52
4, 18, L, M, 8:52
5, 0, M, M, 8:52
5, 1, L, L, 8:52
5, 2, L, L, 8:52
5, 3, L, L, 8:52
5, 4, L, L, 8:52
5, 5, L, L, 8:52
5, 6, L, L, 8:52
5, 7, M, M, 8:52
5, 8, M, M, 8:52
5, 9, L, L, 8:52
5, 10, L, L, 8:52
5, 11, M, M, 8:52
5, 12, L, L, 8:52
5, 13, L, M, 8:52
5, 14, L, L, 8:52
6, 0, L, L, 8:52
6, 1, M, M, 8:52
6, 2, L, L, 8:52
6, 3, L, L, 8:52
6, 4, L, L, 8:52
6, 5, M, M, 8:52
6, 6, L, L, 8:52
7, 0, M, H, 8:52
7, 1, M, H, 8:52
7, 2, L, H, 8:52
7, 3, L, H, 8:52
7, 4, L, H, 8:52
7, 5, M, H, 8:52
7, 6, M, H, 8:52
7, 7, L, H, 8:52
7, 8, L, L, 8:52
7, 9, M, M, 8:52
7, 10, M, H, 8:52
7, 11, L, H, 8:52
8, 0, L, H, 8:52
8, 1, L, L, 8:52
8, 2, L, L, 8:52
8, 3, L, L, 8:52
8, 4, L, L, 8:52
8, 5, L, L, 8:52
8, 6, L, L, 8:52
