#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 5:01
0, 1, L, L, 5:01
0, 2, M, M, 5:01
0, 3, L, L, 5:01
0, 4, M, M, 5:01
0, 5, M, M, 5:01
0, 6, L, M, 5:01
0, 7, L, L, 5:01
0, 8, L, L, 5:01
0, 9, H, L, 5:01
0, 10, H, M, 5:01
0, 11, H, H, 5:01
0, 12, L, H, 5:01
0, 13, L, H, 5:01
0, 14, L, H, 5:01
0, 15, M, H, 5:01
0, 16, H, H, 5:01
0, 17, H, H, 5:01
0, 18, M, L, 5:01
0, 19, H, H, 5:01
0, 20, L, H, 5:01
0, 21, L, H, 5:01
0, 22, L, H, 5:01
0, 23, L, H, 5:01
0, 24, L, H, 5:01
0, 25, L, H, 5:01
0, 26, H, H, 5:01
0, 27, H, H, 5:01
0, 28, H, H, 5:01
0, 29, H, L, 5:01
0, 30, H, L, 5:01
0, 31, H, L, 5:01
0, 32, H, H, 5:01
0, 33, L, H, 5:01
0, 34, L, L, 5:01
0, 35, L, L, 5:01
0, 36, L, L, 5:01
1, 0, L, L, 5:01
1, 1, L, L, 5:01
1, 2, L, L, 5:01
1, 3, L, L, 5:01
1, 4, L, L, 5:01
1, 5, L, L, 5:01
1, 6, M, M, 5:01
1, 7, M, M, 5:01
1, 8, L, L, 5:01
1, 9, L, L, 5:01
1, 10, L, L, 5:01
1, 11, M, M, 5:01
2, 0, M, M, 5:01
2, 1, M, M, 5:01
2, 2, L, L, 5:01
2, 3, L, L, 5:01
2, 4, M, M, 5:01
2, 5, M, M, 5:01
2, 6, M, M, 5:01
2, 7, L, M, 5:01
2, 8, M, M, 5:01
2, 9, L, L, 5:01
2, 10, L, L, 5:01
2, 11, M, M, 5:01
2, 12, M, M, 5:01
2, 13, L, M, 5:01
2, 14, L, L, 5:01
2, 15, M, M, 5:01
2, 16, M, L, 5:01
2, 17, M, L, 5:01
2, 18, M, M, 5:01
2, 19, L, L, 5:01
2, 20, L, L, 5:01
2, 21, L, L, 5:01
2, 22, M, L, 5:01
2, 23, M, L, 5:01
2, 24, M, M, 5:01
3, 0, L, M, 5:01
3, 1, M, M, 5:01
3, 2, M, M, 5:01
3, 3, M, L, 5:01
3, 4, M, L, 5:01
3, 5, M, M, 5:01
3, 6, L, M, 5:01
3, 7, M, M, 5:01
4, 0, L, L, 5:01
4, 1, L, L, 5:01
4, 2, L, L, 5:01
4, 3, H, L, 5:01
4, 4, H, H, 5:01
4, 5, H, H, 5:01
4, 6, M, H, 5:01
4, 7, L, H, 5:01
4, 8, L, L, 5:01
4, 9, L, L, 5:01
4, 10, M, M, 5:01
4, 11, M, H, 5:01
4, 12, L, H, 5:01
4, 13, L, H, 5:01
4, 14, L, L, 5:01
4, 15, M, M, 5:01
4, 16, M, H, 5:01
4, 17, L, H, 5:01
4, 18, L, H, 5:01
5, 0, M, M, 5:01
5, 1, L, L, 5:01
5, 2, L, L, 5:01
5, 3, M, M, 5:01
5, 4, M, M, 5:01
5, 5, L, L, 5:01
5, 6, L, L, 5:01
5, 7, M, M, 5:01
5, 8, M, M, 5:01
5, 9, L, L, 5:01
5, 10, M, L, 5:01
5, 11, M, M, 5:01
5, 12, L, L, 5:01
5, 13, L, M, 5:01
5, 14, L, L, 5:01
6, 0, L, L, 5:01
6, 1, M, M, 5:01
6, 2, L, L, 5:01
6, 3, L, L, 5:01
6, 4, L, L, 5:01
6, 5, M, M, 5:01
6, 6, L, L, 5:01
7, 0, H, H, 5:01
7, 1, M, H, 5:01
7, 2, M, H, 5:01
7, 3, M, H, 5:01
7, 4, L, H, 5:01
7, 5, L, H, 5:01
7, 6, M, M, 5:01
7, 7, L, L, 5:01
7, 8, L, L, 5:01
7, 9, H, H, 5:01
7, 10, H, H, 5:01
7, 11, L, H, 5:01
8, 0, L, L, 5:01
8, 1, L, L, 5:01
8, 2, L, L, 5:01
8, 3, L, L, 5:01
8, 4, L, L, 5:01
8, 5, L, L, 5:01
8, 6, L, H, 5:01
