#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 8:14
0, 1, L, L, 8:14
0, 2, M, M, 8:14
0, 3, L, L, 8:14
0, 4, L, L, 8:14
0, 5, L, L, 8:14
0, 6, L, L, 8:14
0, 7, H, L, 8:14
0, 8, H, L, 8:14
0, 9, H, L, 8:14
0, 10, H, L, 8:14
0, 11, H, L, 8:14
0, 12, H, M, 8:14
0, 13, H, L, 8:14
0, 14, H, L, 8:14
0, 15, H, L, 8:14
0, 16, H, H, 8:14
0, 17, H, H, 8:14
0, 18, L, L, 8:14
0, 19, H, L, 8:14
0, 20, H, L, 8:14
0, 21, H, L, 8:14
0, 22, H, L, 8:14
0, 23, H, M, 8:14
0, 24, H, L, 8:14
0, 25, H, L, 8:14
0, 26, H, H, 8:14
0, 27, L, H, 8:14
0, 28, L, H, 8:14
0, 29, M, H, 8:14
0, 30, L, L, 8:14
0, 31, M, L, 8:14
0, 32, L, M, 8:14
0, 33, L, M, 8:14
0, 34, L, L, 8:14
0, 35, L, L, 8:14
0, 36, L, L, 8:14
1, 0, M, L, 8:14
1, 1, L, L, 8:14
1, 2, M, L, 8:14
1, 3, M, L, 8:14
1, 4, L, L, 8:14
1, 5, M, L, 8:14
1, 6, M, M, 8:14
1, 7, M, M, 8:14
1, 8, L, L, 8:14
1, 9, L, L, 8:14
1, 10, M, L, 8:14
1, 11, M, L, 8:14
2, 0, M, M, 8:14
2, 1, M, M, 8:14
2, 2, L, L, 8:14
2, 3, L, L, 8:14
2, 4, L, L, 8:14
2, 5, M, M, 8:14
2, 6, M, M, 8:14
2, 7, L, L, 8:14
2, 8, L, L, 8:14
2, 9, L, L, 8:14
2, 10, L, L, 8:14
2, 11, M, M, 8:14
2, 12, M, M, 8:14
2, 13, L, L, 8:14
2, 14, L, L, 8:14
2, 15, M, M, 8:14
2, 16, L, L, 8:14
2, 17, L, L, 8:14
2, 18, L, L, 8:14
2, 19, L, L, 8:14
2, 20, L, L, 8:14
2, 21, L, L, 8:14
2, 22, L, L, 8:14
2, 23, M, L, 8:14
2, 24, M, M, 8:14
3, 0, L, L, 8:15
3, 1, M, L, 8:15
3, 2, M, L, 8:15
3, 3, L, L, 8:15
3, 4, M, L, 8:15
3, 5, M, M, 8:15
3, 6, L, L, 8:15
3, 7, L, M, 8:15
4, 0, H, L, 8:15
4, 1, H, L, 8:15
4, 2, H, L, 8:15
4, 3, H, L, 8:15
4, 4, H, H, 8:15
4, 5, H, H, 8:15
4, 6, L, H, 8:15
4, 7, L, H, 8:15
4, 8, M, H, 8:15
4, 9, L, L, 8:15
4, 10, M, M, 8:15
4, 11, M, M, 8:15
4, 12, L, M, 8:15
4, 13, H, L, 8:15
4, 14, H, L, 8:15
4, 15, H, M, 8:15
4, 16, H, M, 8:15
4, 17, M, M, 8:15
4, 18, M, M, 8:15
5, 0, L, M, 8:14
5, 1, M, M, 8:14
5, 2, M, L, 8:14
5, 3, L, L, 8:14
5, 4, L, L, 8:14
5, 5, L, L, 8:14
5, 6, H, L, 8:14
5, 7, H, L, 8:14
5, 8, H, M, 8:14
5, 9, H, M, 8:14
5, 10, H, M, 8:14
5, 11, M, M, 8:14
5, 12, L, M, 8:14
5, 13, L, M, 8:14
5, 14, L, L, 8:14
6, 0, L, H, 8:14
6, 1, L, H, 8:14
6, 2, L, H, 8:14
6, 3, L, L, 8:14
6, 4, L, L, 8:14
6, 5, L, L, 8:14
6, 6, M, M, 8:14
7, 0, M, M, 8:14
7, 1, L, M, 8:14
7, 2, L, L, 8:14
7, 3, L, L, 8:14
7, 4, L, L, 8:14
7, 5, M, M, 8:14
7, 6, L, M, 8:14
7, 7, L, M, 8:14
7, 8, L, L, 8:14
7, 9, M, L, 8:14
7, 10, L, L, 8:14
7, 11, L, L, 8:14
8, 0, L, H, 7:53
8, 1, L, H, 7:53
8, 2, L, L, 7:53
8, 3, L, L, 7:53
8, 4, L, L, 7:53
8, 5, L, L, 7:53
8, 6, L, L, 7:53
