#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 7:17
0, 1, M, L, 7:17
0, 2, H, M, 7:17
0, 3, H, L, 7:17
0, 4, L, L, 7:17
0, 5, L, L, 7:17
0, 6, L, L, 7:17
0, 7, L, L, 7:17
0, 8, L, L, 7:17
0, 9, L, L, 7:17
0, 10, M, M, 7:17
0, 11, M, M, 7:17
0, 12, M, H, 7:17
0, 13, L, H, 7:17
0, 14, L, H, 7:17
0, 15, L, M, 7:17
0, 16, M, H, 7:17
0, 17, H, H, 7:17
0, 18, L, L, 7:17
0, 19, L, H, 7:17
0, 20, L, H, 7:17
0, 21, M, H, 7:17
0, 22, L, H, 7:17
0, 23, L, H, 7:17
0, 24, M, H, 7:17
0, 25, M, H, 7:17
0, 26, H, H, 7:17
0, 27, H, L, 7:17
0, 28, H, M, 7:17
0, 29, H, L, 7:17
0, 30, H, L, 7:17
0, 31, H, L, 7:17
0, 32, H, M, 7:17
0, 33, H, M, 7:17
0, 34, L, L, 7:17
0, 35, L, L, 7:17
0, 36, L, L, 7:17
1, 0, L, L, 7:17
1, 1, L, L, 7:17
1, 2, L, L, 7:17
1, 3, L, L, 7:17
1, 4, L, L, 7:17
1, 5, L, L, 7:17
1, 6, M, M, 7:17
1, 7, M, M, 7:17
1, 8, L, L, 7:17
1, 9, L, L, 7:17
1, 10, L, L, 7:17
1, 11, M, M, 7:17
2, 0, M, M, 7:17
2, 1, M, M, 7:17
2, 2, L, L, 7:17
2, 3, L, L, 7:17
2, 4, M, M, 7:17
2, 5, M, M, 7:17
2, 6, L, M, 7:17
2, 7, L, L, 7:17
2, 8, M, M, 7:17
2, 9, L, L, 7:17
2, 10, L, L, 7:17
2, 11, M, M, 7:17
2, 12, M, M, 7:17
2, 13, L, L, 7:17
2, 14, M, L, 7:17
2, 15, M, M, 7:17
2, 16, L, L, 7:17
2, 17, L, L, 7:17
2, 18, M, M, 7:17
2, 19, L, L, 7:17
2, 20, L, L, 7:17
2, 21, L, L, 7:17
2, 22, M, L, 7:17
2, 23, M, L, 7:17
2, 24, M, M, 7:17
3, 0, M, M, 7:17
3, 1, M, M, 7:17
3, 2, L, L, 7:17
3, 3, M, M, 7:17
3, 4, M, M, 7:17
3, 5, M, M, 7:17
3, 6, M, L, 7:17
3, 7, L, L, 7:17
4, 0, M, L, 7:17
4, 1, M, L, 7:17
4, 2, L, L, 7:17
4, 3, M, M, 7:17
4, 4, L, L, 7:17
4, 5, H, H, 7:17
4, 6, H, H, 7:17
4, 7, H, H, 7:17
4, 8, L, L, 7:17
4, 9, L, L, 7:17
4, 10, M, M, 7:17
4, 11, M, M, 7:17
4, 12, L, L, 7:17
4, 13, L, M, 7:17
4, 14, H, M, 7:17
4, 15, H, H, 7:17
4, 16, H, M, 7:17
4, 17, H, M, 7:17
4, 18, M, H, 7:17
5, 0, L, M, 7:17
5, 1, M, M, 7:17
5, 2, M, M, 7:17
5, 3, L, L, 7:17
5, 4, L, L, 7:17
5, 5, L, L, 7:17
5, 6, M, L, 7:17
5, 7, M, L, 7:17
5, 8, H, L, 7:17
5, 9, H, M, 7:17
5, 10, H, M, 7:17
5, 11, H, M, 7:17
5, 12, L, M, 7:17
5, 13, L, L, 7:17
5, 14, L, L, 7:17
6, 0, M, L, 7:17
6, 1, M, L, 7:17
6, 2, L, L, 7:17
6, 3, L, L, 7:17
6, 4, L, L, 7:17
6, 5, M, M, 7:17
6, 6, L, L, 7:17
7, 0, H, H, 7:17
7, 1, H, H, 7:17
7, 2, L, L, 7:17
7, 3, M, L, 7:17
7, 4, L, L, 7:17
7, 5, M, M, 7:17
7, 6, M, L, 7:17
7, 7, L, L, 7:17
7, 8, L, L, 7:17
7, 9, H, M, 7:17
7, 10, H, L, 7:17
7, 11, H, L, 7:17
8, 0, L, L, 7:17
8, 1, L, L, 7:17
8, 2, L, L, 7:17
8, 3, L, L, 7:17
8, 4, L, L, 7:17
8, 5, L, L, 7:17
8, 6, L, L, 7:17
