#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 7:24
0, 1, L, L, 7:24
0, 2, L, L, 7:24
0, 3, L, L, 7:24
0, 4, L, L, 7:24
0, 5, L, L, 7:24
0, 6, L, L, 7:24
0, 7, L, L, 7:24
0, 8, L, L, 7:24
0, 9, L, L, 7:24
0, 10, H, M, 7:24
0, 11, H, M, 7:24
0, 12, H, M, 7:24
0, 13, H, L, 7:24
0, 14, H, L, 7:24
0, 15, H, L, 7:24
0, 16, H, M, 7:24
0, 17, H, L, 7:24
0, 18, H, L, 7:24
0, 19, H, H, 7:24
0, 20, H, H, 7:24
0, 21, H, H, 7:24
0, 22, H, H, 7:24
0, 23, H, L, 7:24
0, 24, H, L, 7:24
0, 25, H, L, 7:24
0, 26, H, L, 7:24
0, 27, L, L, 7:24
0, 28, L, L, 7:24
0, 29, M, H, 7:24
0, 30, L, L, 7:24
0, 31, M, L, 7:24
0, 32, L, M, 7:24
0, 33, L, M, 7:24
0, 34, L, L, 7:24
0, 35, L, L, 7:24
0, 36, L, L, 7:24
1, 0, L, L, 7:24
1, 1, M, L, 7:24
1, 2, L, L, 7:24
1, 3, L, L, 7:24
1, 4, M, L, 7:24
1, 5, M, L, 7:24
1, 6, M, M, 7:24
1, 7, M, M, 7:24
1, 8, L, L, 7:24
1, 9, L, L, 7:24
1, 10, M, L, 7:24
1, 11, M, M, 7:24
2, 0, M, M, 7:24
2, 1, M, M, 7:24
2, 2, L, L, 7:24
2, 3, L, L, 7:24
2, 4, M, L, 7:24
2, 5, L, L, 7:24
2, 6, L, L, 7:24
2, 7, M, M, 7:24
2, 8, M, M, 7:24
2, 9, L, L, 7:24
2, 10, L, L, 7:24
2, 11, M, M, 7:24
2, 12, L, M, 7:24
2, 13, L, L, 7:24
2, 14, M, L, 7:24
2, 15, M, M, 7:24
2, 16, L, L, 7:24
2, 17, L, L, 7:24
2, 18, M, M, 7:24
2, 19, L, L, 7:24
2, 20, M, M, 7:24
2, 21, L, L, 7:24
2, 22, L, L, 7:24
2, 23, M, L, 7:24
2, 24, M, L, 7:24
3, 0, M, M, 7:25
3, 1, M, M, 7:25
3, 2, M, L, 7:25
3, 3, M, L, 7:25
3, 4, M, L, 7:25
3, 5, M, M, 7:25
3, 6, M, L, 7:25
3, 7, L, L, 7:25
4, 0, M, L, 7:25
4, 1, L, L, 7:25
4, 2, H, L, 7:25
4, 3, H, L, 7:25
4, 4, H, L, 7:25
4, 5, H, M, 7:25
4, 6, H, M, 7:25
4, 7, H, M, 7:25
4, 8, L, L, 7:25
4, 9, L, L, 7:25
4, 10, M, M, 7:25
4, 11, M, M, 7:25
4, 12, L, L, 7:25
4, 13, L, L, 7:25
4, 14, H, L, 7:25
4, 15, H, L, 7:25
4, 16, H, M, 7:25
4, 17, H, L, 7:25
4, 18, H, L, 7:25
5, 0, L, L, 7:24
5, 1, L, L, 7:24
5, 2, L, L, 7:24
5, 3, L, L, 7:24
5, 4, L, L, 7:24
5, 5, L, L, 7:24
5, 6, L, L, 7:24
5, 7, M, L, 7:24
5, 8, M, M, 7:24
5, 9, L, L, 7:24
5, 10, L, L, 7:24
5, 11, L, L, 7:24
5, 12, L, L, 7:24
5, 13, L, L, 7:24
5, 14, L, L, 7:24
6, 0, L, L, 7:28
6, 1, M, M, 7:28
6, 2, L, L, 7:28
6, 3, L, L, 7:28
6, 4, L, L, 7:28
6, 5, L, L, 7:28
6, 6, M, M, 7:28
7, 0, M, M, 7:24
7, 1, M, M, 7:24
7, 2, L, L, 7:24
7, 3, L, L, 7:24
7, 4, L, L, 7:24
7, 5, L, L, 7:24
7, 6, M, M, 7:24
7, 7, L, L, 7:24
7, 8, L, L, 7:24
7, 9, L, H, 7:24
7, 10, L, H, 7:24
7, 11, L, H, 7:24
8, 0, L, H, 7:22
8, 1, L, L, 7:22
8, 2, L, L, 7:22
8, 3, L, L, 7:22
8, 4, L, L, 7:22
8, 5, L, L, 7:22
8, 6, L, L, 7:22
