#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 1:53
0, 1, L, L, 1:53
0, 2, L, M, 1:53
0, 3, L, L, 1:53
0, 4, L, L, 1:53
0, 5, L, L, 1:53
0, 6, L, L, 1:53
0, 7, L, L, 1:53
0, 8, L, L, 1:53
0, 9, L, L, 1:53
0, 10, L, L, 1:53
0, 11, M, M, 1:53
0, 12, L, L, 1:53
0, 13, L, L, 1:53
0, 14, L, L, 1:53
0, 15, L, L, 1:53
0, 16, L, L, 1:53
0, 17, L, L, 1:53
0, 18, L, L, 1:53
0, 19, L, L, 1:53
0, 20, L, L, 1:53
0, 21, L, L, 1:53
0, 22, L, L, 1:53
0, 23, L, L, 1:53
0, 24, L, L, 1:53
0, 25, L, L, 1:53
0, 26, M, L, 1:53
0, 27, L, L, 1:53
0, 28, L, L, 1:53
0, 29, M, L, 1:53
0, 30, L, L, 1:53
0, 31, L, L, 1:53
0, 32, L, L, 1:53
0, 33, L, L, 1:53
0, 34, L, L, 1:53
0, 35, L, L, 1:53
0, 36, L, L, 1:53
1, 0, L, L, 1:53
1, 1, L, L, 1:53
1, 2, L, L, 1:53
1, 3, L, L, 1:53
1, 4, L, L, 1:53
1, 5, L, L, 1:53
1, 6, M, M, 1:53
1, 7, M, M, 1:53
1, 8, L, L, 1:53
1, 9, L, L, 1:53
1, 10, L, L, 1:53
1, 11, L, L, 1:53
2, 0, M, M, 1:53
2, 1, L, L, 1:53
2, 2, L, L, 1:53
2, 3, L, L, 1:53
2, 4, M, M, 1:53
2, 5, L, L, 1:53
2, 6, L, L, 1:53
2, 7, L, L, 1:53
2, 8, L, L, 1:53
2, 9, L, L, 1:53
2, 10, L, L, 1:53
2, 11, M, M, 1:53
2, 12, M, M, 1:53
2, 13, L, L, 1:53
2, 14, M, L, 1:53
2, 15, M, M, 1:53
2, 16, L, M, 1:53
2, 17, L, L, 1:53
2, 18, M, M, 1:53
2, 19, L, L, 1:53
2, 20, M, M, 1:53
2, 21, L, L, 1:53
2, 22, L, L, 1:53
2, 23, L, L, 1:53
2, 24, M, M, 1:53
3, 0, L, L, 1:53
3, 1, L, M, 1:53
3, 2, L, M, 1:53
3, 3, L, L, 1:53
3, 4, L, L, 1:53
3, 5, M, M, 1:53
3, 6, L, L, 1:53
3, 7, M, M, 1:53
4, 0, L, L, 1:54
4, 1, L, L, 1:54
4, 2, L, L, 1:54
4, 3, L, L, 1:54
4, 4, L, L, 1:54
4, 5, L, L, 1:54
4, 6, L, L, 1:54
4, 7, L, L, 1:54
4, 8, L, L, 1:54
4, 9, L, L, 1:54
4, 10, L, M, 1:54
4, 11, M, L, 1:54
4, 12, L, L, 1:54
4, 13, L, L, 1:54
4, 14, L, L, 1:54
4, 15, L, L, 1:54
4, 16, M, M, 1:54
4, 17, L, L, 1:54
4, 18, L, L, 1:54
5, 0, L, L, 1:54
5, 1, M, M, 1:54
5, 2, L, L, 1:54
5, 3, L, L, 1:54
5, 4, L, L, 1:54
5, 5, L, L, 1:54
5, 6, L, L, 1:54
5, 7, L, L, 1:54
5, 8, M, L, 1:54
5, 9, L, L, 1:54
5, 10, M, M, 1:54
5, 11, L, L, 1:54
5, 12, L, L, 1:54
5, 13, L, L, 1:54
5, 14, M, L, 1:54
6, 0, L, L, 1:54
6, 1, L, M, 1:54
6, 2, L, L, 1:54
6, 3, L, L, 1:54
6, 4, L, L, 1:54
6, 5, M, M, 1:54
6, 6, L, L, 1:54
7, 0, L, L, 1:54
7, 1, M, M, 1:54
7, 2, L, L, 1:54
7, 3, L, L, 1:54
7, 4, L, L, 1:54
7, 5, L, M, 1:54
7, 6, L, M, 1:54
7, 7, L, L, 1:54
7, 8, L, L, 1:54
7, 9, M, M, 1:54
7, 10, L, L, 1:54
7, 11, L, L, 1:54
8, 0, L, L, 1:54
8, 1, L, L, 1:54
8, 2, L, L, 1:54
8, 3, L, L, 1:54
8, 4, L, L, 1:54
8, 5, L, L, 1:54
8, 6, L, L, 1:54
