#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 11:20
0, 1, L, L, 11:20
0, 2, M, M, 11:20
0, 3, L, L, 11:20
0, 4, M, M, 11:20
0, 5, M, M, 11:20
0, 6, L, L, 11:20
0, 7, L, L, 11:20
0, 8, L, L, 11:20
0, 9, L, L, 11:20
0, 10, M, L, 11:20
0, 11, M, L, 11:20
0, 12, L, L, 11:20
0, 13, L, L, 11:20
0, 14, L, L, 11:20
0, 15, L, L, 11:20
0, 16, L, L, 11:20
0, 17, L, L, 11:20
0, 18, L, L, 11:20
0, 19, L, H, 11:20
0, 20, L, H, 11:20
0, 21, L, H, 11:20
0, 22, L, H, 11:20
0, 23, H, H, 11:20
0, 24, H, L, 11:20
0, 25, H, L, 11:20
0, 26, H, M, 11:20
0, 27, H, L, 11:20
0, 28, H, L, 11:20
0, 29, H, L, 11:20
0, 30, H, L, 11:20
0, 31, H, L, 11:20
0, 32, M, H, 11:20
0, 33, L, H, 11:20
0, 34, L, L, 11:20
0, 35, L, L, 11:20
0, 36, L, L, 11:20
1, 0, L, L, 11:20
1, 1, L, L, 11:20
1, 2, L, L, 11:20
1, 3, L, L, 11:20
1, 4, L, L, 11:20
1, 5, L, L, 11:20
1, 6, M, M, 11:20
1, 7, M, M, 11:20
1, 8, L, L, 11:20
1, 9, L, L, 11:20
1, 10, L, L, 11:20
1, 11, M, M, 11:20
2, 0, M, M, 11:20
2, 1, M, M, 11:20
2, 2, L, L, 11:20
2, 3, L, L, 11:20
2, 4, L, M, 11:20
2, 5, L, M, 11:20
2, 6, L, M, 11:20
2, 7, M, M, 11:20
2, 8, M, L, 11:20
2, 9, L, L, 11:20
2, 10, L, L, 11:20
2, 11, L, L, 11:20
2, 12, L, L, 11:20
2, 13, L, L, 11:20
2, 14, L, L, 11:20
2, 15, M, L, 11:20
2, 16, M, M, 11:20
2, 17, L, M, 11:20
2, 18, M, M, 11:20
2, 19, L, L, 11:20
2, 20, M, M, 11:20
2, 21, L, L, 11:20
2, 22, L, L, 11:20
2, 23, M, L, 11:20
2, 24, M, M, 11:20
3, 0, L, L, 11:20
3, 1, M, M, 11:20
3, 2, M, M, 11:20
3, 3, M, L, 11:20
3, 4, M, L, 11:20
3, 5, M, M, 11:20
3, 6, L, M, 11:20
3, 7, M, M, 11:20
4, 0, L, L, 11:20
4, 1, L, M, 11:20
4, 2, L, M, 11:20
4, 3, M, L, 11:20
4, 4, M, L, 11:20
4, 5, M, H, 11:20
4, 6, L, H, 11:20
4, 7, L, H, 11:20
4, 8, M, L, 11:20
4, 9, L, L, 11:20
4, 10, M, H, 11:20
4, 11, L, H, 11:20
4, 12, M, H, 11:20
4, 13, L, L, 11:20
4, 14, L, L, 11:20
4, 15, L, M, 11:20
4, 16, M, L, 11:20
4, 17, L, L, 11:20
4, 18, L, L, 11:20
5, 0, L, M, 11:20
5, 1, M, M, 11:20
5, 2, L, M, 11:20
5, 3, L, L, 11:20
5, 4, L, L, 11:20
5, 5, L, L, 11:20
5, 6, L, L, 11:20
5, 7, L, L, 11:20
5, 8, M, M, 11:20
5, 9, M, M, 11:20
5, 10, M, L, 11:20
5, 11, M, L, 11:20
5, 12, L, L, 11:20
5, 13, L, L, 11:20
5, 14, M, L, 11:20
6, 0, L, L, 11:20
6, 1, M, M, 11:20
6, 2, L, L, 11:20
6, 3, L, L, 11:20
6, 4, L, L, 11:20
6, 5, L, L, 11:20
6, 6, L, L, 11:20
7, 0, M, M, 11:20
7, 1, M, M, 11:20
7, 2, L, L, 11:20
7, 3, L, L, 11:20
7, 4, L, L, 11:20
7, 5, M, M, 11:20
7, 6, M, L, 11:20
7, 7, L, L, 11:20
7, 8, L, L, 11:20
7, 9, M, M, 11:20
7, 10, M, M, 11:20
7, 11, L, M, 11:20
8, 0, M, L, 11:25
8, 1, L, H, 11:25
8, 2, L, H, 11:25
8, 3, L, L, 11:25
8, 4, L, L, 11:25
8, 5, L, M, 11:25
8, 6, H, L, 11:25
