#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 7:11
0, 1, L, L, 7:11
0, 2, L, L, 7:11
0, 3, L, L, 7:11
0, 4, L, L, 7:11
0, 5, L, L, 7:11
0, 6, L, L, 7:11
0, 7, H, L, 7:11
0, 8, H, L, 7:11
0, 9, H, L, 7:11
0, 10, H, L, 7:11
0, 11, H, L, 7:11
0, 12, H, L, 7:11
0, 13, H, L, 7:11
0, 14, H, L, 7:11
0, 15, H, L, 7:11
0, 16, H, L, 7:11
0, 17, H, L, 7:11
0, 18, L, L, 7:11
0, 19, H, L, 7:11
0, 20, H, L, 7:11
0, 21, H, L, 7:11
0, 22, H, L, 7:11
0, 23, H, M, 7:11
0, 24, H, L, 7:11
0, 25, H, L, 7:11
0, 26, H, L, 7:11
0, 27, L, L, 7:11
0, 28, L, M, 7:11
0, 29, L, M, 7:11
0, 30, L, L, 7:11
0, 31, L, L, 7:11
0, 32, L, M, 7:11
0, 33, L, M, 7:11
0, 34, L, L, 7:11
0, 35, L, L, 7:11
0, 36, L, L, 7:11
1, 0, L, L, 7:12
1, 1, L, L, 7:12
1, 2, L, L, 7:12
1, 3, L, L, 7:12
1, 4, L, L, 7:12
1, 5, M, L, 7:12
1, 6, M, M, 7:12
1, 7, M, M, 7:12
1, 8, L, L, 7:12
1, 9, L, L, 7:12
1, 10, L, L, 7:12
1, 11, M, L, 7:12
2, 0, M, H, 7:12
2, 1, L, L, 7:12
2, 2, L, L, 7:12
2, 3, L, L, 7:12
2, 4, M, M, 7:12
2, 5, L, L, 7:12
2, 6, L, L, 7:12
2, 7, L, L, 7:12
2, 8, L, L, 7:12
2, 9, L, L, 7:12
2, 10, L, L, 7:12
2, 11, L, L, 7:12
2, 12, L, L, 7:12
2, 13, L, L, 7:12
2, 14, L, L, 7:12
2, 15, M, M, 7:12
2, 16, L, L, 7:12
2, 17, L, L, 7:12
2, 18, L, L, 7:12
2, 19, L, L, 7:12
2, 20, L, L, 7:12
2, 21, L, L, 7:12
2, 22, L, L, 7:12
2, 23, M, M, 7:12
2, 24, M, M, 7:12
3, 0, L, L, 7:12
3, 1, H, L, 7:12
3, 2, H, L, 7:12
3, 3, H, L, 7:12
3, 4, H, L, 7:12
3, 5, H, M, 7:12
3, 6, H, L, 7:12
3, 7, L, M, 7:12
4, 0, L, L, 7:12
4, 1, L, L, 7:12
4, 2, L, L, 7:12
4, 3, H, M, 7:12
4, 4, H, H, 7:12
4, 5, H, H, 7:12
4, 6, H, H, 7:12
4, 7, H, L, 7:12
4, 8, M, L, 7:12
4, 9, L, L, 7:12
4, 10, M, M, 7:12
4, 11, M, L, 7:12
4, 12, L, L, 7:12
4, 13, M, L, 7:12
4, 14, H, L, 7:12
4, 15, H, M, 7:12
4, 16, H, L, 7:12
4, 17, L, L, 7:12
4, 18, L, L, 7:12
5, 0, H, H, 7:12
5, 1, H, H, 7:12
5, 2, H, H, 7:12
5, 3, L, M, 7:12
5, 4, L, L, 7:12
5, 5, L, L, 7:12
5, 6, L, H, 7:12
5, 7, L, H, 7:12
5, 8, L, M, 7:12
5, 9, L, M, 7:12
5, 10, M, M, 7:12
5, 11, L, M, 7:12
5, 12, L, L, 7:12
5, 13, M, L, 7:12
5, 14, L, L, 7:12
6, 0, L, H, 7:12
6, 1, L, H, 7:12
6, 2, L, L, 7:12
6, 3, L, L, 7:12
6, 4, L, L, 7:12
6, 5, M, L, 7:12
6, 6, L, L, 7:12
7, 0, L, M, 7:12
7, 1, M, M, 7:12
7, 2, M, L, 7:12
7, 3, L, L, 7:12
7, 4, L, L, 7:12
7, 5, M, M, 7:12
7, 6, M, M, 7:12
7, 7, L, M, 7:12
7, 8, L, M, 7:12
7, 9, M, M, 7:12
7, 10, L, L, 7:12
7, 11, L, L, 7:12
8, 0, L, H, 7:14
8, 1, L, L, 7:14
8, 2, L, L, 7:14
8, 3, L, L, 7:14
8, 4, L, L, 7:14
8, 5, L, L, 7:14
8, 6, L, L, 7:14
