#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 12:58
0, 1, L, L, 12:58
0, 2, M, L, 12:58
0, 3, L, L, 12:58
0, 4, M, M, 12:58
0, 5, M, M, 12:58
0, 6, L, L, 12:58
0, 7, L, L, 12:58
0, 8, H, L, 12:58
0, 9, H, L, 12:58
0, 10, H, M, 12:58
0, 11, H, H, 12:58
0, 12, H, H, 12:58
0, 13, H, H, 12:58
0, 14, H, H, 12:58
0, 15, H, H, 12:58
0, 16, H, H, 12:58
0, 17, H, H, 12:58
0, 18, L, H, 12:58
0, 19, L, L, 12:58
0, 20, L, L, 12:58
0, 21, L, L, 12:58
0, 22, L, L, 12:58
0, 23, M, M, 12:58
0, 24, L, L, 12:58
0, 25, L, L, 12:58
0, 26, L, L, 12:58
0, 27, H, L, 12:58
0, 28, H, M, 12:58
0, 29, H, L, 12:58
0, 30, H, L, 12:58
0, 31, H, H, 12:58
0, 32, M, H, 12:58
0, 33, L, H, 12:58
0, 34, L, L, 12:58
0, 35, L, L, 12:58
0, 36, L, L, 12:58
1, 0, L, L, 12:55
1, 1, L, L, 12:55
1, 2, L, L, 12:55
1, 3, L, L, 12:55
1, 4, L, L, 12:55
1, 5, L, L, 12:55
1, 6, M, M, 12:55
1, 7, M, M, 12:55
1, 8, L, L, 12:55
1, 9, L, L, 12:55
1, 10, L, L, 12:55
1, 11, M, M, 12:55
2, 0, M, M, 12:55
2, 1, M, M, 12:55
2, 2, L, L, 12:55
2, 3, L, L, 12:55
2, 4, L, L, 12:55
2, 5, L, L, 12:55
2, 6, M, M, 12:55
2, 7, M, M, 12:55
2, 8, M, M, 12:55
2, 9, L, L, 12:55
2, 10, L, L, 12:55
2, 11, M, M, 12:55
2, 12, M, M, 12:55
2, 13, L, L, 12:55
2, 14, L, L, 12:55
2, 15, M, M, 12:55
2, 16, M, L, 12:55
2, 17, M, M, 12:55
2, 18, M, M, 12:55
2, 19, L, L, 12:55
2, 20, L, L, 12:55
2, 21, L, L, 12:55
2, 22, M, L, 12:55
2, 23, M, M, 12:55
2, 24, M, M, 12:55
3, 0, L, M, 12:55
3, 1, M, M, 12:55
3, 2, M, M, 12:55
3, 3, H, L, 12:55
3, 4, H, L, 12:55
3, 5, H, M, 12:55
3, 6, L, M, 12:55
3, 7, L, L, 12:55
4, 0, L, L, 12:57
4, 1, L, L, 12:57
4, 2, M, M, 12:57
4, 3, L, L, 12:57
4, 4, M, L, 12:57
4, 5, M, M, 12:57
4, 6, L, M, 12:57
4, 7, L, M, 12:57
4, 8, M, L, 12:57
4, 9, L, L, 12:57
4, 10, M, M, 12:57
4, 11, M, M, 12:57
4, 12, M, M, 12:57
4, 13, L, L, 12:57
4, 14, H, L, 12:57
4, 15, H, M, 12:57
4, 16, H, M, 12:57
4, 17, M, L, 12:57
4, 18, M, L, 12:57
5, 0, M, M, 12:55
5, 1, M, M, 12:55
5, 2, L, L, 12:55
5, 3, L, L, 12:55
5, 4, L, L, 12:55
5, 5, L, L, 12:55
5, 6, L, L, 12:55
5, 7, M, L, 12:55
5, 8, M, M, 12:55
5, 9, M, M, 12:55
5, 10, M, M, 12:55
5, 11, M, L, 12:55
5, 12, L, L, 12:55
5, 13, L, L, 12:55
5, 14, M, L, 12:55
6, 0, L, L, 12:55
6, 1, M, M, 12:55
6, 2, L, L, 12:55
6, 3, L, L, 12:55
6, 4, L, L, 12:55
6, 5, M, M, 12:55
6, 6, L, L, 12:55
7, 0, M, M, 12:56
7, 1, M, M, 12:56
7, 2, L, L, 12:56
7, 3, M, L, 12:56
7, 4, L, L, 12:56
7, 5, L, L, 12:56
7, 6, M, M, 12:56
7, 7, L, L, 12:56
7, 8, L, L, 12:56
7, 9, M, M, 12:56
7, 10, M, H, 12:56
7, 11, L, H, 12:56
8, 0, L, H, 12:56
8, 1, L, L, 12:56
8, 2, L, L, 12:56
8, 3, L, L, 12:56
8, 4, L, L, 12:56
8, 5, L, H, 12:56
8, 6, L, L, 12:56
