#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 7:33
0, 1, L, L, 7:33
0, 2, M, M, 7:33
0, 3, L, L, 7:33
0, 4, M, M, 7:33
0, 5, M, M, 7:33
0, 6, L, M, 7:33
0, 7, L, L, 7:33
0, 8, H, L, 7:33
0, 9, H, L, 7:33
0, 10, H, H, 7:33
0, 11, H, H, 7:33
0, 12, H, H, 7:33
0, 13, H, H, 7:33
0, 14, H, H, 7:33
0, 15, H, H, 7:33
0, 16, H, H, 7:33
0, 17, H, H, 7:33
0, 18, L, H, 7:33
0, 19, M, H, 7:33
0, 20, M, H, 7:33
0, 21, H, H, 7:33
0, 22, H, H, 7:33
0, 23, H, H, 7:33
0, 24, H, H, 7:33
0, 25, H, H, 7:33
0, 26, H, H, 7:33
0, 27, H, H, 7:33
0, 28, H, H, 7:33
0, 29, H, H, 7:33
0, 30, H, M, 7:33
0, 31, H, L, 7:33
0, 32, M, H, 7:33
0, 33, L, H, 7:33
0, 34, L, L, 7:33
0, 35, L, L, 7:33
0, 36, L, L, 7:33
1, 0, L, L, 7:33
1, 1, L, L, 7:33
1, 2, L, L, 7:33
1, 3, L, L, 7:33
1, 4, L, L, 7:33
1, 5, L, L, 7:33
1, 6, M, M, 7:33
1, 7, M, M, 7:33
1, 8, L, L, 7:33
1, 9, L, L, 7:33
1, 10, L, L, 7:33
1, 11, M, M, 7:33
2, 0, M, M, 7:33
2, 1, M, M, 7:33
2, 2, L, L, 7:33
2, 3, L, L, 7:33
2, 4, M, M, 7:33
2, 5, M, M, 7:33
2, 6, M, M, 7:33
2, 7, L, M, 7:33
2, 8, L, M, 7:33
2, 9, L, L, 7:33
2, 10, L, L, 7:33
2, 11, M, M, 7:33
2, 12, L, M, 7:33
2, 13, L, L, 7:33
2, 14, M, L, 7:33
2, 15, M, M, 7:33
2, 16, L, M, 7:33
2, 17, M, L, 7:33
2, 18, M, L, 7:33
2, 19, L, L, 7:33
2, 20, M, M, 7:33
2, 21, M, L, 7:33
2, 22, L, L, 7:33
2, 23, M, L, 7:33
2, 24, M, M, 7:33
3, 0, H, M, 7:33
3, 1, H, M, 7:33
3, 2, H, M, 7:33
3, 3, H, M, 7:33
3, 4, H, L, 7:33
3, 5, H, M, 7:33
3, 6, L, M, 7:33
3, 7, M, M, 7:33
4, 0, L, L, 7:33
4, 1, M, L, 7:33
4, 2, H, M, 7:33
4, 3, H, L, 7:33
4, 4, H, H, 7:33
4, 5, H, H, 7:33
4, 6, L, H, 7:33
4, 7, L, H, 7:33
4, 8, L, L, 7:33
4, 9, L, L, 7:33
4, 10, M, H, 7:33
4, 11, L, H, 7:33
4, 12, M, H, 7:33
4, 13, L, L, 7:33
4, 14, H, L, 7:33
4, 15, H, M, 7:33
4, 16, H, H, 7:33
4, 17, L, H, 7:33
4, 18, L, H, 7:33
5, 0, M, M, 7:33
5, 1, M, M, 7:33
5, 2, L, M, 7:33
5, 3, L, L, 7:33
5, 4, L, L, 7:33
5, 5, M, L, 7:33
5, 6, H, L, 7:33
5, 7, H, L, 7:33
5, 8, H, M, 7:33
5, 9, H, M, 7:33
5, 10, M, M, 7:33
5, 11, L, L, 7:33
5, 12, L, L, 7:33
5, 13, L, L, 7:33
5, 14, M, L, 7:33
6, 0, H, L, 7:33
6, 1, H, M, 7:33
6, 2, M, L, 7:33
6, 3, L, L, 7:33
6, 4, L, L, 7:33
6, 5, M, M, 7:33
6, 6, M, M, 7:33
7, 0, M, M, 7:33
7, 1, M, M, 7:33
7, 2, L, M, 7:33
7, 3, L, M, 7:33
7, 4, L, M, 7:33
7, 5, M, M, 7:33
7, 6, M, M, 7:33
7, 7, L, L, 7:33
7, 8, L, L, 7:33
7, 9, M, M, 7:33
7, 10, M, M, 7:33
7, 11, L, M, 7:33
8, 0, L, M, 7:34
8, 1, L, L, 7:34
8, 2, L, L, 7:34
8, 3, L, L, 7:34
8, 4, L, L, 7:34
8, 5, L, H, 7:34
8, 6, L, L, 7:34
