#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 7:01
0, 1, L, L, 7:01
0, 2, L, L, 7:01
0, 3, L, L, 7:01
0, 4, L, L, 7:01
0, 5, L, L, 7:01
0, 6, L, M, 7:01
0, 7, L, L, 7:01
0, 8, L, L, 7:01
0, 9, L, L, 7:01
0, 10, L, L, 7:01
0, 11, M, L, 7:01
0, 12, L, M, 7:01
0, 13, L, L, 7:01
0, 14, L, L, 7:01
0, 15, L, H, 7:01
0, 16, L, H, 7:01
0, 17, L, H, 7:01
0, 18, M, H, 7:01
0, 19, L, H, 7:01
0, 20, L, M, 7:01
0, 21, L, L, 7:01
0, 22, L, L, 7:01
0, 23, L, L, 7:01
0, 24, L, L, 7:01
0, 25, L, L, 7:01
0, 26, L, L, 7:01
0, 27, L, L, 7:01
0, 28, L, L, 7:01
0, 29, M, M, 7:01
0, 30, L, L, 7:01
0, 31, L, L, 7:01
0, 32, L, M, 7:01
0, 33, L, L, 7:01
0, 34, L, L, 7:01
0, 35, L, L, 7:01
0, 36, L, L, 7:01
1, 0, L, L, 6:56
1, 1, L, L, 6:56
1, 2, L, L, 6:56
1, 3, L, L, 6:56
1, 4, L, L, 6:56
1, 5, L, L, 6:56
1, 6, M, M, 6:56
1, 7, M, M, 6:56
1, 8, L, L, 6:56
1, 9, L, L, 6:56
1, 10, L, L, 6:56
1, 11, L, L, 6:56
2, 0, M, M, 6:38
2, 1, L, L, 6:38
2, 2, L, L, 6:38
2, 3, L, L, 6:38
2, 4, L, L, 6:38
2, 5, L, L, 6:38
2, 6, L, L, 6:38
2, 7, L, L, 6:38
2, 8, L, L, 6:38
2, 9, L, L, 6:38
2, 10, L, L, 6:38
2, 11, L, L, 6:38
2, 12, L, L, 6:38
2, 13, L, L, 6:38
2, 14, L, L, 6:38
2, 15, M, M, 6:38
2, 16, L, L, 6:38
2, 17, L, L, 6:38
2, 18, L, L, 6:38
2, 19, L, L, 6:38
2, 20, L, L, 6:38
2, 21, L, L, 6:38
2, 22, L, L, 6:38
2, 23, L, L, 6:38
2, 24, L, L, 6:38
3, 0, L, L, 6:57
3, 1, L, L, 6:57
3, 2, L, L, 6:57
3, 3, L, L, 6:57
3, 4, L, L, 6:57
3, 5, L, L, 6:57
3, 6, L, L, 6:57
3, 7, L, L, 6:57
4, 0, L, L, 6:58
4, 1, L, L, 6:58
4, 2, L, L, 6:58
4, 3, L, L, 6:58
4, 4, M, L, 6:58
4, 5, M, M, 6:58
4, 6, M, M, 6:58
4, 7, L, M, 6:58
4, 8, L, L, 6:58
4, 9, L, L, 6:58
4, 10, L, L, 6:58
4, 11, L, L, 6:58
4, 12, L, L, 6:58
4, 13, L, L, 6:58
4, 14, L, H, 6:58
4, 15, L, H, 6:58
4, 16, L, H, 6:58
4, 17, L, H, 6:58
4, 18, L, H, 6:58
5, 0, L, M, 6:57
5, 1, M, M, 6:57
5, 2, L, L, 6:57
5, 3, L, L, 6:57
5, 4, L, L, 6:57
5, 5, L, L, 6:57
5, 6, L, L, 6:57
5, 7, L, L, 6:57
5, 8, L, L, 6:57
5, 9, L, L, 6:57
5, 10, L, L, 6:57
5, 11, L, L, 6:57
5, 12, L, L, 6:57
5, 13, L, L, 6:57
5, 14, L, L, 6:57
6, 0, L, L, 6:57
6, 1, L, L, 6:57
6, 2, L, L, 6:57
6, 3, L, L, 6:57
6, 4, L, L, 6:57
6, 5, L, L, 6:57
6, 6, M, M, 6:57
7, 0, M, M, 6:57
7, 1, M, M, 6:57
7, 2, L, L, 6:57
7, 3, L, L, 6:57
7, 4, L, L, 6:57
7, 5, L, L, 6:57
7, 6, L, L, 6:57
7, 7, L, L, 6:57
7, 8, L, L, 6:57
7, 9, L, L, 6:57
7, 10, L, L, 6:57
7, 11, L, L, 6:57
8, 0, L, H, 6:57
8, 1, L, L, 6:57
8, 2, L, L, 6:57
8, 3, L, L, 6:57
8, 4, L, L, 6:57
8, 5, L, L, 6:57
8, 6, L, L, 6:57
