#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 6:14
0, 1, L, L, 6:14
0, 2, M, M, 6:14
0, 3, L, L, 6:14
0, 4, L, L, 6:14
0, 5, L, L, 6:14
0, 6, L, L, 6:14
0, 7, H, L, 6:14
0, 8, H, L, 6:14
0, 9, H, L, 6:14
0, 10, H, H, 6:14
0, 11, H, H, 6:14
0, 12, H, H, 6:14
0, 13, H, H, 6:14
0, 14, M, H, 6:14
0, 15, M, M, 6:14
0, 16, H, H, 6:14
0, 17, M, M, 6:14
0, 18, L, L, 6:14
0, 19, H, H, 6:14
0, 20, H, H, 6:14
0, 21, H, H, 6:14
0, 22, H, H, 6:14
0, 23, H, H, 6:14
0, 24, H, H, 6:14
0, 25, H, H, 6:14
0, 26, H, H, 6:14
0, 27, H, H, 6:14
0, 28, M, M, 6:14
0, 29, H, H, 6:14
0, 30, M, H, 6:14
0, 31, M, H, 6:14
0, 32, M, H, 6:14
0, 33, L, L, 6:14
0, 34, L, L, 6:14
0, 35, L, L, 6:14
0, 36, L, L, 6:14
1, 0, L, L, 6:14
1, 1, L, L, 6:14
1, 2, L, L, 6:14
1, 3, L, L, 6:14
1, 4, L, L, 6:14
1, 5, L, L, 6:14
1, 6, M, M, 6:14
1, 7, M, M, 6:14
1, 8, L, L, 6:14
1, 9, L, L, 6:14
1, 10, L, L, 6:14
1, 11, M, M, 6:14
2, 0, H, H, 6:14
2, 1, L, L, 6:14
2, 2, L, L, 6:14
2, 3, L, L, 6:14
2, 4, M, M, 6:14
2, 5, M, M, 6:14
2, 6, M, M, 6:14
2, 7, L, L, 6:14
2, 8, L, L, 6:14
2, 9, L, L, 6:14
2, 10, L, L, 6:14
2, 11, M, M, 6:14
2, 12, M, M, 6:14
2, 13, L, L, 6:14
2, 14, M, L, 6:14
2, 15, M, M, 6:14
2, 16, L, M, 6:14
2, 17, L, L, 6:14
2, 18, L, L, 6:14
2, 19, L, L, 6:14
2, 20, L, L, 6:14
2, 21, L, L, 6:14
2, 22, L, L, 6:14
2, 23, L, L, 6:14
2, 24, M, L, 6:14
3, 0, M, M, 6:14
3, 1, M, M, 6:14
3, 2, M, M, 6:14
3, 3, M, L, 6:14
3, 4, M, L, 6:14
3, 5, M, M, 6:14
3, 6, L, L, 6:14
3, 7, L, L, 6:14
4, 0, L, L, 6:12
4, 1, L, L, 6:12
4, 2, M, L, 6:12
4, 3, M, L, 6:12
4, 4, M, M, 6:12
4, 5, M, H, 6:12
4, 6, M, H, 6:12
4, 7, M, H, 6:12
4, 8, M, L, 6:12
4, 9, L, L, 6:12
4, 10, M, M, 6:12
4, 11, M, M, 6:12
4, 12, M, M, 6:12
4, 13, L, L, 6:12
4, 14, L, L, 6:12
4, 15, L, L, 6:12
4, 16, H, H, 6:12
4, 17, M, H, 6:12
4, 18, M, H, 6:12
5, 0, M, M, 6:12
5, 1, M, M, 6:12
5, 2, L, M, 6:12
5, 3, L, L, 6:12
5, 4, L, L, 6:12
5, 5, L, L, 6:12
5, 6, M, H, 6:12
5, 7, M, H, 6:12
5, 8, M, M, 6:12
5, 9, H, M, 6:12
5, 10, H, M, 6:12
5, 11, H, L, 6:12
5, 12, H, L, 6:12
5, 13, L, L, 6:12
5, 14, L, L, 6:12
6, 0, M, H, 6:12
6, 1, M, H, 6:12
6, 2, L, L, 6:12
6, 3, L, M, 6:12
6, 4, L, M, 6:12
6, 5, L, L, 6:12
6, 6, L, L, 6:12
7, 0, M, M, 6:12
7, 1, M, M, 6:12
7, 2, L, L, 6:12
7, 3, L, L, 6:12
7, 4, M, M, 6:12
7, 5, M, M, 6:12
7, 6, M, M, 6:12
7, 7, L, L, 6:12
7, 8, L, L, 6:12
7, 9, M, M, 6:12
7, 10, M, M, 6:12
7, 11, M, M, 6:12
8, 0, L, H, 6:12
8, 1, L, L, 6:12
8, 2, L, L, 6:12
8, 3, L, L, 6:12
8, 4, L, L, 6:12
8, 5, L, L, 6:12
8, 6, L, L, 6:12
