#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 5:58
0, 1, L, L, 5:58
0, 2, M, M, 5:58
0, 3, L, L, 5:58
0, 4, M, M, 5:58
0, 5, M, M, 5:58
0, 6, L, L, 5:58
0, 7, L, L, 5:58
0, 8, H, L, 5:58
0, 9, H, L, 5:58
0, 10, H, H, 5:58
0, 11, H, H, 5:58
0, 12, L, H, 5:58
0, 13, L, H, 5:58
0, 14, L, H, 5:58
0, 15, L, H, 5:58
0, 16, M, H, 5:58
0, 17, L, H, 5:58
0, 18, L, H, 5:58
0, 19, L, H, 5:58
0, 20, L, H, 5:58
0, 21, H, H, 5:58
0, 22, H, H, 5:58
0, 23, L, H, 5:58
0, 24, L, H, 5:58
0, 25, L, H, 5:58
0, 26, L, H, 5:58
0, 27, M, L, 5:58
0, 28, M, L, 5:58
0, 29, L, L, 5:58
0, 30, L, L, 5:58
0, 31, M, L, 5:58
0, 32, L, H, 5:58
0, 33, L, H, 5:58
0, 34, L, L, 5:58
0, 35, L, L, 5:58
0, 36, L, L, 5:58
1, 0, L, L, 5:56
1, 1, L, L, 5:56
1, 2, L, L, 5:56
1, 3, L, L, 5:56
1, 4, L, L, 5:56
1, 5, L, L, 5:56
1, 6, M, M, 5:56
1, 7, M, M, 5:56
1, 8, L, L, 5:56
1, 9, L, L, 5:56
1, 10, L, L, 5:56
1, 11, L, L, 5:56
2, 0, M, M, 5:56
2, 1, M, M, 5:56
2, 2, L, L, 5:56
2, 3, L, L, 5:56
2, 4, M, M, 5:56
2, 5, M, M, 5:56
2, 6, L, M, 5:56
2, 7, L, L, 5:56
2, 8, L, L, 5:56
2, 9, L, L, 5:56
2, 10, L, L, 5:56
2, 11, L, L, 5:56
2, 12, L, L, 5:56
2, 13, L, L, 5:56
2, 14, L, L, 5:56
2, 15, M, M, 5:56
2, 16, L, L, 5:56
2, 17, L, L, 5:56
2, 18, L, L, 5:56
2, 19, L, L, 5:56
2, 20, L, L, 5:56
2, 21, L, L, 5:56
2, 22, M, L, 5:56
2, 23, M, M, 5:56
2, 24, M, M, 5:56
3, 0, L, M, 5:56
3, 1, L, M, 5:56
3, 2, L, M, 5:56
3, 3, M, L, 5:56
3, 4, M, L, 5:56
3, 5, M, M, 5:56
3, 6, L, M, 5:56
3, 7, L, M, 5:56
4, 0, L, L, 5:56
4, 1, L, L, 5:56
4, 2, L, L, 5:56
4, 3, L, L, 5:56
4, 4, M, M, 5:56
4, 5, M, H, 5:56
4, 6, L, H, 5:56
4, 7, L, H, 5:56
4, 8, M, L, 5:56
4, 9, L, L, 5:56
4, 10, M, H, 5:56
4, 11, M, H, 5:56
4, 12, L, H, 5:56
4, 13, L, L, 5:56
4, 14, M, L, 5:56
4, 15, L, L, 5:56
4, 16, L, M, 5:56
4, 17, L, M, 5:56
4, 18, L, M, 5:56
5, 0, L, M, 5:56
5, 1, L, M, 5:56
5, 2, L, M, 5:56
5, 3, L, L, 5:56
5, 4, L, L, 5:56
5, 5, L, L, 5:56
5, 6, L, L, 5:56
5, 7, L, L, 5:56
5, 8, M, M, 5:56
5, 9, M, M, 5:56
5, 10, M, L, 5:56
5, 11, L, L, 5:56
5, 12, L, L, 5:56
5, 13, M, L, 5:56
5, 14, M, L, 5:56
6, 0, M, L, 5:56
6, 1, M, L, 5:56
6, 2, L, L, 5:56
6, 3, L, L, 5:56
6, 4, L, L, 5:56
6, 5, M, M, 5:56
6, 6, L, L, 5:56
7, 0, M, M, 6:01
7, 1, L, M, 6:01
7, 2, L, M, 6:01
7, 3, L, M, 6:01
7, 4, M, M, 6:01
7, 5, M, L, 6:01
7, 6, L, M, 6:01
7, 7, L, M, 6:01
7, 8, L, M, 6:01
7, 9, M, M, 6:01
7, 10, M, L, 6:01
7, 11, L, L, 6:01
8, 0, L, L, 5:56
8, 1, L, L, 5:56
8, 2, L, L, 5:56
8, 3, L, L, 5:56
8, 4, L, L, 5:56
8, 5, H, H, 5:56
8, 6, H, H, 5:56
