#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 8:02
0, 1, L, L, 8:02
0, 2, L, L, 8:02
0, 3, L, L, 8:02
0, 4, H, L, 8:02
0, 5, H, L, 8:02
0, 6, L, L, 8:02
0, 7, H, L, 8:02
0, 8, H, L, 8:02
0, 9, H, L, 8:02
0, 10, H, L, 8:02
0, 11, H, M, 8:02
0, 12, H, M, 8:02
0, 13, H, L, 8:02
0, 14, H, L, 8:02
0, 15, H, L, 8:02
0, 16, H, L, 8:02
0, 17, H, L, 8:02
0, 18, L, L, 8:02
0, 19, H, M, 8:02
0, 20, H, L, 8:02
0, 21, H, L, 8:02
0, 22, H, M, 8:02
0, 23, H, M, 8:02
0, 24, H, M, 8:02
0, 25, H, M, 8:02
0, 26, H, M, 8:02
0, 27, L, L, 8:02
0, 28, M, H, 8:02
0, 29, M, H, 8:02
0, 30, L, M, 8:02
0, 31, L, M, 8:02
0, 32, M, H, 8:02
0, 33, M, H, 8:02
0, 34, L, H, 8:02
0, 35, L, L, 8:02
0, 36, L, L, 8:02
1, 0, L, L, 8:00
1, 1, L, L, 8:00
1, 2, L, L, 8:00
1, 3, L, L, 8:00
1, 4, M, M, 8:00
1, 5, M, L, 8:00
1, 6, M, M, 8:00
1, 7, M, M, 8:00
1, 8, L, L, 8:00
1, 9, L, L, 8:00
1, 10, M, L, 8:00
1, 11, M, M, 8:00
2, 0, M, M, 8:00
2, 1, M, M, 8:00
2, 2, L, L, 8:00
2, 3, L, L, 8:00
2, 4, M, L, 8:00
2, 5, L, M, 8:00
2, 6, M, M, 8:00
2, 7, M, M, 8:00
2, 8, M, M, 8:00
2, 9, L, L, 8:00
2, 10, L, L, 8:00
2, 11, M, M, 8:00
2, 12, M, M, 8:00
2, 13, L, L, 8:00
2, 14, M, L, 8:00
2, 15, M, M, 8:00
2, 16, L, L, 8:00
2, 17, M, M, 8:00
2, 18, M, M, 8:00
2, 19, L, L, 8:00
2, 20, M, M, 8:00
2, 21, M, L, 8:00
2, 22, L, L, 8:00
2, 23, M, M, 8:00
2, 24, M, M, 8:00
3, 0, H, M, 8:00
3, 1, H, M, 8:00
3, 2, H, L, 8:00
3, 3, H, M, 8:00
3, 4, H, L, 8:00
3, 5, H, M, 8:00
3, 6, M, L, 8:00
3, 7, L, M, 8:00
4, 0, H, L, 8:01
4, 1, H, L, 8:01
4, 2, H, M, 8:01
4, 3, H, M, 8:01
4, 4, H, H, 8:01
4, 5, H, H, 8:01
4, 6, M, H, 8:01
4, 7, L, H, 8:01
4, 8, L, L, 8:01
4, 9, L, L, 8:01
4, 10, M, M, 8:01
4, 11, M, M, 8:01
4, 12, M, M, 8:01
4, 13, L, L, 8:01
4, 14, H, L, 8:01
4, 15, H, L, 8:01
4, 16, H, M, 8:01
4, 17, H, M, 8:01
4, 18, H, L, 8:01
5, 0, M, M, 8:02
5, 1, M, M, 8:02
5, 2, L, M, 8:02
5, 3, L, L, 8:02
5, 4, M, M, 8:02
5, 5, L, L, 8:02
5, 6, L, H, 8:02
5, 7, H, H, 8:02
5, 8, H, H, 8:02
5, 9, H, H, 8:02
5, 10, H, H, 8:02
5, 11, L, H, 8:02
5, 12, L, H, 8:02
5, 13, L, H, 8:02
5, 14, M, H, 8:02
6, 0, L, L, 8:02
6, 1, M, M, 8:02
6, 2, L, L, 8:02
6, 3, L, L, 8:02
6, 4, L, L, 8:02
6, 5, L, L, 8:02
6, 6, L, L, 8:02
7, 0, L, L, 8:00
7, 1, M, M, 8:00
7, 2, L, L, 8:00
7, 3, L, L, 8:00
7, 4, L, L, 8:00
7, 5, L, L, 8:00
7, 6, M, M, 8:00
7, 7, L, L, 8:00
7, 8, L, L, 8:00
7, 9, L, H, 8:00
7, 10, M, H, 8:00
7, 11, L, H, 8:00
8, 0, L, H, 8:02
8, 1, L, L, 8:02
8, 2, L, L, 8:02
8, 3, L, L, 8:02
8, 4, L, L, 8:02
8, 5, L, L, 8:02
8, 6, L, L, 8:02
