#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 11:55
0, 1, L, L, 11:55
0, 2, M, M, 11:55
0, 3, L, L, 11:55
0, 4, M, L, 11:55
0, 5, M, L, 11:55
0, 6, L, L, 11:55
0, 7, L, L, 11:55
0, 8, L, L, 11:55
0, 9, L, M, 11:55
0, 10, L, L, 11:55
0, 11, M, M, 11:55
0, 12, L, M, 11:55
0, 13, L, M, 11:55
0, 14, L, M, 11:55
0, 15, L, M, 11:55
0, 16, L, M, 11:55
0, 17, L, L, 11:55
0, 18, L, L, 11:55
0, 19, L, H, 11:55
0, 20, L, H, 11:55
0, 21, M, H, 11:55
0, 22, M, H, 11:55
0, 23, L, H, 11:55
0, 24, L, L, 11:55
0, 25, L, L, 11:55
0, 26, M, L, 11:55
0, 27, L, L, 11:55
0, 28, L, L, 11:55
0, 29, M, L, 11:55
0, 30, L, L, 11:55
0, 31, M, L, 11:55
0, 32, L, M, 11:55
0, 33, L, M, 11:55
0, 34, L, L, 11:55
0, 35, L, L, 11:55
0, 36, L, L, 11:55
1, 0, L, M, 11:55
1, 1, L, L, 11:55
1, 2, L, L, 11:55
1, 3, L, L, 11:55
1, 4, L, L, 11:55
1, 5, L, L, 11:55
1, 6, M, M, 11:55
1, 7, M, M, 11:55
1, 8, L, L, 11:55
1, 9, L, L, 11:55
1, 10, L, L, 11:55
1, 11, M, M, 11:55
2, 0, M, M, 11:56
2, 1, L, M, 11:56
2, 2, L, L, 11:56
2, 3, L, L, 11:56
2, 4, L, M, 11:56
2, 5, L, M, 11:56
2, 6, L, M, 11:56
2, 7, L, L, 11:56
2, 8, M, L, 11:56
2, 9, L, L, 11:56
2, 10, L, L, 11:56
2, 11, L, M, 11:56
2, 12, L, M, 11:56
2, 13, L, L, 11:56
2, 14, M, L, 11:56
2, 15, M, M, 11:56
2, 16, L, M, 11:56
2, 17, M, L, 11:56
2, 18, M, M, 11:56
2, 19, L, L, 11:56
2, 20, M, M, 11:56
2, 21, L, L, 11:56
2, 22, L, L, 11:56
2, 23, M, L, 11:56
2, 24, M, M, 11:56
3, 0, M, M, 11:55
3, 1, M, M, 11:55
3, 2, M, M, 11:55
3, 3, M, L, 11:55
3, 4, M, L, 11:55
3, 5, M, M, 11:55
3, 6, L, M, 11:55
3, 7, L, M, 11:55
4, 0, L, L, 11:55
4, 1, L, L, 11:55
4, 2, M, L, 11:55
4, 3, H, L, 11:55
4, 4, H, H, 11:55
4, 5, H, H, 11:55
4, 6, L, H, 11:55
4, 7, L, H, 11:55
4, 8, L, L, 11:55
4, 9, L, L, 11:55
4, 10, M, H, 11:55
4, 11, L, H, 11:55
4, 12, M, H, 11:55
4, 13, L, H, 11:55
4, 14, H, H, 11:55
4, 15, H, H, 11:55
4, 16, H, H, 11:55
4, 17, L, H, 11:55
4, 18, L, H, 11:55
5, 0, M, M, 11:55
5, 1, M, M, 11:55
5, 2, L, M, 11:55
5, 3, L, L, 11:55
5, 4, L, L, 11:55
5, 5, M, L, 11:55
5, 6, H, L, 11:55
5, 7, H, L, 11:55
5, 8, H, M, 11:55
5, 9, H, M, 11:55
5, 10, H, M, 11:55
5, 11, M, M, 11:55
5, 12, L, L, 11:55
5, 13, L, L, 11:55
5, 14, M, L, 11:55
6, 0, L, L, 11:55
6, 1, M, M, 11:55
6, 2, M, L, 11:55
6, 3, L, L, 11:55
6, 4, L, L, 11:55
6, 5, M, M, 11:55
6, 6, M, L, 11:55
7, 0, M, M, 11:55
7, 1, M, M, 11:55
7, 2, M, M, 11:55
7, 3, L, L, 11:55
7, 4, L, M, 11:55
7, 5, M, M, 11:55
7, 6, M, M, 11:55
7, 7, M, L, 11:55
7, 8, L, L, 11:55
7, 9, H, M, 11:55
7, 10, H, M, 11:55
7, 11, H, M, 11:55
8, 0, L, L, 11:55
8, 1, L, L, 11:55
8, 2, L, L, 11:55
8, 3, L, L, 11:55
8, 4, L, L, 11:55
8, 5, L, L, 11:55
8, 6, L, L, 11:55
