#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 4:40
0, 1, L, L, 4:40
0, 2, M, H, 4:40
0, 3, L, H, 4:40
0, 4, M, H, 4:40
0, 5, M, H, 4:40
0, 6, L, M, 4:40
0, 7, L, L, 4:40
0, 8, H, L, 4:40
0, 9, H, L, 4:40
0, 10, H, M, 4:40
0, 11, H, M, 4:40
0, 12, L, M, 4:40
0, 13, L, L, 4:40
0, 14, L, L, 4:40
0, 15, H, L, 4:40
0, 16, H, H, 4:40
0, 17, L, H, 4:40
0, 18, H, H, 4:40
0, 19, H, H, 4:40
0, 20, H, H, 4:40
0, 21, H, H, 4:40
0, 22, H, H, 4:40
0, 23, H, H, 4:40
0, 24, H, H, 4:40
0, 25, H, H, 4:40
0, 26, H, H, 4:40
0, 27, H, H, 4:40
0, 28, H, M, 4:40
0, 29, H, L, 4:40
0, 30, H, L, 4:40
0, 31, H, L, 4:40
0, 32, M, H, 4:40
0, 33, L, H, 4:40
0, 34, L, L, 4:40
0, 35, L, L, 4:40
0, 36, L, L, 4:40
1, 0, L, L, 4:40
1, 1, L, L, 4:40
1, 2, L, L, 4:40
1, 3, L, L, 4:40
1, 4, L, L, 4:40
1, 5, L, L, 4:40
1, 6, M, M, 4:40
1, 7, M, M, 4:40
1, 8, L, L, 4:40
1, 9, L, L, 4:40
1, 10, L, L, 4:40
1, 11, M, M, 4:40
2, 0, M, M, 4:40
2, 1, L, L, 4:40
2, 2, L, L, 4:40
2, 3, L, L, 4:40
2, 4, M, M, 4:40
2, 5, M, M, 4:40
2, 6, L, M, 4:40
2, 7, L, L, 4:40
2, 8, L, L, 4:40
2, 9, L, L, 4:40
2, 10, L, L, 4:40
2, 11, L, L, 4:40
2, 12, L, L, 4:40
2, 13, L, L, 4:40
2, 14, M, L, 4:40
2, 15, M, M, 4:40
2, 16, L, M, 4:40
2, 17, L, L, 4:40
2, 18, L, L, 4:40
2, 19, L, L, 4:40
2, 20, L, L, 4:40
2, 21, L, L, 4:40
2, 22, L, L, 4:40
2, 23, L, L, 4:40
2, 24, L, L, 4:40
3, 0, L, M, 4:40
3, 1, M, M, 4:40
3, 2, M, M, 4:40
3, 3, M, L, 4:40
3, 4, M, L, 4:40
3, 5, M, M, 4:40
3, 6, L, M, 4:40
3, 7, M, M, 4:40
4, 0, L, L, 4:40
4, 1, L, L, 4:40
4, 2, H, L, 4:40
4, 3, H, L, 4:40
4, 4, H, L, 4:40
4, 5, H, H, 4:40
4, 6, L, H, 4:40
4, 7, L, H, 4:40
4, 8, M, H, 4:40
4, 9, L, L, 4:40
4, 10, M, H, 4:40
4, 11, L, H, 4:40
4, 12, L, L, 4:40
4, 13, M, M, 4:40
4, 14, M, L, 4:40
4, 15, M, M, 4:40
4, 16, H, H, 4:40
4, 17, L, H, 4:40
4, 18, L, H, 4:40
5, 0, M, M, 4:40
5, 1, L, M, 4:40
5, 2, L, M, 4:40
5, 3, L, L, 4:40
5, 4, L, L, 4:40
5, 5, L, L, 4:40
5, 6, L, L, 4:40
5, 7, L, L, 4:40
5, 8, L, M, 4:40
5, 9, M, M, 4:40
5, 10, M, M, 4:40
5, 11, L, L, 4:40
5, 12, L, L, 4:40
5, 13, L, L, 4:40
5, 14, L, L, 4:40
6, 0, L, M, 4:40
6, 1, M, L, 4:40
6, 2, L, L, 4:40
6, 3, L, L, 4:40
6, 4, L, L, 4:40
6, 5, L, L, 4:40
6, 6, L, L, 4:40
7, 0, M, M, 4:40
7, 1, M, M, 4:40
7, 2, L, M, 4:40
7, 3, L, M, 4:40
7, 4, L, M, 4:40
7, 5, M, M, 4:40
7, 6, M, M, 4:40
7, 7, L, M, 4:40
7, 8, L, L, 4:40
7, 9, H, M, 4:40
7, 10, H, M, 4:40
7, 11, L, L, 4:40
8, 0, L, H, 4:40
8, 1, L, H, 4:40
8, 2, L, L, 4:40
8, 3, L, L, 4:40
8, 4, L, L, 4:40
8, 5, L, L, 4:40
8, 6, L, L, 4:40
