#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 1:16
0, 1, L, L, 1:16
0, 2, M, M, 1:16
0, 3, L, L, 1:16
0, 4, L, M, 1:16
0, 5, L, M, 1:16
0, 6, L, L, 1:16
0, 7, L, L, 1:16
0, 8, L, L, 1:16
0, 9, L, L, 1:16
0, 10, M, M, 1:16
0, 11, M, M, 1:16
0, 12, H, M, 1:16
0, 13, H, L, 1:16
0, 14, H, L, 1:16
0, 15, H, M, 1:16
0, 16, H, M, 1:16
0, 17, H, L, 1:16
0, 18, L, L, 1:16
0, 19, L, H, 1:16
0, 20, L, H, 1:16
0, 21, L, H, 1:16
0, 22, L, H, 1:16
0, 23, L, H, 1:16
0, 24, L, H, 1:16
0, 25, M, H, 1:16
0, 26, M, H, 1:16
0, 27, L, H, 1:16
0, 28, L, H, 1:16
0, 29, L, L, 1:16
0, 30, M, L, 1:16
0, 31, M, H, 1:16
0, 32, L, H, 1:16
0, 33, L, H, 1:16
0, 34, L, L, 1:16
0, 35, L, L, 1:16
0, 36, L, L, 1:16
1, 0, L, L, 1:16
1, 1, L, L, 1:16
1, 2, L, L, 1:16
1, 3, L, L, 1:16
1, 4, L, L, 1:16
1, 5, M, L, 1:16
1, 6, M, M, 1:16
1, 7, M, M, 1:16
1, 8, L, L, 1:16
1, 9, L, L, 1:16
1, 10, L, L, 1:16
1, 11, M, L, 1:16
2, 0, H, H, 1:17
2, 1, M, M, 1:17
2, 2, L, L, 1:17
2, 3, L, L, 1:17
2, 4, M, M, 1:17
2, 5, M, M, 1:17
2, 6, M, M, 1:17
2, 7, L, M, 1:17
2, 8, M, M, 1:17
2, 9, L, L, 1:17
2, 10, L, L, 1:17
2, 11, L, L, 1:17
2, 12, L, L, 1:17
2, 13, L, L, 1:17
2, 14, M, L, 1:17
2, 15, M, M, 1:17
2, 16, L, M, 1:17
2, 17, L, L, 1:17
2, 18, L, M, 1:17
2, 19, L, L, 1:17
2, 20, L, L, 1:17
2, 21, L, L, 1:17
2, 22, M, L, 1:17
2, 23, M, L, 1:17
2, 24, M, L, 1:17
3, 0, M, L, 1:16
3, 1, M, L, 1:16
3, 2, M, L, 1:16
3, 3, M, L, 1:16
3, 4, M, L, 1:16
3, 5, M, M, 1:16
3, 6, L, M, 1:16
3, 7, L, L, 1:16
4, 0, M, M, 1:16
4, 1, M, L, 1:16
4, 2, L, L, 1:16
4, 3, M, L, 1:16
4, 4, M, L, 1:16
4, 5, M, M, 1:16
4, 6, L, M, 1:16
4, 7, L, L, 1:16
4, 8, M, L, 1:16
4, 9, L, L, 1:16
4, 10, M, M, 1:16
4, 11, M, M, 1:16
4, 12, L, L, 1:16
4, 13, L, L, 1:16
4, 14, L, L, 1:16
4, 15, L, M, 1:16
4, 16, M, M, 1:16
4, 17, L, M, 1:16
4, 18, M, L, 1:16
5, 0, M, M, 1:16
5, 1, M, M, 1:16
5, 2, L, M, 1:16
5, 3, L, L, 1:16
5, 4, L, L, 1:16
5, 5, L, L, 1:16
5, 6, L, L, 1:16
5, 7, L, L, 1:16
5, 8, M, M, 1:16
5, 9, H, M, 1:16
5, 10, H, H, 1:16
5, 11, L, H, 1:16
5, 12, L, H, 1:16
5, 13, M, M, 1:16
5, 14, L, M, 1:16
6, 0, L, M, 1:16
6, 1, L, L, 1:16
6, 2, L, L, 1:16
6, 3, L, L, 1:16
6, 4, L, L, 1:16
6, 5, M, L, 1:16
6, 6, M, M, 1:16
7, 0, M, M, 1:16
7, 1, L, M, 1:16
7, 2, M, L, 1:16
7, 3, L, L, 1:16
7, 4, L, L, 1:16
7, 5, M, M, 1:16
7, 6, L, M, 1:16
7, 7, L, L, 1:16
7, 8, L, M, 1:16
7, 9, M, M, 1:16
7, 10, M, M, 1:16
7, 11, M, M, 1:16
8, 0, L, L, 1:16
8, 1, L, L, 1:16
8, 2, L, L, 1:16
8, 3, L, L, 1:16
8, 4, L, L, 1:16
8, 5, L, L, 1:16
8, 6, L, L, 1:16
