#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 1:49
0, 1, L, L, 1:49
0, 2, L, L, 1:49
0, 3, L, L, 1:49
0, 4, L, L, 1:49
0, 5, L, L, 1:49
0, 6, L, L, 1:49
0, 7, L, L, 1:49
0, 8, L, L, 1:49
0, 9, L, L, 1:49
0, 10, L, L, 1:49
0, 11, L, L, 1:49
0, 12, L, L, 1:49
0, 13, L, L, 1:49
0, 14, L, L, 1:49
0, 15, L, L, 1:49
0, 16, L, L, 1:49
0, 17, L, L, 1:49
0, 18, L, L, 1:49
0, 19, L, L, 1:49
0, 20, L, L, 1:49
0, 21, L, L, 1:49
0, 22, L, L, 1:49
0, 23, L, L, 1:49
0, 24, L, L, 1:49
0, 25, L, L, 1:49
0, 26, L, L, 1:49
0, 27, L, L, 1:49
0, 28, L, L, 1:49
0, 29, M, L, 1:49
0, 30, L, L, 1:49
0, 31, L, L, 1:49
0, 32, L, L, 1:49
0, 33, L, L, 1:49
0, 34, L, L, 1:49
0, 35, L, L, 1:49
0, 36, L, L, 1:49
1, 0, L, L, 1:49
1, 1, L, L, 1:49
1, 2, L, L, 1:49
1, 3, L, L, 1:49
1, 4, L, L, 1:49
1, 5, L, L, 1:49
1, 6, L, L, 1:49
1, 7, L, L, 1:49
1, 8, L, L, 1:49
1, 9, L, L, 1:49
1, 10, L, L, 1:49
1, 11, L, L, 1:49
2, 0, L, L, 1:49
2, 1, L, L, 1:49
2, 2, L, L, 1:49
2, 3, L, L, 1:49
2, 4, L, L, 1:49
2, 5, L, L, 1:49
2, 6, L, L, 1:49
2, 7, L, L, 1:49
2, 8, L, L, 1:49
2, 9, L, L, 1:49
2, 10, L, L, 1:49
2, 11, L, L, 1:49
2, 12, L, L, 1:49
2, 13, L, L, 1:49
2, 14, L, L, 1:49
2, 15, M, M, 1:49
2, 16, L, L, 1:49
2, 17, L, L, 1:49
2, 18, L, L, 1:49
2, 19, L, L, 1:49
2, 20, L, L, 1:49
2, 21, L, L, 1:49
2, 22, L, L, 1:49
2, 23, L, L, 1:49
2, 24, M, M, 1:49
3, 0, L, L, 1:49
3, 1, L, L, 1:49
3, 2, L, L, 1:49
3, 3, L, L, 1:49
3, 4, L, L, 1:49
3, 5, M, M, 1:49
3, 6, L, L, 1:49
3, 7, M, M, 1:49
4, 0, L, L, 1:49
4, 1, L, L, 1:49
4, 2, L, L, 1:49
4, 3, L, L, 1:49
4, 4, L, L, 1:49
4, 5, L, L, 1:49
4, 6, L, L, 1:49
4, 7, L, L, 1:49
4, 8, M, L, 1:49
4, 9, L, L, 1:49
4, 10, M, L, 1:49
4, 11, L, L, 1:49
4, 12, L, L, 1:49
4, 13, L, L, 1:49
4, 14, L, L, 1:49
4, 15, L, L, 1:49
4, 16, L, M, 1:49
4, 17, L, L, 1:49
4, 18, M, L, 1:49
5, 0, L, L, 1:49
5, 1, L, L, 1:49
5, 2, L, L, 1:49
5, 3, L, L, 1:49
5, 4, L, L, 1:49
5, 5, L, L, 1:49
5, 6, L, L, 1:49
5, 7, L, L, 1:49
5, 8, L, L, 1:49
5, 9, L, L, 1:49
5, 10, M, M, 1:49
5, 11, L, L, 1:49
5, 12, L, L, 1:49
5, 13, L, L, 1:49
5, 14, L, L, 1:49
6, 0, L, L, 1:49
6, 1, L, L, 1:49
6, 2, L, L, 1:49
6, 3, L, L, 1:49
6, 4, L, L, 1:49
6, 5, L, L, 1:49
6, 6, L, L, 1:49
7, 0, M, M, 1:49
7, 1, M, M, 1:49
7, 2, L, L, 1:49
7, 3, L, L, 1:49
7, 4, L, L, 1:49
7, 5, M, M, 1:49
7, 6, L, L, 1:49
7, 7, L, L, 1:49
7, 8, L, M, 1:49
7, 9, M, M, 1:49
7, 10, L, L, 1:49
7, 11, M, M, 1:49
8, 0, L, L, 1:49
8, 1, L, L, 1:49
8, 2, L, L, 1:49
8, 3, L, L, 1:49
8, 4, L, L, 1:49
8, 5, L, L, 1:49
8, 6, L, L, 1:49
