#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 8:05
0, 1, L, L, 8:05
0, 2, M, M, 8:05
0, 3, L, L, 8:05
0, 4, M, M, 8:05
0, 5, M, M, 8:05
0, 6, L, L, 8:05
0, 7, L, L, 8:05
0, 8, L, L, 8:05
0, 9, L, L, 8:05
0, 10, M, M, 8:05
0, 11, M, M, 8:05
0, 12, L, M, 8:05
0, 13, L, L, 8:05
0, 14, L, L, 8:05
0, 15, L, L, 8:05
0, 16, L, M, 8:05
0, 17, L, M, 8:05
0, 18, L, L, 8:05
0, 19, L, M, 8:05
0, 20, L, M, 8:05
0, 21, L, L, 8:05
0, 22, L, L, 8:05
0, 23, H, M, 8:05
0, 24, H, L, 8:05
0, 25, H, L, 8:05
0, 26, H, L, 8:05
0, 27, H, L, 8:05
0, 28, H, L, 8:05
0, 29, H, L, 8:05
0, 30, H, L, 8:05
0, 31, H, L, 8:05
0, 32, L, H, 8:05
0, 33, L, H, 8:05
0, 34, L, L, 8:05
0, 35, L, L, 8:05
0, 36, L, L, 8:05
1, 0, L, L, 8:05
1, 1, L, L, 8:05
1, 2, L, M, 8:05
1, 3, L, L, 8:05
1, 4, L, L, 8:05
1, 5, L, L, 8:05
1, 6, M, M, 8:05
1, 7, M, M, 8:05
1, 8, L, L, 8:05
1, 9, L, L, 8:05
1, 10, L, L, 8:05
1, 11, M, L, 8:05
2, 0, M, M, 8:05
2, 1, L, L, 8:05
2, 2, L, L, 8:05
2, 3, L, L, 8:05
2, 4, M, M, 8:05
2, 5, L, M, 8:05
2, 6, L, M, 8:05
2, 7, L, L, 8:05
2, 8, L, L, 8:05
2, 9, L, L, 8:05
2, 10, L, L, 8:05
2, 11, L, L, 8:05
2, 12, L, L, 8:05
2, 13, L, L, 8:05
2, 14, L, L, 8:05
2, 15, M, M, 8:05
2, 16, L, L, 8:05
2, 17, L, L, 8:05
2, 18, L, L, 8:05
2, 19, L, L, 8:05
2, 20, L, L, 8:05
2, 21, L, L, 8:05
2, 22, L, L, 8:05
2, 23, L, L, 8:05
2, 24, M, M, 8:05
3, 0, L, L, 8:05
3, 1, M, M, 8:05
3, 2, M, M, 8:05
3, 3, M, L, 8:05
3, 4, M, L, 8:05
3, 5, M, M, 8:05
3, 6, L, M, 8:05
3, 7, M, M, 8:05
4, 0, L, L, 8:06
4, 1, L, L, 8:06
4, 2, L, L, 8:06
4, 3, L, L, 8:06
4, 4, L, L, 8:06
4, 5, M, M, 8:06
4, 6, M, M, 8:06
4, 7, L, M, 8:06
4, 8, L, L, 8:06
4, 9, L, L, 8:06
4, 10, M, M, 8:06
4, 11, L, L, 8:06
4, 12, L, L, 8:06
4, 13, L, L, 8:06
4, 14, L, L, 8:06
4, 15, L, L, 8:06
4, 16, M, H, 8:06
4, 17, L, H, 8:06
4, 18, M, H, 8:06
5, 0, M, M, 8:06
5, 1, L, M, 8:06
5, 2, L, L, 8:06
5, 3, L, L, 8:06
5, 4, L, L, 8:06
5, 5, L, L, 8:06
5, 6, L, L, 8:06
5, 7, L, M, 8:06
5, 8, M, M, 8:06
5, 9, M, L, 8:06
5, 10, M, L, 8:06
5, 11, L, L, 8:06
5, 12, L, L, 8:06
5, 13, M, L, 8:06
5, 14, M, L, 8:06
6, 0, M, M, 8:06
6, 1, M, M, 8:06
6, 2, M, L, 8:06
6, 3, L, L, 8:06
6, 4, L, L, 8:06
6, 5, L, L, 8:06
6, 6, L, L, 8:06
7, 0, M, M, 8:06
7, 1, L, M, 8:06
7, 2, L, M, 8:06
7, 3, L, L, 8:06
7, 4, M, L, 8:06
7, 5, M, M, 8:06
7, 6, M, M, 8:06
7, 7, L, L, 8:06
7, 8, L, M, 8:06
7, 9, M, H, 8:06
7, 10, M, H, 8:06
7, 11, L, H, 8:06
8, 0, L, L, 8:06
8, 1, L, L, 8:06
8, 2, L, L, 8:06
8, 3, L, L, 8:06
8, 4, L, L, 8:06
8, 5, L, L, 8:06
8, 6, L, L, 8:06
