#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 8:31
0, 1, L, L, 8:31
0, 2, M, M, 8:31
0, 3, L, L, 8:31
0, 4, M, M, 8:31
0, 5, M, L, 8:31
0, 6, L, L, 8:31
0, 7, L, L, 8:31
0, 8, L, L, 8:31
0, 9, L, L, 8:31
0, 10, L, M, 8:31
0, 11, M, M, 8:31
0, 12, L, M, 8:31
0, 13, L, L, 8:31
0, 14, L, L, 8:31
0, 15, L, L, 8:31
0, 16, M, L, 8:31
0, 17, L, L, 8:31
0, 18, L, L, 8:31
0, 19, L, L, 8:31
0, 20, L, L, 8:31
0, 21, L, L, 8:31
0, 22, M, M, 8:31
0, 23, L, L, 8:31
0, 24, L, L, 8:31
0, 25, L, L, 8:31
0, 26, M, M, 8:31
0, 27, L, L, 8:31
0, 28, L, L, 8:31
0, 29, L, M, 8:31
0, 30, M, M, 8:31
0, 31, L, L, 8:31
0, 32, M, M, 8:31
0, 33, M, M, 8:31
0, 34, L, L, 8:31
0, 35, L, L, 8:31
0, 36, L, L, 8:31
1, 0, L, L, 8:31
1, 1, L, L, 8:31
1, 2, L, M, 8:31
1, 3, L, L, 8:31
1, 4, L, L, 8:31
1, 5, L, M, 8:31
1, 6, M, M, 8:31
1, 7, M, M, 8:31
1, 8, L, L, 8:31
1, 9, L, L, 8:31
1, 10, L, M, 8:31
1, 11, L, M, 8:31
2, 0, M, M, 8:31
2, 1, L, L, 8:31
2, 2, L, L, 8:31
2, 3, L, L, 8:31
2, 4, L, L, 8:31
2, 5, L, L, 8:31
2, 6, L, L, 8:31
2, 7, M, M, 8:31
2, 8, M, M, 8:31
2, 9, L, L, 8:31
2, 10, L, L, 8:31
2, 11, M, M, 8:31
2, 12, M, M, 8:31
2, 13, L, L, 8:31
2, 14, M, L, 8:31
2, 15, M, M, 8:31
2, 16, L, M, 8:31
2, 17, L, L, 8:31
2, 18, M, M, 8:31
2, 19, L, L, 8:31
2, 20, M, M, 8:31
2, 21, L, L, 8:31
2, 22, L, M, 8:31
2, 23, L, L, 8:31
2, 24, M, L, 8:31
3, 0, M, M, 8:31
3, 1, M, M, 8:31
3, 2, L, L, 8:31
3, 3, M, M, 8:31
3, 4, L, L, 8:31
3, 5, M, M, 8:31
3, 6, L, L, 8:31
3, 7, L, L, 8:31
4, 0, L, L, 8:31
4, 1, L, L, 8:31
4, 2, L, M, 8:31
4, 3, L, L, 8:31
4, 4, M, M, 8:31
4, 5, M, M, 8:31
4, 6, L, M, 8:31
4, 7, L, M, 8:31
4, 8, L, L, 8:31
4, 9, L, L, 8:31
4, 10, L, L, 8:31
4, 11, M, M, 8:31
4, 12, M, M, 8:31
4, 13, L, L, 8:31
4, 14, L, L, 8:31
4, 15, M, M, 8:31
4, 16, M, M, 8:31
4, 17, L, M, 8:31
4, 18, L, M, 8:31
5, 0, M, M, 8:31
5, 1, M, M, 8:31
5, 2, L, L, 8:31
5, 3, L, L, 8:31
5, 4, L, L, 8:31
5, 5, L, L, 8:31
5, 6, L, L, 8:31
5, 7, L, L, 8:31
5, 8, M, M, 8:31
5, 9, M, L, 8:31
5, 10, M, M, 8:31
5, 11, L, L, 8:31
5, 12, L, L, 8:31
5, 13, L, L, 8:31
5, 14, M, M, 8:31
6, 0, L, L, 8:31
6, 1, L, L, 8:31
6, 2, L, L, 8:31
6, 3, L, L, 8:31
6, 4, L, L, 8:31
6, 5, L, L, 8:31
6, 6, L, L, 8:31
7, 0, M, M, 8:31
7, 1, L, L, 8:31
7, 2, L, L, 8:31
7, 3, L, L, 8:31
7, 4, L, L, 8:31
7, 5, L, M, 8:31
7, 6, M, M, 8:31
7, 7, L, L, 8:31
7, 8, L, L, 8:31
7, 9, M, M, 8:31
7, 10, M, M, 8:31
7, 11, L, L, 8:31
8, 0, L, L, 8:31
8, 1, L, L, 8:31
8, 2, L, L, 8:31
8, 3, L, L, 8:31
8, 4, L, L, 8:31
8, 5, L, L, 8:31
8, 6, L, L, 8:31
