#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 10:32
0, 1, L, L, 10:32
0, 2, M, M, 10:32
0, 3, L, M, 10:32
0, 4, M, L, 10:32
0, 5, M, L, 10:32
0, 6, L, L, 10:32
0, 7, H, L, 10:32
0, 8, H, L, 10:32
0, 9, H, L, 10:32
0, 10, H, L, 10:32
0, 11, H, L, 10:32
0, 12, H, M, 10:32
0, 13, H, M, 10:32
0, 14, H, M, 10:32
0, 15, H, L, 10:32
0, 16, H, L, 10:32
0, 17, H, M, 10:32
0, 18, L, L, 10:32
0, 19, L, H, 10:32
0, 20, L, H, 10:32
0, 21, L, H, 10:32
0, 22, M, H, 10:32
0, 23, H, H, 10:32
0, 24, H, H, 10:32
0, 25, H, H, 10:32
0, 26, H, H, 10:32
0, 27, L, H, 10:32
0, 28, L, H, 10:32
0, 29, L, L, 10:32
0, 30, L, L, 10:32
0, 31, L, M, 10:32
0, 32, H, H, 10:32
0, 33, H, H, 10:32
0, 34, H, H, 10:32
0, 35, L, L, 10:32
0, 36, L, L, 10:32
1, 0, L, L, 10:27
1, 1, L, L, 10:27
1, 2, L, L, 10:27
1, 3, L, L, 10:27
1, 4, M, L, 10:27
1, 5, M, L, 10:27
1, 6, M, M, 10:27
1, 7, M, M, 10:27
1, 8, L, L, 10:27
1, 9, L, L, 10:27
1, 10, L, L, 10:27
1, 11, M, M, 10:27
2, 0, M, M, 10:29
2, 1, M, M, 10:29
2, 2, L, L, 10:29
2, 3, L, L, 10:29
2, 4, M, L, 10:29
2, 5, L, L, 10:29
2, 6, M, M, 10:29
2, 7, M, M, 10:29
2, 8, M, M, 10:29
2, 9, L, L, 10:29
2, 10, M, L, 10:29
2, 11, M, M, 10:29
2, 12, M, M, 10:29
2, 13, L, L, 10:29
2, 14, M, L, 10:29
2, 15, M, M, 10:29
2, 16, M, L, 10:29
2, 17, M, L, 10:29
2, 18, M, M, 10:29
2, 19, L, L, 10:29
2, 20, M, M, 10:29
2, 21, M, L, 10:29
2, 22, M, L, 10:29
2, 23, M, L, 10:29
2, 24, M, M, 10:29
3, 0, M, M, 10:27
3, 1, H, M, 10:27
3, 2, H, L, 10:27
3, 3, H, M, 10:27
3, 4, H, L, 10:27
3, 5, H, M, 10:27
3, 6, L, M, 10:27
3, 7, L, M, 10:27
4, 0, L, L, 10:27
4, 1, L, L, 10:27
4, 2, M, M, 10:27
4, 3, L, L, 10:27
4, 4, M, L, 10:27
4, 5, M, H, 10:27
4, 6, L, H, 10:27
4, 7, L, H, 10:27
4, 8, L, L, 10:27
4, 9, L, L, 10:27
4, 10, M, M, 10:27
4, 11, M, M, 10:27
4, 12, L, L, 10:27
4, 13, L, L, 10:27
4, 14, M, L, 10:27
4, 15, M, M, 10:27
4, 16, M, H, 10:27
4, 17, M, H, 10:27
4, 18, L, H, 10:27
5, 0, M, M, 10:27
5, 1, M, M, 10:27
5, 2, L, M, 10:27
5, 3, L, L, 10:27
5, 4, L, L, 10:27
5, 5, L, L, 10:27
5, 6, H, L, 10:27
5, 7, H, L, 10:27
5, 8, M, M, 10:27
5, 9, M, M, 10:27
5, 10, M, M, 10:27
5, 11, L, L, 10:27
5, 12, L, L, 10:27
5, 13, L, L, 10:27
5, 14, M, M, 10:27
6, 0, L, L, 10:27
6, 1, M, M, 10:27
6, 2, L, L, 10:27
6, 3, L, L, 10:27
6, 4, L, L, 10:27
6, 5, M, M, 10:27
6, 6, M, M, 10:27
7, 0, L, M, 10:27
7, 1, L, M, 10:27
7, 2, L, M, 10:27
7, 3, L, M, 10:27
7, 4, L, M, 10:27
7, 5, L, M, 10:27
7, 6, M, M, 10:27
7, 7, L, L, 10:27
7, 8, L, L, 10:27
7, 9, M, H, 10:27
7, 10, M, H, 10:27
7, 11, L, H, 10:27
8, 0, L, H, 10:27
8, 1, L, H, 10:27
8, 2, L, L, 10:27
8, 3, L, L, 10:27
8, 4, L, L, 10:27
8, 5, L, L, 10:27
8, 6, L, L, 10:27
