#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 3:46
0, 1, L, L, 3:46
0, 2, L, L, 3:46
0, 3, L, L, 3:46
0, 4, M, M, 3:46
0, 5, L, L, 3:46
0, 6, L, L, 3:46
0, 7, L, L, 3:46
0, 8, H, L, 3:46
0, 9, H, L, 3:46
0, 10, H, M, 3:46
0, 11, H, M, 3:46
0, 12, H, L, 3:46
0, 13, H, L, 3:46
0, 14, H, L, 3:46
0, 15, H, L, 3:46
0, 16, H, H, 3:46
0, 17, H, H, 3:46
0, 18, L, L, 3:46
0, 19, M, H, 3:46
0, 20, L, H, 3:46
0, 21, L, H, 3:46
0, 22, L, H, 3:46
0, 23, L, H, 3:46
0, 24, M, H, 3:46
0, 25, H, H, 3:46
0, 26, H, H, 3:46
0, 27, L, H, 3:46
0, 28, L, H, 3:46
0, 29, L, H, 3:46
0, 30, L, L, 3:46
0, 31, M, L, 3:46
0, 32, L, H, 3:46
0, 33, L, H, 3:46
0, 34, L, L, 3:46
0, 35, L, L, 3:46
0, 36, L, L, 3:46
1, 0, L, L, 3:45
1, 1, L, L, 3:45
1, 2, M, M, 3:45
1, 3, L, L, 3:45
1, 4, L, L, 3:45
1, 5, L, L, 3:45
1, 6, M, M, 3:45
1, 7, M, M, 3:45
1, 8, L, L, 3:45
1, 9, L, L, 3:45
1, 10, L, L, 3:45
1, 11, M, M, 3:45
2, 0, H, H, 3:45
2, 1, L, M, 3:45
2, 2, M, L, 3:45
2, 3, M, L, 3:45
2, 4, M, M, 3:45
2, 5, M, M, 3:45
2, 6, M, M, 3:45
2, 7, L, L, 3:45
2, 8, L, L, 3:45
2, 9, L, L, 3:45
2, 10, L, L, 3:45
2, 11, L, L, 3:45
2, 12, L, L, 3:45
2, 13, L, L, 3:45
2, 14, L, L, 3:45
2, 15, L, L, 3:45
2, 16, L, L, 3:45
2, 17, L, L, 3:45
2, 18, M, L, 3:45
2, 19, M, L, 3:45
2, 20, M, L, 3:45
2, 21, M, L, 3:45
2, 22, M, L, 3:45
2, 23, M, L, 3:45
2, 24, M, L, 3:45
3, 0, L, L, 3:45
3, 1, M, M, 3:45
3, 2, M, M, 3:45
3, 3, L, L, 3:45
3, 4, M, L, 3:45
3, 5, M, M, 3:45
3, 6, M, M, 3:45
3, 7, M, M, 3:45
4, 0, M, M, 3:45
4, 1, M, M, 3:45
4, 2, M, M, 3:45
4, 3, M, M, 3:45
4, 4, H, M, 3:45
4, 5, H, H, 3:45
4, 6, M, H, 3:45
4, 7, M, H, 3:45
4, 8, H, L, 3:45
4, 9, H, L, 3:45
4, 10, H, H, 3:45
4, 11, H, H, 3:45
4, 12, H, H, 3:45
4, 13, M, M, 3:45
4, 14, M, M, 3:45
4, 15, M, M, 3:45
4, 16, M, M, 3:45
4, 17, M, M, 3:45
4, 18, M, M, 3:45
5, 0, H, H, 3:45
5, 1, H, H, 3:45
5, 2, H, H, 3:45
5, 3, L, L, 3:45
5, 4, L, L, 3:45
5, 5, M, M, 3:45
5, 6, H, H, 3:45
5, 7, H, H, 3:45
5, 8, H, H, 3:45
5, 9, M, H, 3:45
5, 10, M, H, 3:45
5, 11, M, H, 3:45
5, 12, L, H, 3:45
5, 13, L, H, 3:45
5, 14, L, H, 3:45
6, 0, H, M, 3:45
6, 1, M, M, 3:45
6, 2, L, L, 3:45
6, 3, L, L, 3:45
6, 4, L, L, 3:45
6, 5, M, M, 3:45
6, 6, M, M, 3:45
7, 0, L, L, 3:45
7, 1, L, H, 3:45
7, 2, L, H, 3:45
7, 3, H, H, 3:45
7, 4, H, H, 3:45
7, 5, H, H, 3:45
7, 6, M, H, 3:45
7, 7, L, L, 3:45
7, 8, L, L, 3:45
7, 9, M, M, 3:45
7, 10, M, M, 3:45
7, 11, M, M, 3:45
8, 0, L, L, 3:45
8, 1, L, H, 3:45
8, 2, L, L, 3:45
8, 3, L, L, 3:45
8, 4, L, L, 3:45
8, 5, L, L, 3:45
8, 6, L, L, 3:45
