#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 5:22
0, 1, L, L, 5:22
0, 2, L, L, 5:22
0, 3, L, L, 5:22
0, 4, L, L, 5:22
0, 5, L, L, 5:22
0, 6, L, L, 5:22
0, 7, L, L, 5:22
0, 8, L, L, 5:22
0, 9, L, L, 5:22
0, 10, L, M, 5:22
0, 11, M, L, 5:22
0, 12, L, L, 5:22
0, 13, L, L, 5:22
0, 14, L, L, 5:22
0, 15, L, L, 5:22
0, 16, L, L, 5:22
0, 17, L, L, 5:22
0, 18, L, L, 5:22
0, 19, L, L, 5:22
0, 20, L, L, 5:22
0, 21, L, L, 5:22
0, 22, L, L, 5:22
0, 23, L, L, 5:22
0, 24, L, L, 5:22
0, 25, L, L, 5:22
0, 26, L, L, 5:22
0, 27, L, L, 5:22
0, 28, L, L, 5:22
0, 29, L, L, 5:22
0, 30, L, L, 5:22
0, 31, L, L, 5:22
0, 32, L, L, 5:22
0, 33, L, L, 5:22
0, 34, L, L, 5:22
0, 35, L, L, 5:22
0, 36, L, L, 5:22
1, 0, L, L, 5:22
1, 1, L, L, 5:22
1, 2, L, L, 5:22
1, 3, L, L, 5:22
1, 4, L, L, 5:22
1, 5, L, L, 5:22
1, 6, L, L, 5:22
1, 7, L, L, 5:22
1, 8, L, L, 5:22
1, 9, L, L, 5:22
1, 10, L, L, 5:22
1, 11, L, L, 5:22
2, 0, L, L, 5:22
2, 1, L, L, 5:22
2, 2, L, L, 5:22
2, 3, L, L, 5:22
2, 4, L, L, 5:22
2, 5, L, L, 5:22
2, 6, L, L, 5:22
2, 7, L, L, 5:22
2, 8, L, L, 5:22
2, 9, L, L, 5:22
2, 10, L, L, 5:22
2, 11, L, L, 5:22
2, 12, L, L, 5:22
2, 13, L, L, 5:22
2, 14, L, L, 5:22
2, 15, L, L, 5:22
2, 16, L, L, 5:22
2, 17, L, L, 5:22
2, 18, L, L, 5:22
2, 19, L, L, 5:22
2, 20, L, L, 5:22
2, 21, L, L, 5:22
2, 22, L, L, 5:22
2, 23, L, L, 5:22
2, 24, L, L, 5:22
3, 0, L, L, 5:22
3, 1, L, L, 5:22
3, 2, L, L, 5:22
3, 3, L, L, 5:22
3, 4, L, L, 5:22
3, 5, L, L, 5:22
3, 6, L, L, 5:22
3, 7, L, L, 5:22
4, 0, L, L, 5:22
4, 1, L, L, 5:22
4, 2, L, L, 5:22
4, 3, L, L, 5:22
4, 4, L, L, 5:22
4, 5, L, L, 5:22
4, 6, L, L, 5:22
4, 7, L, L, 5:22
4, 8, L, L, 5:22
4, 9, L, L, 5:22
4, 10, L, L, 5:22
4, 11, L, L, 5:22
4, 12, L, L, 5:22
4, 13, L, L, 5:22
4, 14, L, L, 5:22
4, 15, L, L, 5:22
4, 16, L, L, 5:22
4, 17, L, L, 5:22
4, 18, L, L, 5:22
5, 0, L, L, 5:23
5, 1, L, L, 5:23
5, 2, L, L, 5:23
5, 3, L, L, 5:23
5, 4, L, L, 5:23
5, 5, L, L, 5:23
5, 6, L, L, 5:23
5, 7, L, L, 5:23
5, 8, L, L, 5:23
5, 9, L, L, 5:23
5, 10, L, L, 5:23
5, 11, L, L, 5:23
5, 12, L, L, 5:23
5, 13, L, L, 5:23
5, 14, L, L, 5:23
6, 0, L, L, 5:23
6, 1, L, L, 5:23
6, 2, L, L, 5:23
6, 3, L, L, 5:23
6, 4, L, L, 5:23
6, 5, L, L, 5:23
6, 6, L, L, 5:23
7, 0, L, L, 5:23
7, 1, L, L, 5:23
7, 2, L, L, 5:23
7, 3, L, L, 5:23
7, 4, L, L, 5:23
7, 5, L, L, 5:23
7, 6, L, L, 5:23
7, 7, L, L, 5:23
7, 8, L, L, 5:23
7, 9, L, L, 5:23
7, 10, M, M, 5:23
7, 11, M, M, 5:23
8, 0, L, L, 5:23
8, 1, L, L, 5:23
8, 2, L, L, 5:23
8, 3, L, L, 5:23
8, 4, L, L, 5:23
8, 5, L, L, 5:23
8, 6, L, L, 5:23
