#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 3:27
0, 1, L, L, 3:27
0, 2, M, M, 3:27
0, 3, L, L, 3:27
0, 4, L, L, 3:27
0, 5, L, L, 3:27
0, 6, L, L, 3:27
0, 7, L, L, 3:27
0, 8, L, L, 3:27
0, 9, L, L, 3:27
0, 10, M, M, 3:27
0, 11, M, M, 3:27
0, 12, L, M, 3:27
0, 13, L, L, 3:27
0, 14, H, L, 3:27
0, 15, H, L, 3:27
0, 16, H, M, 3:27
0, 17, M, L, 3:27
0, 18, L, L, 3:27
0, 19, L, H, 3:27
0, 20, L, H, 3:27
0, 21, L, H, 3:27
0, 22, M, H, 3:27
0, 23, L, H, 3:27
0, 24, L, L, 3:27
0, 25, M, L, 3:27
0, 26, H, M, 3:27
0, 27, H, L, 3:27
0, 28, H, L, 3:27
0, 29, H, L, 3:27
0, 30, L, L, 3:27
0, 31, M, L, 3:27
0, 32, L, H, 3:27
0, 33, L, H, 3:27
0, 34, L, L, 3:27
0, 35, L, L, 3:27
0, 36, L, L, 3:27
1, 0, L, L, 3:27
1, 1, L, L, 3:27
1, 2, L, L, 3:27
1, 3, L, L, 3:27
1, 4, L, L, 3:27
1, 5, L, L, 3:27
1, 6, M, M, 3:27
1, 7, M, M, 3:27
1, 8, L, L, 3:27
1, 9, L, L, 3:27
1, 10, L, L, 3:27
1, 11, M, M, 3:27
2, 0, M, M, 3:27
2, 1, L, L, 3:27
2, 2, L, L, 3:27
2, 3, L, L, 3:27
2, 4, M, M, 3:27
2, 5, L, M, 3:27
2, 6, L, M, 3:27
2, 7, L, M, 3:27
2, 8, L, L, 3:27
2, 9, L, L, 3:27
2, 10, L, L, 3:27
2, 11, L, L, 3:27
2, 12, L, L, 3:27
2, 13, L, L, 3:27
2, 14, M, L, 3:27
2, 15, M, M, 3:27
2, 16, L, M, 3:27
2, 17, L, L, 3:27
2, 18, L, L, 3:27
2, 19, L, L, 3:27
2, 20, L, L, 3:27
2, 21, L, L, 3:27
2, 22, L, L, 3:27
2, 23, M, L, 3:27
2, 24, M, M, 3:27
3, 0, L, L, 3:27
3, 1, M, M, 3:27
3, 2, M, M, 3:27
3, 3, M, L, 3:27
3, 4, M, L, 3:27
3, 5, M, M, 3:27
3, 6, L, M, 3:27
3, 7, L, M, 3:27
4, 0, M, L, 3:28
4, 1, M, L, 3:28
4, 2, L, L, 3:28
4, 3, L, L, 3:28
4, 4, L, L, 3:28
4, 5, M, M, 3:28
4, 6, L, L, 3:28
4, 7, M, M, 3:28
4, 8, L, L, 3:28
4, 9, L, L, 3:28
4, 10, M, M, 3:28
4, 11, L, L, 3:28
4, 12, L, L, 3:28
4, 13, L, L, 3:28
4, 14, L, M, 3:28
4, 15, L, M, 3:28
4, 16, M, M, 3:28
4, 17, M, M, 3:28
4, 18, M, M, 3:28
5, 0, M, M, 3:28
5, 1, M, M, 3:28
5, 2, L, L, 3:28
5, 3, L, L, 3:28
5, 4, L, L, 3:28
5, 5, L, M, 3:28
5, 6, M, H, 3:28
5, 7, M, H, 3:28
5, 8, M, H, 3:28
5, 9, M, H, 3:28
5, 10, M, H, 3:28
5, 11, M, M, 3:28
5, 12, L, L, 3:28
5, 13, M, L, 3:28
5, 14, L, L, 3:28
6, 0, L, M, 3:29
6, 1, M, M, 3:29
6, 2, L, L, 3:29
6, 3, L, L, 3:29
6, 4, L, L, 3:29
6, 5, M, M, 3:29
6, 6, M, M, 3:29
7, 0, M, M, 3:29
7, 1, M, M, 3:29
7, 2, M, M, 3:29
7, 3, L, M, 3:29
7, 4, L, M, 3:29
7, 5, M, M, 3:29
7, 6, M, M, 3:29
7, 7, L, M, 3:29
7, 8, L, L, 3:29
7, 9, L, M, 3:29
7, 10, M, M, 3:29
7, 11, M, L, 3:29
8, 0, L, M, 3:29
8, 1, L, L, 3:29
8, 2, L, L, 3:29
8, 3, L, L, 3:29
8, 4, L, L, 3:29
8, 5, L, L, 3:29
8, 6, L, L, 3:29
