#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 6:29
0, 1, M, L, 6:29
0, 2, M, M, 6:29
0, 3, L, L, 6:29
0, 4, L, L, 6:29
0, 5, L, L, 6:29
0, 6, L, L, 6:29
0, 7, L, L, 6:29
0, 8, H, L, 6:29
0, 9, H, L, 6:29
0, 10, H, M, 6:29
0, 11, H, L, 6:29
0, 12, H, L, 6:29
0, 13, H, L, 6:29
0, 14, H, L, 6:29
0, 15, H, L, 6:29
0, 16, H, L, 6:29
0, 17, L, L, 6:29
0, 18, L, L, 6:29
0, 19, H, L, 6:29
0, 20, H, L, 6:29
0, 21, H, L, 6:29
0, 22, H, L, 6:29
0, 23, L, L, 6:29
0, 24, L, L, 6:29
0, 25, L, L, 6:29
0, 26, L, L, 6:29
0, 27, L, L, 6:29
0, 28, L, L, 6:29
0, 29, M, L, 6:29
0, 30, L, L, 6:29
0, 31, L, L, 6:29
0, 32, L, L, 6:29
0, 33, L, L, 6:29
0, 34, L, L, 6:29
0, 35, L, L, 6:29
0, 36, L, L, 6:29
1, 0, M, L, 6:30
1, 1, L, L, 6:30
1, 2, L, L, 6:30
1, 3, L, L, 6:30
1, 4, L, L, 6:30
1, 5, M, L, 6:30
1, 6, M, M, 6:30
1, 7, M, M, 6:30
1, 8, L, L, 6:30
1, 9, L, L, 6:30
1, 10, L, L, 6:30
1, 11, M, L, 6:30
2, 0, M, M, 6:30
2, 1, M, L, 6:30
2, 2, M, L, 6:30
2, 3, M, L, 6:30
2, 4, M, M, 6:30
2, 5, M, M, 6:30
2, 6, M, L, 6:30
2, 7, L, L, 6:30
2, 8, L, L, 6:30
2, 9, L, L, 6:30
2, 10, L, L, 6:30
2, 11, L, L, 6:30
2, 12, L, L, 6:30
2, 13, L, L, 6:30
2, 14, L, L, 6:30
2, 15, M, M, 6:30
2, 16, L, L, 6:30
2, 17, L, L, 6:30
2, 18, L, L, 6:30
2, 19, L, L, 6:30
2, 20, L, L, 6:30
2, 21, L, L, 6:30
2, 22, L, L, 6:30
2, 23, L, L, 6:30
2, 24, L, L, 6:30
3, 0, L, L, 6:30
3, 1, H, L, 6:30
3, 2, H, L, 6:30
3, 3, H, L, 6:30
3, 4, H, L, 6:30
3, 5, H, M, 6:30
3, 6, L, M, 6:30
3, 7, L, M, 6:30
4, 0, M, L, 6:30
4, 1, M, L, 6:30
4, 2, L, L, 6:30
4, 3, H, L, 6:30
4, 4, H, L, 6:30
4, 5, H, H, 6:30
4, 6, H, H, 6:30
4, 7, L, H, 6:30
4, 8, M, L, 6:30
4, 9, L, L, 6:30
4, 10, M, L, 6:30
4, 11, M, L, 6:30
4, 12, M, L, 6:30
4, 13, L, L, 6:30
4, 14, M, L, 6:30
4, 15, H, L, 6:30
4, 16, H, L, 6:30
4, 17, H, L, 6:30
4, 18, L, L, 6:30
5, 0, M, M, 6:26
5, 1, M, M, 6:26
5, 2, M, M, 6:26
5, 3, L, L, 6:26
5, 4, L, L, 6:26
5, 5, L, L, 6:26
5, 6, L, L, 6:26
5, 7, L, L, 6:26
5, 8, L, L, 6:26
5, 9, L, L, 6:26
5, 10, L, L, 6:26
5, 11, L, L, 6:26
5, 12, L, L, 6:26
5, 13, L, L, 6:26
5, 14, L, L, 6:26
6, 0, L, H, 6:26
6, 1, L, H, 6:26
6, 2, L, H, 6:26
6, 3, L, L, 6:26
6, 4, L, L, 6:26
6, 5, L, L, 6:26
6, 6, L, L, 6:26
7, 0, M, L, 6:26
7, 1, L, L, 6:26
7, 2, L, L, 6:26
7, 3, L, L, 6:26
7, 4, L, L, 6:26
7, 5, L, L, 6:26
7, 6, L, L, 6:26
7, 7, L, L, 6:26
7, 8, L, L, 6:26
7, 9, M, M, 6:26
7, 10, M, M, 6:26
7, 11, M, M, 6:26
8, 0, L, M, 6:21
8, 1, L, L, 6:21
8, 2, L, L, 6:21
8, 3, L, L, 6:21
8, 4, L, L, 6:21
8, 5, L, L, 6:21
8, 6, L, L, 6:21
