#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 3:42
0, 1, L, L, 3:42
0, 2, M, M, 3:42
0, 3, L, L, 3:42
0, 4, L, L, 3:42
0, 5, L, L, 3:42
0, 6, L, L, 3:42
0, 7, L, L, 3:42
0, 8, L, L, 3:42
0, 9, L, L, 3:42
0, 10, H, M, 3:42
0, 11, H, M, 3:42
0, 12, H, M, 3:42
0, 13, H, L, 3:42
0, 14, H, L, 3:42
0, 15, H, L, 3:42
0, 16, H, M, 3:42
0, 17, H, M, 3:42
0, 18, L, L, 3:42
0, 19, L, H, 3:42
0, 20, L, H, 3:42
0, 21, L, H, 3:42
0, 22, L, H, 3:42
0, 23, L, H, 3:42
0, 24, L, H, 3:42
0, 25, L, M, 3:42
0, 26, M, M, 3:42
0, 27, L, L, 3:42
0, 28, L, L, 3:42
0, 29, L, L, 3:42
0, 30, M, L, 3:42
0, 31, M, L, 3:42
0, 32, L, M, 3:42
0, 33, L, M, 3:42
0, 34, L, L, 3:42
0, 35, L, L, 3:42
0, 36, L, L, 3:42
1, 0, L, L, 3:42
1, 1, L, L, 3:42
1, 2, L, L, 3:42
1, 3, L, L, 3:42
1, 4, L, L, 3:42
1, 5, L, L, 3:42
1, 6, M, M, 3:42
1, 7, M, M, 3:42
1, 8, L, L, 3:42
1, 9, L, L, 3:42
1, 10, L, L, 3:42
1, 11, L, L, 3:42
2, 0, M, M, 3:42
2, 1, M, M, 3:42
2, 2, L, L, 3:42
2, 3, L, L, 3:42
2, 4, M, M, 3:42
2, 5, M, M, 3:42
2, 6, L, M, 3:42
2, 7, L, M, 3:42
2, 8, L, M, 3:42
2, 9, L, L, 3:42
2, 10, L, L, 3:42
2, 11, L, L, 3:42
2, 12, L, L, 3:42
2, 13, L, L, 3:42
2, 14, L, L, 3:42
2, 15, M, M, 3:42
2, 16, L, L, 3:42
2, 17, L, L, 3:42
2, 18, L, L, 3:42
2, 19, L, L, 3:42
2, 20, L, L, 3:42
2, 21, L, L, 3:42
2, 22, L, L, 3:42
2, 23, L, L, 3:42
2, 24, L, L, 3:42
3, 0, L, L, 3:42
3, 1, M, M, 3:42
3, 2, M, M, 3:42
3, 3, M, L, 3:42
3, 4, M, L, 3:42
3, 5, M, M, 3:42
3, 6, L, M, 3:42
3, 7, L, M, 3:42
4, 0, L, L, 3:44
4, 1, L, L, 3:44
4, 2, M, L, 3:44
4, 3, M, L, 3:44
4, 4, L, H, 3:44
4, 5, M, H, 3:44
4, 6, M, H, 3:44
4, 7, L, H, 3:44
4, 8, M, L, 3:44
4, 9, L, L, 3:44
4, 10, H, H, 3:44
4, 11, H, H, 3:44
4, 12, L, H, 3:44
4, 13, H, L, 3:44
4, 14, H, L, 3:44
4, 15, H, H, 3:44
4, 16, H, H, 3:44
4, 17, M, H, 3:44
4, 18, M, H, 3:44
5, 0, M, H, 3:44
5, 1, M, H, 3:44
5, 2, L, H, 3:44
5, 3, L, L, 3:44
5, 4, L, L, 3:44
5, 5, L, L, 3:44
5, 6, M, H, 3:44
5, 7, M, H, 3:44
5, 8, M, H, 3:44
5, 9, M, H, 3:44
5, 10, M, H, 3:44
5, 11, L, H, 3:44
5, 12, L, L, 3:44
5, 13, L, L, 3:44
5, 14, L, L, 3:44
6, 0, M, M, 3:44
6, 1, M, M, 3:44
6, 2, L, L, 3:44
6, 3, L, L, 3:44
6, 4, L, L, 3:44
6, 5, L, L, 3:44
6, 6, L, L, 3:44
7, 0, H, H, 3:44
7, 1, M, H, 3:44
7, 2, M, H, 3:44
7, 3, M, H, 3:44
7, 4, M, H, 3:44
7, 5, M, H, 3:44
7, 6, M, H, 3:44
7, 7, L, H, 3:44
7, 8, L, L, 3:44
7, 9, M, M, 3:44
7, 10, M, M, 3:44
7, 11, M, M, 3:44
8, 0, L, H, 3:45
8, 1, L, L, 3:45
8, 2, L, L, 3:45
8, 3, L, L, 3:45
8, 4, L, L, 3:45
8, 5, L, L, 3:45
8, 6, L, L, 3:45
