#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 5:41
0, 1, L, L, 5:41
0, 2, M, M, 5:41
0, 3, L, L, 5:41
0, 4, M, M, 5:41
0, 5, M, M, 5:41
0, 6, L, L, 5:41
0, 7, L, L, 5:41
0, 8, L, L, 5:41
0, 9, L, L, 5:41
0, 10, L, H, 5:41
0, 11, M, H, 5:41
0, 12, L, H, 5:41
0, 13, L, H, 5:41
0, 14, L, H, 5:41
0, 15, H, H, 5:41
0, 16, H, H, 5:41
0, 17, H, M, 5:41
0, 18, L, L, 5:41
0, 19, M, H, 5:41
0, 20, L, H, 5:41
0, 21, L, H, 5:41
0, 22, L, H, 5:41
0, 23, M, H, 5:41
0, 24, L, H, 5:41
0, 25, L, H, 5:41
0, 26, H, H, 5:41
0, 27, H, H, 5:41
0, 28, H, L, 5:41
0, 29, H, L, 5:41
0, 30, H, L, 5:41
0, 31, H, L, 5:41
0, 32, L, M, 5:41
0, 33, L, M, 5:41
0, 34, L, L, 5:41
0, 35, L, L, 5:41
0, 36, L, L, 5:41
1, 0, L, L, 5:41
1, 1, L, L, 5:41
1, 2, L, L, 5:41
1, 3, L, L, 5:41
1, 4, L, L, 5:41
1, 5, L, L, 5:41
1, 6, M, M, 5:41
1, 7, M, M, 5:41
1, 8, L, L, 5:41
1, 9, L, L, 5:41
1, 10, L, L, 5:41
1, 11, M, M, 5:41
2, 0, M, M, 5:42
2, 1, M, M, 5:42
2, 2, L, L, 5:42
2, 3, L, L, 5:42
2, 4, M, M, 5:42
2, 5, M, M, 5:42
2, 6, L, M, 5:42
2, 7, L, M, 5:42
2, 8, L, M, 5:42
2, 9, L, L, 5:42
2, 10, L, L, 5:42
2, 11, M, M, 5:42
2, 12, M, M, 5:42
2, 13, L, L, 5:42
2, 14, L, L, 5:42
2, 15, M, M, 5:42
2, 16, M, H, 5:42
2, 17, L, H, 5:42
2, 18, M, H, 5:42
2, 19, L, H, 5:42
2, 20, M, H, 5:42
2, 21, L, H, 5:42
2, 22, L, L, 5:42
2, 23, M, M, 5:42
2, 24, M, M, 5:42
3, 0, M, L, 5:42
3, 1, M, M, 5:42
3, 2, M, M, 5:42
3, 3, M, L, 5:42
3, 4, M, L, 5:42
3, 5, M, M, 5:42
3, 6, M, M, 5:42
3, 7, L, M, 5:42
4, 0, L, L, 5:42
4, 1, L, L, 5:42
4, 2, M, M, 5:42
4, 3, L, L, 5:42
4, 4, M, M, 5:42
4, 5, M, M, 5:42
4, 6, L, M, 5:42
4, 7, L, L, 5:42
4, 8, L, L, 5:42
4, 9, L, L, 5:42
4, 10, M, M, 5:42
4, 11, M, M, 5:42
4, 12, M, M, 5:42
4, 13, L, L, 5:42
4, 14, L, L, 5:42
4, 15, M, M, 5:42
4, 16, M, H, 5:42
4, 17, L, H, 5:42
4, 18, L, H, 5:42
5, 0, M, M, 5:42
5, 1, M, M, 5:42
5, 2, L, L, 5:42
5, 3, L, L, 5:42
5, 4, L, L, 5:42
5, 5, L, L, 5:42
5, 6, L, H, 5:42
5, 7, M, H, 5:42
5, 8, M, H, 5:42
5, 9, M, H, 5:42
5, 10, M, H, 5:42
5, 11, L, M, 5:42
5, 12, M, L, 5:42
5, 13, L, L, 5:42
5, 14, M, M, 5:42
6, 0, H, L, 5:41
6, 1, H, M, 5:41
6, 2, L, L, 5:41
6, 3, L, L, 5:41
6, 4, L, L, 5:41
6, 5, M, M, 5:41
6, 6, M, M, 5:41
7, 0, M, M, 5:41
7, 1, M, M, 5:41
7, 2, M, M, 5:41
7, 3, L, M, 5:41
7, 4, L, M, 5:41
7, 5, L, M, 5:41
7, 6, M, M, 5:41
7, 7, L, M, 5:41
7, 8, L, L, 5:41
7, 9, M, L, 5:41
7, 10, M, M, 5:41
7, 11, L, M, 5:41
8, 0, L, H, 5:41
8, 1, L, L, 5:41
8, 2, L, L, 5:41
8, 3, L, L, 5:41
8, 4, L, L, 5:41
8, 5, L, L, 5:41
8, 6, L, L, 5:41
