#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 12:08
0, 1, L, L, 12:08
0, 2, M, M, 12:08
0, 3, L, L, 12:08
0, 4, L, L, 12:08
0, 5, L, L, 12:08
0, 6, L, L, 12:08
0, 7, L, L, 12:08
0, 8, H, L, 12:08
0, 9, H, L, 12:08
0, 10, H, L, 12:08
0, 11, H, L, 12:08
0, 12, H, L, 12:08
0, 13, H, L, 12:08
0, 14, H, L, 12:08
0, 15, H, L, 12:08
0, 16, H, M, 12:08
0, 17, H, M, 12:08
0, 18, L, L, 12:08
0, 19, L, H, 12:08
0, 20, L, H, 12:08
0, 21, L, H, 12:08
0, 22, M, H, 12:08
0, 23, L, H, 12:08
0, 24, L, H, 12:08
0, 25, M, L, 12:08
0, 26, M, M, 12:08
0, 27, L, L, 12:08
0, 28, L, M, 12:08
0, 29, L, L, 12:08
0, 30, M, L, 12:08
0, 31, M, H, 12:08
0, 32, L, H, 12:08
0, 33, L, H, 12:08
0, 34, L, L, 12:08
0, 35, L, L, 12:08
0, 36, L, L, 12:08
1, 0, L, L, 12:08
1, 1, L, L, 12:08
1, 2, L, L, 12:08
1, 3, L, L, 12:08
1, 4, L, L, 12:08
1, 5, L, L, 12:08
1, 6, M, M, 12:08
1, 7, M, M, 12:08
1, 8, L, L, 12:08
1, 9, L, L, 12:08
1, 10, L, L, 12:08
1, 11, M, M, 12:08
2, 0, H, H, 12:09
2, 1, M, M, 12:09
2, 2, M, L, 12:09
2, 3, M, L, 12:09
2, 4, M, M, 12:09
2, 5, M, M, 12:09
2, 6, M, L, 12:09
2, 7, L, L, 12:09
2, 8, L, L, 12:09
2, 9, L, L, 12:09
2, 10, L, L, 12:09
2, 11, L, L, 12:09
2, 12, L, M, 12:09
2, 13, L, M, 12:09
2, 14, M, L, 12:09
2, 15, M, M, 12:09
2, 16, L, M, 12:09
2, 17, M, L, 12:09
2, 18, M, L, 12:09
2, 19, L, L, 12:09
2, 20, L, L, 12:09
2, 21, L, L, 12:09
2, 22, M, L, 12:09
2, 23, M, M, 12:09
2, 24, M, M, 12:09
3, 0, M, L, 12:08
3, 1, M, L, 12:08
3, 2, M, L, 12:08
3, 3, M, L, 12:08
3, 4, M, L, 12:08
3, 5, M, L, 12:08
3, 6, L, L, 12:08
3, 7, L, L, 12:08
4, 0, L, L, 12:09
4, 1, L, L, 12:09
4, 2, L, L, 12:09
4, 3, L, L, 12:09
4, 4, H, M, 12:09
4, 5, H, H, 12:09
4, 6, L, H, 12:09
4, 7, L, H, 12:09
4, 8, M, L, 12:09
4, 9, L, L, 12:09
4, 10, H, H, 12:09
4, 11, H, H, 12:09
4, 12, H, H, 12:09
4, 13, L, L, 12:09
4, 14, H, L, 12:09
4, 15, H, L, 12:09
4, 16, H, H, 12:09
4, 17, H, H, 12:09
4, 18, H, H, 12:09
5, 0, M, M, 12:09
5, 1, M, M, 12:09
5, 2, L, L, 12:09
5, 3, L, L, 12:09
5, 4, L, L, 12:09
5, 5, L, L, 12:09
5, 6, M, H, 12:09
5, 7, M, H, 12:09
5, 8, M, M, 12:09
5, 9, M, M, 12:09
5, 10, M, M, 12:09
5, 11, L, M, 12:09
5, 12, L, M, 12:09
5, 13, L, M, 12:09
5, 14, M, M, 12:09
6, 0, L, L, 12:09
6, 1, L, L, 12:09
6, 2, L, L, 12:09
6, 3, L, L, 12:09
6, 4, L, L, 12:09
6, 5, L, L, 12:09
6, 6, M, M, 12:09
7, 0, M, M, 12:09
7, 1, M, M, 12:09
7, 2, L, L, 12:09
7, 3, M, M, 12:09
7, 4, L, L, 12:09
7, 5, M, M, 12:09
7, 6, M, M, 12:09
7, 7, M, M, 12:09
7, 8, L, H, 12:09
7, 9, M, H, 12:09
7, 10, M, H, 12:09
7, 11, L, H, 12:09
8, 0, L, H, 12:09
8, 1, L, L, 12:09
8, 2, L, L, 12:09
8, 3, L, L, 12:09
8, 4, L, L, 12:09
8, 5, L, L, 12:09
8, 6, L, L, 12:09
