#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 4:41
0, 1, L, L, 4:41
0, 2, M, M, 4:41
0, 3, L, L, 4:41
0, 4, L, L, 4:41
0, 5, L, L, 4:41
0, 6, L, L, 4:41
0, 7, L, L, 4:41
0, 8, L, L, 4:41
0, 9, L, L, 4:41
0, 10, L, M, 4:41
0, 11, M, M, 4:41
0, 12, L, M, 4:41
0, 13, L, M, 4:41
0, 14, L, M, 4:41
0, 15, L, M, 4:41
0, 16, M, M, 4:41
0, 17, L, L, 4:41
0, 18, L, L, 4:41
0, 19, L, H, 4:41
0, 20, L, H, 4:41
0, 21, L, H, 4:41
0, 22, L, H, 4:41
0, 23, H, H, 4:41
0, 24, H, H, 4:41
0, 25, H, L, 4:41
0, 26, H, L, 4:41
0, 27, H, L, 4:41
0, 28, H, L, 4:41
0, 29, H, L, 4:41
0, 30, L, L, 4:41
0, 31, L, L, 4:41
0, 32, L, M, 4:41
0, 33, L, M, 4:41
0, 34, L, L, 4:41
0, 35, L, L, 4:41
0, 36, L, L, 4:41
1, 0, L, L, 4:41
1, 1, L, L, 4:41
1, 2, L, L, 4:41
1, 3, L, L, 4:41
1, 4, L, L, 4:41
1, 5, L, L, 4:41
1, 6, M, M, 4:41
1, 7, L, L, 4:41
1, 8, L, L, 4:41
1, 9, L, L, 4:41
1, 10, L, L, 4:41
1, 11, L, L, 4:41
2, 0, L, L, 4:41
2, 1, L, L, 4:41
2, 2, L, L, 4:41
2, 3, L, L, 4:41
2, 4, L, L, 4:41
2, 5, L, L, 4:41
2, 6, M, M, 4:41
2, 7, L, L, 4:41
2, 8, M, M, 4:41
2, 9, L, L, 4:41
2, 10, L, L, 4:41
2, 11, L, L, 4:41
2, 12, L, L, 4:41
2, 13, L, L, 4:41
2, 14, L, L, 4:41
2, 15, H, M, 4:41
2, 16, H, L, 4:41
2, 17, H, H, 4:41
2, 18, L, H, 4:41
2, 19, L, H, 4:41
2, 20, L, H, 4:41
2, 21, L, L, 4:41
2, 22, L, L, 4:41
2, 23, L, L, 4:41
2, 24, L, L, 4:41
3, 0, L, L, 4:41
3, 1, H, M, 4:41
3, 2, H, M, 4:41
3, 3, H, L, 4:41
3, 4, H, L, 4:41
3, 5, H, H, 4:41
3, 6, L, H, 4:41
3, 7, L, H, 4:41
4, 0, L, L, 4:41
4, 1, L, L, 4:41
4, 2, L, L, 4:41
4, 3, L, M, 4:41
4, 4, L, L, 4:41
4, 5, M, M, 4:41
4, 6, M, M, 4:41
4, 7, L, L, 4:41
4, 8, L, L, 4:41
4, 9, L, L, 4:41
4, 10, M, M, 4:41
4, 11, M, L, 4:41
4, 12, L, M, 4:41
4, 13, L, M, 4:41
4, 14, L, M, 4:41
4, 15, M, M, 4:41
4, 16, L, L, 4:41
4, 17, L, L, 4:41
4, 18, L, L, 4:41
5, 0, L, L, 4:41
5, 1, L, L, 4:41
5, 2, L, L, 4:41
5, 3, L, L, 4:41
5, 4, L, L, 4:41
5, 5, L, L, 4:41
5, 6, M, L, 4:41
5, 7, L, L, 4:41
5, 8, M, L, 4:41
5, 9, L, M, 4:41
5, 10, M, M, 4:41
5, 11, M, L, 4:41
5, 12, L, L, 4:41
5, 13, L, L, 4:41
5, 14, L, L, 4:41
6, 0, L, L, 4:41
6, 1, M, M, 4:41
6, 2, L, L, 4:41
6, 3, L, L, 4:41
6, 4, L, L, 4:41
6, 5, L, L, 4:41
6, 6, L, L, 4:41
7, 0, M, M, 4:41
7, 1, M, L, 4:41
7, 2, L, L, 4:41
7, 3, M, M, 4:41
7, 4, L, L, 4:41
7, 5, L, L, 4:41
7, 6, M, M, 4:41
7, 7, L, L, 4:41
7, 8, L, L, 4:41
7, 9, H, M, 4:41
7, 10, H, L, 4:41
7, 11, L, L, 4:41
8, 0, L, L, 4:41
8, 1, L, L, 4:41
8, 2, L, L, 4:41
8, 3, L, L, 4:41
8, 4, L, L, 4:41
8, 5, L, L, 4:41
8, 6, L, L, 4:41
