#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 5:56
0, 1, L, L, 5:56
0, 2, M, M, 5:56
0, 3, L, L, 5:56
0, 4, M, M, 5:56
0, 5, M, M, 5:56
0, 6, L, L, 5:56
0, 7, L, L, 5:56
0, 8, L, L, 5:56
0, 9, L, L, 5:56
0, 10, M, H, 5:56
0, 11, H, H, 5:56
0, 12, H, H, 5:56
0, 13, H, H, 5:56
0, 14, H, H, 5:56
0, 15, H, H, 5:56
0, 16, H, H, 5:56
0, 17, H, H, 5:56
0, 18, L, H, 5:56
0, 19, L, H, 5:56
0, 20, L, H, 5:56
0, 21, M, H, 5:56
0, 22, M, H, 5:56
0, 23, L, H, 5:56
0, 24, M, H, 5:56
0, 25, H, H, 5:56
0, 26, H, H, 5:56
0, 27, H, H, 5:56
0, 28, H, H, 5:56
0, 29, H, H, 5:56
0, 30, H, L, 5:56
0, 31, H, L, 5:56
0, 32, L, H, 5:56
0, 33, L, H, 5:56
0, 34, L, L, 5:56
0, 35, L, L, 5:56
0, 36, L, L, 5:56
1, 0, L, L, 5:57
1, 1, L, L, 5:57
1, 2, L, M, 5:57
1, 3, L, M, 5:57
1, 4, L, L, 5:57
1, 5, L, L, 5:57
1, 6, M, M, 5:57
1, 7, M, M, 5:57
1, 8, L, L, 5:57
1, 9, L, L, 5:57
1, 10, L, L, 5:57
1, 11, M, M, 5:57
2, 0, M, M, 5:57
2, 1, M, M, 5:57
2, 2, L, L, 5:57
2, 3, L, L, 5:57
2, 4, M, M, 5:57
2, 5, M, M, 5:57
2, 6, L, M, 5:57
2, 7, L, M, 5:57
2, 8, L, L, 5:57
2, 9, L, L, 5:57
2, 10, L, L, 5:57
2, 11, L, L, 5:57
2, 12, L, L, 5:57
2, 13, L, L, 5:57
2, 14, L, L, 5:57
2, 15, M, M, 5:57
2, 16, M, M, 5:57
2, 17, L, L, 5:57
2, 18, L, L, 5:57
2, 19, L, M, 5:57
2, 20, L, L, 5:57
2, 21, L, L, 5:57
2, 22, L, L, 5:57
2, 23, M, L, 5:57
2, 24, M, M, 5:57
3, 0, M, M, 5:57
3, 1, M, M, 5:57
3, 2, M, M, 5:57
3, 3, M, L, 5:57
3, 4, M, L, 5:57
3, 5, M, M, 5:57
3, 6, L, M, 5:57
3, 7, L, M, 5:57
4, 0, M, M, 5:57
4, 1, M, M, 5:57
4, 2, M, L, 5:57
4, 3, L, L, 5:57
4, 4, M, L, 5:57
4, 5, M, H, 5:57
4, 6, M, H, 5:57
4, 7, M, H, 5:57
4, 8, L, H, 5:57
4, 9, L, L, 5:57
4, 10, M, M, 5:57
4, 11, L, L, 5:57
4, 12, L, L, 5:57
4, 13, L, L, 5:57
4, 14, L, L, 5:57
4, 15, L, L, 5:57
4, 16, M, H, 5:57
4, 17, M, H, 5:57
4, 18, M, H, 5:57
5, 0, M, M, 6:00
5, 1, M, M, 6:00
5, 2, M, M, 6:00
5, 3, L, L, 6:00
5, 4, L, L, 6:00
5, 5, M, L, 6:00
5, 6, H, L, 6:00
5, 7, H, M, 6:00
5, 8, H, M, 6:00
5, 9, H, M, 6:00
5, 10, H, M, 6:00
5, 11, M, L, 6:00
5, 12, L, L, 6:00
5, 13, L, L, 6:00
5, 14, L, L, 6:00
6, 0, M, L, 6:01
6, 1, H, L, 6:01
6, 2, L, L, 6:01
6, 3, L, L, 6:01
6, 4, L, L, 6:01
6, 5, M, M, 6:01
6, 6, M, M, 6:01
7, 0, M, M, 6:01
7, 1, M, M, 6:01
7, 2, H, H, 6:01
7, 3, H, H, 6:01
7, 4, H, H, 6:01
7, 5, H, H, 6:01
7, 6, H, H, 6:01
7, 7, L, L, 6:01
7, 8, L, M, 6:01
7, 9, M, H, 6:01
7, 10, M, H, 6:01
7, 11, M, H, 6:01
8, 0, L, L, 6:01
8, 1, L, L, 6:01
8, 2, L, L, 6:01
8, 3, L, L, 6:01
8, 4, L, L, 6:01
8, 5, L, L, 6:01
8, 6, L, L, 6:01
