#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 7:42
0, 1, L, L, 7:42
0, 2, M, M, 7:42
0, 3, L, L, 7:42
0, 4, M, L, 7:42
0, 5, M, L, 7:42
0, 6, L, L, 7:42
0, 7, H, L, 7:42
0, 8, H, L, 7:42
0, 9, H, L, 7:42
0, 10, H, L, 7:42
0, 11, H, L, 7:42
0, 12, H, M, 7:42
0, 13, H, L, 7:42
0, 14, H, L, 7:42
0, 15, H, H, 7:42
0, 16, H, H, 7:42
0, 17, H, H, 7:42
0, 18, H, H, 7:42
0, 19, H, H, 7:42
0, 20, H, H, 7:42
0, 21, H, H, 7:42
0, 22, H, H, 7:42
0, 23, H, M, 7:42
0, 24, H, L, 7:42
0, 25, H, L, 7:42
0, 26, H, L, 7:42
0, 27, L, L, 7:42
0, 28, H, H, 7:42
0, 29, H, H, 7:42
0, 30, H, H, 7:42
0, 31, H, H, 7:42
0, 32, L, H, 7:42
0, 33, L, L, 7:42
0, 34, L, L, 7:42
0, 35, L, L, 7:42
0, 36, L, L, 7:42
1, 0, L, L, 7:42
1, 1, L, L, 7:42
1, 2, L, L, 7:42
1, 3, L, L, 7:42
1, 4, L, L, 7:42
1, 5, M, L, 7:42
1, 6, M, M, 7:42
1, 7, M, M, 7:42
1, 8, L, L, 7:42
1, 9, L, L, 7:42
1, 10, M, L, 7:42
1, 11, M, L, 7:42
2, 0, H, H, 7:43
2, 1, M, L, 7:43
2, 2, L, L, 7:43
2, 3, L, L, 7:43
2, 4, M, M, 7:43
2, 5, M, M, 7:43
2, 6, L, L, 7:43
2, 7, L, L, 7:43
2, 8, L, L, 7:43
2, 9, L, L, 7:43
2, 10, L, L, 7:43
2, 11, L, L, 7:43
2, 12, L, L, 7:43
2, 13, L, L, 7:43
2, 14, M, L, 7:43
2, 15, M, M, 7:43
2, 16, L, M, 7:43
2, 17, L, L, 7:43
2, 18, H, L, 7:43
2, 19, H, L, 7:43
2, 20, H, L, 7:43
2, 21, H, L, 7:43
2, 22, H, L, 7:43
2, 23, H, L, 7:43
2, 24, H, L, 7:43
3, 0, H, L, 7:42
3, 1, H, L, 7:42
3, 2, H, L, 7:42
3, 3, H, L, 7:42
3, 4, H, L, 7:42
3, 5, H, M, 7:42
3, 6, L, L, 7:42
3, 7, L, M, 7:42
4, 0, H, L, 7:42
4, 1, H, L, 7:42
4, 2, H, L, 7:42
4, 3, H, L, 7:42
4, 4, H, L, 7:42
4, 5, H, H, 7:42
4, 6, L, H, 7:42
4, 7, L, H, 7:42
4, 8, M, H, 7:42
4, 9, L, L, 7:42
4, 10, H, L, 7:42
4, 11, H, M, 7:42
4, 12, H, L, 7:42
4, 13, H, L, 7:42
4, 14, H, L, 7:42
4, 15, H, H, 7:42
4, 16, H, H, 7:42
4, 17, H, H, 7:42
4, 18, H, H, 7:42
5, 0, M, M, 7:42
5, 1, M, M, 7:42
5, 2, M, M, 7:42
5, 3, L, L, 7:42
5, 4, L, L, 7:42
5, 5, L, L, 7:42
5, 6, L, H, 7:42
5, 7, H, H, 7:42
5, 8, H, L, 7:42
5, 9, H, H, 7:42
5, 10, H, H, 7:42
5, 11, L, H, 7:42
5, 12, L, H, 7:42
5, 13, L, H, 7:42
5, 14, L, H, 7:42
6, 0, L, M, 7:42
6, 1, L, L, 7:42
6, 2, L, L, 7:42
6, 3, L, L, 7:42
6, 4, L, L, 7:42
6, 5, M, M, 7:42
6, 6, M, M, 7:42
7, 0, L, M, 7:42
7, 1, M, M, 7:42
7, 2, M, M, 7:42
7, 3, L, L, 7:42
7, 4, L, L, 7:42
7, 5, M, M, 7:42
7, 6, M, M, 7:42
7, 7, L, L, 7:42
7, 8, L, M, 7:42
7, 9, M, H, 7:42
7, 10, M, H, 7:42
7, 11, M, M, 7:42
8, 0, L, H, 7:41
8, 1, L, H, 7:41
8, 2, L, L, 7:41
8, 3, L, L, 7:41
8, 4, L, L, 7:41
8, 5, L, L, 7:41
8, 6, L, L, 7:41
