#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 9:48
0, 1, L, L, 9:48
0, 2, M, M, 9:48
0, 3, L, L, 9:48
0, 4, L, L, 9:48
0, 5, L, L, 9:48
0, 6, L, L, 9:48
0, 7, L, L, 9:48
0, 8, L, L, 9:48
0, 9, L, L, 9:48
0, 10, L, L, 9:48
0, 11, L, M, 9:48
0, 12, L, M, 9:48
0, 13, L, M, 9:48
0, 14, L, M, 9:48
0, 15, L, M, 9:48
0, 16, L, M, 9:48
0, 17, L, M, 9:48
0, 18, L, M, 9:48
0, 19, L, H, 9:48
0, 20, M, H, 9:48
0, 21, L, H, 9:48
0, 22, M, H, 9:48
0, 23, L, M, 9:48
0, 24, L, M, 9:48
0, 25, L, M, 9:48
0, 26, M, M, 9:48
0, 27, M, M, 9:48
0, 28, M, M, 9:48
0, 29, M, M, 9:48
0, 30, L, L, 9:48
0, 31, L, L, 9:48
0, 32, L, M, 9:48
0, 33, L, M, 9:48
0, 34, L, L, 9:48
0, 35, L, L, 9:48
0, 36, L, L, 9:48
1, 0, M, M, 9:48
1, 1, L, L, 9:48
1, 2, L, L, 9:48
1, 3, L, L, 9:48
1, 4, L, L, 9:48
1, 5, L, L, 9:48
1, 6, M, M, 9:48
1, 7, M, M, 9:48
1, 8, L, L, 9:48
1, 9, L, L, 9:48
1, 10, L, L, 9:48
1, 11, M, M, 9:48
2, 0, M, M, 9:48
2, 1, M, M, 9:48
2, 2, L, L, 9:48
2, 3, L, L, 9:48
2, 4, L, L, 9:48
2, 5, L, L, 9:48
2, 6, L, L, 9:48
2, 7, M, M, 9:48
2, 8, M, M, 9:48
2, 9, L, L, 9:48
2, 10, L, L, 9:48
2, 11, M, M, 9:48
2, 12, M, M, 9:48
2, 13, L, L, 9:48
2, 14, M, M, 9:48
2, 15, M, M, 9:48
2, 16, L, L, 9:48
2, 17, L, L, 9:48
2, 18, M, M, 9:48
2, 19, L, L, 9:48
2, 20, L, L, 9:48
2, 21, M, M, 9:48
2, 22, M, L, 9:48
2, 23, M, L, 9:48
2, 24, M, M, 9:48
3, 0, M, M, 9:48
3, 1, M, M, 9:48
3, 2, M, L, 9:48
3, 3, M, L, 9:48
3, 4, M, L, 9:48
3, 5, M, M, 9:48
3, 6, M, M, 9:48
3, 7, M, M, 9:48
4, 0, L, L, 9:48
4, 1, L, L, 9:48
4, 2, L, L, 9:48
4, 3, L, L, 9:48
4, 4, M, L, 9:48
4, 5, M, M, 9:48
4, 6, L, M, 9:48
4, 7, M, M, 9:48
4, 8, L, L, 9:48
4, 9, L, L, 9:48
4, 10, M, M, 9:48
4, 11, M, M, 9:48
4, 12, L, L, 9:48
4, 13, L, L, 9:48
4, 14, M, L, 9:48
4, 15, M, M, 9:48
4, 16, H, H, 9:48
4, 17, H, H, 9:48
4, 18, H, H, 9:48
5, 0, M, M, 9:48
5, 1, M, M, 9:48
5, 2, M, M, 9:48
5, 3, L, L, 9:48
5, 4, L, L, 9:48
5, 5, L, M, 9:48
5, 6, M, M, 9:48
5, 7, M, M, 9:48
5, 8, M, M, 9:48
5, 9, M, M, 9:48
5, 10, M, M, 9:48
5, 11, M, M, 9:48
5, 12, L, L, 9:48
5, 13, L, L, 9:48
5, 14, L, L, 9:48
6, 0, M, L, 9:48
6, 1, M, L, 9:48
6, 2, L, L, 9:48
6, 3, L, L, 9:48
6, 4, L, L, 9:48
6, 5, M, M, 9:48
6, 6, L, L, 9:48
7, 0, M, M, 9:48
7, 1, M, M, 9:48
7, 2, M, L, 9:48
7, 3, M, M, 9:48
7, 4, L, M, 9:48
7, 5, M, M, 9:48
7, 6, M, M, 9:48
7, 7, L, L, 9:48
7, 8, L, L, 9:48
7, 9, M, M, 9:48
7, 10, M, M, 9:48
7, 11, L, L, 9:48
8, 0, L, L, 9:48
8, 1, L, L, 9:48
8, 2, L, L, 9:48
8, 3, L, L, 9:48
8, 4, L, L, 9:48
8, 5, M, H, 9:48
8, 6, L, L, 9:48
